policy,concurrent,rep,n_dispatch,success_rate,decision_avg_us,decision_p95_us,decision_p99_us,state_collect_avg_us,state_collect_p95_us,state_collect_max_us,ttft_avg_us,ttft_p95_us,load_stdev,load_max,load_min,same_inst_step_ratio
coarse,4,1,115,1.0,236.52,329.3,432.16,134758.4,159535.9,168189.2,80359.5,118444.3,1.71,5,0,0.1111
coarse,4,2,115,1.0,223.51,331.05,398.29,136860.7,157738.7,176813.5,81706.8,118870.7,1.71,5,0,0.1717
coarse,4,3,115,1.0,209.97,326.13,368.04,136252.9,157405.4,166937.5,84187.6,118289.6,1.71,5,0,0.1313
coarse,32,1,221,1.0,135.38,183.56,301.49,97562.7,112861.7,138689.2,81400.1,117598.3,1.71,5,0,0.0753
coarse,32,2,220,1.0,135.07,170.79,323.67,97881.0,110763.8,115222.3,81770.4,117025.8,1.71,5,0,0.163
coarse,32,3,221,1.0,137.31,185.55,326.48,97745.9,111167.4,120800.1,80460.7,115556.8,1.71,5,0,0.0968
coarse,128,1,218,1.0,132.07,176.49,313.38,97881.1,113006.7,127155.7,82281.6,117761.6,1.71,5,0,1.0
coarse,128,2,218,1.0,138.77,183.95,321.43,97191.1,110554.9,120457.1,82321.7,116530.4,1.71,5,0,1.0
coarse,128,3,225,1.0,137.51,201.11,304.78,97323.6,111185.7,123180.0,79861.3,116347.0,1.71,5,0,1.0
rich,4,1,113,1.0,294.46,458.01,483.39,134482.3,158920.0,169094.9,80418.8,115586.3,1.71,5,0,1.0
rich,4,2,116,1.0,302.14,472.26,510.46,132050.0,155664.4,161638.6,82981.1,117774.2,1.71,5,0,1.0
rich,4,3,113,1.0,288.82,458.92,465.94,131374.7,151960.3,160775.3,81127.3,116878.2,1.71,5,0,1.0
rich,32,1,224,1.0,145.55,218.91,302.9,100138.1,114110.8,157606.8,78276.6,115553.9,1.71,5,0,1.0
rich,32,2,221,1.0,155.14,275.74,428.44,97148.3,110745.1,116494.1,81629.7,117479.4,1.71,5,0,1.0
rich,32,3,214,1.0,144.65,227.55,343.99,97881.8,111022.0,118822.0,84671.5,116962.8,1.71,5,0,1.0
rich,128,1,217,1.0,116.25,156.39,276.42,97744.6,111158.2,136499.6,83049.0,116944.9,1.71,5,0,1.0
rich,128,2,235,1.0,119.75,178.15,275.67,98708.1,114053.8,132903.5,74738.3,115234.7,1.71,5,0,1.0
rich,128,3,221,1.0,118.05,180.44,257.18,97999.9,113215.1,133540.9,81284.7,115918.6,1.71,5,0,1.0
round-robin,4,1,115,1.0,137.52,194.62,214.11,136163.6,154766.9,176376.5,81606.9,116998.6,1.71,5,0,1.0
round-robin,4,2,115,1.0,136.85,198.84,206.53,135520.6,156688.2,187555.3,80557.2,119096.9,1.71,5,0,1.0
round-robin,4,3,113,1.0,127.24,199.78,229.7,135046.7,158494.7,169497.9,80273.5,114541.2,1.71,5,0,1.0
round-robin,32,1,220,1.0,74.83,108.2,127.25,96626.0,111514.1,143872.8,81727.6,116151.3,1.71,5,0,1.0
round-robin,32,2,225,1.0,77.28,122.23,202.12,97052.2,108795.7,117849.4,81221.6,116562.2,1.71,5,0,1.0
round-robin,32,3,226,1.0,81.6,144.66,216.03,97431.4,109730.1,121923.0,78940.3,115709.7,1.71,5,0,1.0
round-robin,128,1,212,1.0,76.39,105.57,206.18,96965.1,110124.1,122247.8,86024.6,115031.4,1.71,5,0,1.0
round-robin,128,2,221,1.0,77.74,113.11,222.0,97105.3,112309.9,125503.5,80890.8,116201.9,1.71,5,0,1.0
round-robin,128,3,220,1.0,80.48,147.28,214.53,96901.7,110824.6,126162.1,81580.2,116637.7,1.71,5,0,1.0
sketch,4,1,114,1.0,247.29,363.11,400.5,137690.2,158578.4,164813.3,78976.0,115481.3,1.71,5,0,1.0
sketch,4,2,113,1.0,258.84,371.47,474.96,137005.4,160423.4,169801.6,81855.0,117159.8,1.71,5,0,1.0
sketch,4,3,115,1.0,266.76,370.97,450.97,137270.4,158165.1,164753.9,77425.2,114729.0,1.71,5,0,1.0
sketch,32,1,221,1.0,145.6,213.22,347.66,98271.5,113033.3,144954.9,80474.0,116645.3,1.71,5,0,1.0
sketch,32,2,215,1.0,140.34,184.5,222.3,97062.0,110692.1,128267.5,84045.0,118767.8,1.71,5,0,1.0
sketch,32,3,225,1.0,143.8,190.31,410.93,97236.3,111248.5,123434.0,80347.7,114398.8,1.71,5,0,1.0
sketch,128,1,221,1.0,143.97,189.11,296.49,98041.4,110964.6,140615.0,81294.2,115615.4,1.71,5,0,1.0
sketch,128,2,224,1.0,140.19,174.71,341.29,96912.9,107950.0,116284.5,81093.2,117698.6,1.71,5,0,1.0
sketch,128,3,219,1.0,142.76,194.45,344.33,97037.7,110400.7,117496.6,81867.8,118076.3,1.71,5,0,1.0
