cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
41975,4096,update,1785094988.5327704,,1785094988.5322866,upsert,0,64,Adaptive,15769623694692820738,0.0004837512969970703,True,,enqueued,,0
41975,4096,update,1785094988.5333326,1785094988.5333326,1785094988.5322866,upsert,0,64,Adaptive,15769623694692820738,0.0010459423065185547,True,,forwarded,,0
41975,4096,update,1785094988.533496,,1785094988.532477,upsert,3,64,Adaptive,15769623694692820738,0.0010190010070800781,True,,enqueued,,3
41975,4096,update,1785094988.5336766,,1785094988.5324345,upsert,2,64,Adaptive,15769623694692820738,0.0012421607971191406,False,,suppressed,duplicate_holder,2
41975,4096,update,1785094988.5338101,,1785094988.5323749,upsert,1,64,Adaptive,15769623694692820738,0.0014352798461914062,False,,suppressed,duplicate_holder,1
41975,4096,update,1785094988.5340104,1785094988.5340104,1785094988.532477,upsert,3,64,Adaptive,15769623694692820738,0.00153350830078125,True,,forwarded,,3
41975,1024,update,1785094989.9518833,,1785094989.9514246,upsert,0,64,Adaptive,12613465747135452669,0.00045871734619140625,True,,enqueued,,4
41975,1024,update,1785094989.952357,1785094989.952357,1785094989.9514246,upsert,0,64,Adaptive,12613465747135452669,0.0009324550628662109,True,,forwarded,,4
41975,1024,update,1785094989.9525082,,1785094989.951609,upsert,3,64,Adaptive,12613465747135452669,0.0008993148803710938,True,,enqueued,,7
41975,1024,update,1785094989.952673,,1785094989.9515722,upsert,2,64,Adaptive,12613465747135452669,0.001100778579711914,False,,suppressed,duplicate_holder,6
41975,1024,update,1785094989.952806,,1785094989.9515254,upsert,1,64,Adaptive,12613465747135452669,0.0012805461883544922,False,,suppressed,duplicate_holder,5
41975,1024,update,1785094989.952981,1785094989.952981,1785094989.951609,upsert,3,64,Adaptive,12613465747135452669,0.0013720989227294922,True,,forwarded,,7
41975,2048,update,1785094994.0690246,,1785094994.0685742,upsert,0,64,Adaptive,12523743054995375112,0.00045037269592285156,True,,enqueued,,8
41975,2048,update,1785094994.0694792,1785094994.0694792,1785094994.0685742,upsert,0,64,Adaptive,12523743054995375112,0.0009050369262695312,True,,forwarded,,8
41975,2048,update,1785094994.0696247,,1785094994.0687482,upsert,3,64,Adaptive,12523743054995375112,0.0008764266967773438,True,,enqueued,,11
41975,2048,update,1785094994.0697548,,1785094994.0687122,upsert,2,64,Adaptive,12523743054995375112,0.0010426044464111328,False,,suppressed,duplicate_holder,10
41975,2048,update,1785094994.0698757,,1785094994.0686677,upsert,1,64,Adaptive,12523743054995375112,0.0012080669403076172,False,,suppressed,duplicate_holder,9
41975,2048,update,1785094994.070016,1785094994.070016,1785094994.0687482,upsert,3,64,Adaptive,12523743054995375112,0.0012676715850830078,True,,forwarded,,11
41975,1024,update,1785094995.4573207,,1785094995.4569283,upsert,0,64,Adaptive,9971321710674973507,0.0003924369812011719,True,,enqueued,,12
41975,1024,update,1785094995.4577482,1785094995.4577482,1785094995.4569283,upsert,0,64,Adaptive,9971321710674973507,0.0008199214935302734,True,,forwarded,,12
41975,1024,update,1785094995.4579177,,1785094995.4571006,upsert,3,64,Adaptive,9971321710674973507,0.0008170604705810547,True,,enqueued,,15
41975,1024,update,1785094995.4580467,,1785094995.4570634,upsert,2,64,Adaptive,9971321710674973507,0.0009832382202148438,False,,suppressed,duplicate_holder,14
41975,1024,update,1785094995.4581459,,1785094995.4570189,upsert,1,64,Adaptive,9971321710674973507,0.001127004623413086,False,,suppressed,duplicate_holder,13
41975,1024,update,1785094995.4582868,1785094995.4582868,1785094995.4571006,upsert,3,64,Adaptive,9971321710674973507,0.0011861324310302734,True,,forwarded,,15
41975,1024,update,1785094996.9106483,,1785094996.9102368,upsert,0,64,Adaptive,4650049274038987083,0.0004115104675292969,True,,enqueued,,16
41975,1024,update,1785094996.9111092,1785094996.9111092,1785094996.9102368,upsert,0,64,Adaptive,4650049274038987083,0.0008723735809326172,True,,forwarded,,16
41975,1024,update,1785094996.9112554,,1785094996.9104078,upsert,3,64,Adaptive,4650049274038987083,0.0008475780487060547,True,,enqueued,,19
41975,1024,update,1785094996.9113848,,1785094996.9103715,upsert,2,64,Adaptive,4650049274038987083,0.0010132789611816406,False,,suppressed,duplicate_holder,18
