cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
16858,4096,update,1785075092.9748693,,1785075092.9743783,upsert,0,64,FullSync,15769623694692820738,0.0004909038543701172,True,,enqueued,,0
16858,4096,update,1785075092.975359,1785075092.975359,1785075092.9743783,upsert,0,64,FullSync,15769623694692820738,0.0009806156158447266,True,,forwarded,,0
16858,4096,update,1785075092.9755092,,1785075092.9745305,upsert,2,64,FullSync,15769623694692820738,0.000978708267211914,True,,enqueued,,2
16858,4096,update,1785075092.9756188,,1785075092.974573,upsert,3,64,FullSync,15769623694692820738,0.0010459423065185547,True,,enqueued,,3
16858,4096,update,1785075092.9757051,,1785075092.9744723,upsert,1,64,FullSync,15769623694692820738,0.0012328624725341797,True,,enqueued,,1
16858,4096,update,1785075092.9758706,1785075092.9758706,1785075092.9745305,upsert,2,64,FullSync,15769623694692820738,0.0013401508331298828,True,,forwarded,,2
16858,4096,update,1785075092.975997,1785075092.975997,1785075092.974573,upsert,3,64,FullSync,15769623694692820738,0.0014240741729736328,True,,forwarded,,3
16858,4096,update,1785075092.9761112,1785075092.9761112,1785075092.9744723,upsert,1,64,FullSync,15769623694692820738,0.0016388893127441406,True,,forwarded,,1
16858,1024,update,1785075094.425127,,1785075094.4246893,upsert,0,64,FullSync,12613465747135452669,0.00043773651123046875,True,,enqueued,,4
16858,1024,update,1785075094.4255788,1785075094.4255788,1785075094.4246893,upsert,0,64,FullSync,12613465747135452669,0.0008895397186279297,True,,forwarded,,4
16858,1024,update,1785075094.4257226,,1785075094.4248104,upsert,1,64,FullSync,12613465747135452669,0.0009121894836425781,True,,enqueued,,5
16858,1024,update,1785075094.4258611,,1785075094.424858,upsert,2,64,FullSync,12613465747135452669,0.0010030269622802734,True,,enqueued,,6
16858,1024,update,1785075094.4259508,,1785075094.4248981,upsert,3,64,FullSync,12613465747135452669,0.0010526180267333984,True,,enqueued,,7
16858,1024,update,1785075094.426086,1785075094.426086,1785075094.4248104,upsert,1,64,FullSync,12613465747135452669,0.0012755393981933594,True,,forwarded,,5
16858,1024,update,1785075094.4262,1785075094.4262,1785075094.424858,upsert,2,64,FullSync,12613465747135452669,0.0013418197631835938,True,,forwarded,,6
16858,1024,update,1785075094.4263093,1785075094.4263093,1785075094.4248981,upsert,3,64,FullSync,12613465747135452669,0.0014111995697021484,True,,forwarded,,7
16858,2048,update,1785075098.554287,,1785075098.5538673,upsert,0,64,FullSync,12523743054995375112,0.00041961669921875,True,,enqueued,,8
16858,2048,update,1785075098.55473,1785075098.55473,1785075098.5538673,upsert,0,64,FullSync,12523743054995375112,0.0008625984191894531,True,,forwarded,,8
16858,2048,update,1785075098.5549052,,1785075098.5540087,upsert,2,64,FullSync,12523743054995375112,0.000896453857421875,True,,enqueued,,10
16858,2048,update,1785075098.5550148,,1785075098.5539653,upsert,1,64,FullSync,12523743054995375112,0.0010495185852050781,True,,enqueued,,9
16858,2048,update,1785075098.555102,,1785075098.5540493,upsert,3,64,FullSync,12523743054995375112,0.0010528564453125,True,,enqueued,,11
16858,2048,update,1785075098.55524,1785075098.55524,1785075098.5540087,upsert,2,64,FullSync,12523743054995375112,0.0012311935424804688,True,,forwarded,,10
16858,2048,update,1785075098.5553575,1785075098.5553575,1785075098.5539653,upsert,1,64,FullSync,12523743054995375112,0.0013921260833740234,True,,forwarded,,9
16858,2048,update,1785075098.555455,1785075098.555455,1785075098.5540493,upsert,3,64,FullSync,12523743054995375112,0.0014057159423828125,True,,forwarded,,11
16858,1024,update,1785075100.0008552,,1785075100.000456,upsert,0,64,FullSync,9971321710674973507,0.0003991127014160156,True,,enqueued,,12
16858,1024,update,1785075100.0012114,1785075100.0012114,1785075100.000456,upsert,0,64,FullSync,9971321710674973507,0.00075531005859375,True,,forwarded,,12
16858,1024,update,1785075100.00134,,1785075100.000629,upsert,3,64,FullSync,9971321710674973507,0.0007109642028808594,True,,enqueued,,15
16858,1024,update,1785075100.001441,,1785075100.0005944,upsert,2,64,FullSync,9971321710674973507,0.0008466243743896484,True,,enqueued,,14
16858,1024,update,1785075100.0015252,,1785075100.00055,upsert,1,64,FullSync,9971321710674973507,0.0009751319885253906,True,,enqueued,,13
16858,1024,update,1785075100.001663,1785075100.001663,1785075100.000629,upsert,3,64,FullSync,9971321710674973507,0.0010340213775634766,True,,forwarded,,15
16858,1024,update,1785075100.001755,1785075100.001755,1785075100.0005944,upsert,2,64,FullSync,9971321710674973507,0.0011606216430664062,True,,forwarded,,14
16858,1024,update,1785075101.359072,,1785075101.3587172,upsert,0,64,FullSync,4650049274038987083,0.000354766845703125,True,,enqueued,,16
16858,1024,update,1785075101.3594186,,1785075101.3588479,upsert,3,64,FullSync,4650049274038987083,0.0005707740783691406,True,,enqueued,,19
16858,1024,update,1785075101.3595366,,1785075101.358824,upsert,2,64,FullSync,4650049274038987083,0.0007126331329345703,True,,enqueued,,18
16858,1024,update,1785075101.3596268,,1785075101.35877,upsert,1,64,FullSync,4650049274038987083,0.0008568763732910156,True,,enqueued,,17
16858,1024,update,1785075102.9348814,1785075102.9348814,1785075100.00055,upsert,1,64,FullSync,9971321710674973507,2.9343314170837402,True,,forwarded,,13
16858,2048,update,1785075105.456311,,1785075105.4559422,upsert,0,64,FullSync,3163096543987652428,0.0003688335418701172,True,,enqueued,,20
16858,2048,update,1785075105.456619,,1785075105.4561276,upsert,3,64,FullSync,3163096543987652428,0.0004913806915283203,True,,enqueued,,23
16858,2048,update,1785075105.4567304,,1785075105.4560905,upsert,2,64,FullSync,3163096543987652428,0.0006399154663085938,True,,enqueued,,22
16858,2048,update,1785075105.456844,,1785075105.4560406,upsert,1,64,FullSync,3163096543987652428,0.0008034706115722656,True,,enqueued,,21
16858,1024,update,1785075106.9085147,,1785075106.9081333,upsert,0,64,FullSync,10402019323283478844,0.0003814697265625,True,,enqueued,,24
16858,1024,update,1785075106.9089026,,1785075106.9082367,upsert,3,64,FullSync,10402019323283478844,0.0006659030914306641,True,,enqueued,,27
16858,1024,update,1785075106.909025,,1785075106.908213,upsert,2,64,FullSync,10402019323283478844,0.0008120536804199219,True,,enqueued,,26
16858,1024,update,1785075106.9091163,,1785075106.9081876,upsert,1,64,FullSync,10402019323283478844,0.0009286403656005859,True,,enqueued,,25
16858,1024,update,1785075108.317077,,1785075108.3166811,upsert,0,64,FullSync,14064140743279553366,0.00039577484130859375,True,,enqueued,,28
16858,1024,update,1785075108.3173497,,1785075108.316875,upsert,2,64,FullSync,14064140743279553366,0.00047469139099121094,True,,enqueued,,30
16858,1024,update,1785075108.3174698,,1785075108.316805,upsert,1,64,FullSync,14064140743279553366,0.0006649494171142578,True,,enqueued,,29
16858,1024,update,1785075108.3176405,,1785075108.3169343,upsert,3,64,FullSync,14064140743279553366,0.0007061958312988281,True,,enqueued,,31
16858,1024,update,1785075111.7513895,1785075111.7513895,1785075101.3587172,upsert,0,64,FullSync,4650049274038987083,10.392672300338745,True,,forwarded,,16
16858,1024,update,1785075111.7515454,1785075111.7515454,1785075101.3588479,upsert,3,64,FullSync,4650049274038987083,10.39269757270813,True,,forwarded,,19
16858,2048,update,1785075112.3966413,,1785075112.3962085,upsert,0,64,FullSync,12376960631178457983,0.00043272972106933594,True,,enqueued,,32
16858,2048,update,1785075112.397039,,1785075112.3963842,upsert,3,64,FullSync,12376960631178457983,0.0006546974182128906,True,,enqueued,,35
16858,2048,update,1785075112.3971608,,1785075112.3963013,upsert,1,64,FullSync,12376960631178457983,0.0008594989776611328,True,,enqueued,,33
16858,2048,update,1785075112.3972526,,1785075112.396347,upsert,2,64,FullSync,12376960631178457983,0.0009055137634277344,True,,enqueued,,34
16858,1024,update,1785075113.841313,,1785075113.8409746,upsert,0,64,FullSync,947483498426156190,0.0003383159637451172,True,,enqueued,,36
16858,1024,update,1785075113.8416283,,1785075113.8410704,upsert,1,64,FullSync,947483498426156190,0.0005578994750976562,True,,enqueued,,37
16858,1024,update,1785075113.841741,,1785075113.8411174,upsert,2,64,FullSync,947483498426156190,0.0006237030029296875,True,,enqueued,,38
16858,1024,update,1785075113.8418636,,1785075113.8411584,upsert,3,64,FullSync,947483498426156190,0.0007052421569824219,True,,enqueued,,39
16858,2048,update,1785075117.9990444,,1785075117.9987426,upsert,0,64,FullSync,3073007241776570211,0.0003018379211425781,True,,enqueued,,40
16858,2048,update,1785075117.9991965,,1785075117.9988582,upsert,1,64,FullSync,3073007241776570211,0.0003383159637451172,True,,enqueued,,41
16858,2048,update,1785075117.9992387,,1785075117.998906,upsert,2,64,FullSync,3073007241776570211,0.00033283233642578125,True,,enqueued,,42
16858,2048,update,1785075117.9992702,,1785075117.998945,upsert,3,64,FullSync,3073007241776570211,0.00032520294189453125,True,,enqueued,,43
16858,2048,update,1785075122.242403,,1785075122.242052,upsert,0,64,FullSync,14108233664250482536,0.0003509521484375,True,,enqueued,,44
16858,2048,update,1785075122.2427087,,1785075122.2421901,upsert,2,64,FullSync,14108233664250482536,0.0005185604095458984,True,,enqueued,,46
16858,2048,update,1785075122.242848,,1785075122.2421463,upsert,1,64,FullSync,14108233664250482536,0.0007016658782958984,True,,enqueued,,45
16858,2048,update,1785075122.2429378,,1785075122.2422273,upsert,3,64,FullSync,14108233664250482536,0.0007104873657226562,True,,enqueued,,47
16858,2048,update,1785075126.329916,,1785075126.3294392,upsert,0,64,FullSync,14774026810505956694,0.000476837158203125,True,,enqueued,,48
16858,2048,update,1785075126.3302703,,1785075126.3296177,upsert,3,64,FullSync,14774026810505956694,0.0006525516510009766,True,,enqueued,,51
16858,2048,update,1785075126.330392,,1785075126.3295803,upsert,2,64,FullSync,14774026810505956694,0.0008115768432617188,True,,enqueued,,50
16858,2048,update,1785075126.3304844,,1785075126.329536,upsert,1,64,FullSync,14774026810505956694,0.0009484291076660156,True,,enqueued,,49
16858,2048,update,1785075130.574245,,1785075130.5738654,upsert,0,64,FullSync,5281956220402968541,0.0003795623779296875,True,,enqueued,,52
16858,2048,update,1785075130.5745618,,1785075130.574047,upsert,3,64,FullSync,5281956220402968541,0.0005147457122802734,True,,enqueued,,55
16858,2048,update,1785075130.5746756,,1785075130.5740106,upsert,2,64,FullSync,5281956220402968541,0.0006649494171142578,True,,enqueued,,54
16858,2048,update,1785075130.5747635,,1785075130.5739648,upsert,1,64,FullSync,5281956220402968541,0.0007987022399902344,True,,enqueued,,53
16858,1024,update,1785075131.1389308,1785075131.1389308,1785075101.358824,upsert,2,64,FullSync,4650049274038987083,29.780106782913208,True,,forwarded,,18
16858,1024,update,1785075131.1390622,1785075131.1390622,1785075101.35877,upsert,1,64,FullSync,4650049274038987083,29.78029227256775,True,,forwarded,,17
16858,2048,update,1785075134.077918,1785075134.077918,1785075105.4559422,upsert,0,64,FullSync,3163096543987652428,28.621975898742676,True,,forwarded,,20
16858,2048,update,1785075134.8458192,,1785075134.8453834,upsert,0,64,FullSync,1785562587857272681,0.00043582916259765625,True,,enqueued,,56
