cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
27693,4096,update,1785087558.9591985,,1785087558.9587328,upsert,0,64,RateFIFO,15769623694692820738,0.00046563148498535156,True,,enqueued,,0
27693,4096,update,1785087558.959729,1785087558.959729,1785087558.9587328,upsert,0,64,RateFIFO,15769623694692820738,0.0009961128234863281,True,,forwarded,,0
27693,4096,update,1785087558.9599314,,1785087558.958905,upsert,2,64,RateFIFO,15769623694692820738,0.0010263919830322266,False,,suppressed,rate_limit,2
27693,4096,update,1785087558.9600692,,1785087558.9588454,upsert,1,64,RateFIFO,15769623694692820738,0.0012238025665283203,False,,suppressed,rate_limit,1
27693,4096,update,1785087558.9601848,,1785087558.9589462,upsert,3,64,RateFIFO,15769623694692820738,0.0012385845184326172,False,,suppressed,rate_limit,3
27693,1024,update,1785087560.414738,,1785087560.4142923,upsert,0,64,RateFIFO,12613465747135452669,0.0004456043243408203,True,,enqueued,,4
27693,1024,update,1785087560.415208,1785087560.415208,1785087560.4142923,upsert,0,64,RateFIFO,12613465747135452669,0.0009157657623291016,True,,forwarded,,4
27693,1024,update,1785087560.4153576,,1785087560.414466,upsert,3,64,RateFIFO,12613465747135452669,0.0008916854858398438,False,,suppressed,rate_limit,7
27693,1024,update,1785087560.415459,,1785087560.4143841,upsert,1,64,RateFIFO,12613465747135452669,0.0010747909545898438,False,,suppressed,rate_limit,5
27693,1024,update,1785087560.4155447,,1785087560.4144292,upsert,2,64,RateFIFO,12613465747135452669,0.001115560531616211,False,,suppressed,rate_limit,6
27693,2048,update,1785087564.534118,,1785087564.5336685,upsert,0,64,RateFIFO,12523743054995375112,0.0004494190216064453,True,,enqueued,,8
27693,2048,update,1785087564.5345418,1785087564.5345418,1785087564.5336685,upsert,0,64,RateFIFO,12523743054995375112,0.0008733272552490234,True,,forwarded,,8
27693,2048,update,1785087564.534684,,1785087564.5338736,upsert,3,64,RateFIFO,12523743054995375112,0.0008103847503662109,False,,suppressed,rate_limit,11
27693,2048,update,1785087564.5348125,,1785087564.5338347,upsert,2,64,RateFIFO,12523743054995375112,0.0009777545928955078,False,,suppressed,rate_limit,10
27693,2048,update,1785087564.5349023,,1785087564.533768,upsert,1,64,RateFIFO,12523743054995375112,0.0011343955993652344,False,,suppressed,rate_limit,9
27693,1024,update,1785087565.9668386,,1785087565.9664836,upsert,0,64,RateFIFO,9971321710674973507,0.00035500526428222656,True,,enqueued,,12
27693,1024,update,1785087565.9670255,1785087565.9670255,1785087565.9664836,upsert,0,64,RateFIFO,9971321710674973507,0.0005419254302978516,True,,forwarded,,12
27693,1024,update,1785087565.967086,,1785087565.966663,upsert,3,64,RateFIFO,9971321710674973507,0.00042319297790527344,False,,suppressed,rate_limit,15
27693,1024,update,1785087565.9671214,,1785087565.9666278,upsert,2,64,RateFIFO,9971321710674973507,0.0004935264587402344,False,,suppressed,rate_limit,14
