experiment_id,rep,cell_id,policy,rho,workload,event,cell,update_id,owner,prefix_digest64,op,generation_time,dispatcher_arrival_time,coverage_tokens,payload_bytes
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,0,0,15769623694692820738,upsert,1785082547.2239277,1785082547.2264788,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,4,0,12613465747135452669,upsert,1785082548.6519232,1785082548.6548543,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,8,0,12523743054995375112,upsert,1785082552.8013368,1785082552.8038313,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,12,0,9971321710674973507,upsert,1785082554.2188785,1785082554.2213883,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,16,0,4650049274038987083,upsert,1785082555.6013598,1785082555.6043134,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,20,0,3163096543987652428,upsert,1785082559.6997223,1785082559.7022178,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,24,0,10402019323283478844,upsert,1785082561.15615,1785082561.1585925,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,28,0,14064140743279553366,upsert,1785082562.575329,1785082562.5781903,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,32,0,12376960631178457983,upsert,1785082566.6987066,1785082566.7011826,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,36,0,947483498426156190,upsert,1785082568.1697423,1785082568.1726537,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,40,0,3073007241776570211,upsert,1785082572.3463006,1785082572.3492777,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,44,0,14108233664250482536,upsert,1785082576.6636906,1785082576.6665902,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,48,0,14774026810505956694,upsert,1785082580.8840706,1785082580.8869522,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,52,0,5281956220402968541,upsert,1785082585.153919,1785082585.1568048,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,56,0,1785562587857272681,upsert,1785082589.2503939,1785082589.253309,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,60,0,1610475058989402671,upsert,1785082593.4382088,1785082593.4414856,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,64,0,9971321710674973507,upsert,1785082595.2280576,1785082595.2310984,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45257,68,0,15769623694692820738,upsert,1785082597.811408,1785082597.8143563,4096,64
