cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
6528,2048,update,1785002405.2001188,,1785002405.199661,upsert,0,64,AgeCov-Greedy,9971321710674973507,0.000457763671875,True,0.01416015625,enqueued,,0
6528,2048,update,1785002405.200641,1785002405.200641,1785002405.199661,upsert,0,64,AgeCov-Greedy,9971321710674973507,0.0009799003601074219,True,0.031219482421875,forwarded,,0
6528,2048,update,1785002405.2008386,,1785002405.1997564,upsert,2,64,AgeCov-Greedy,13143428811662154315,0.0010821819305419922,True,0.03440093994140625,enqueued,,1
6528,2048,update,1785002405.2009578,,1785002405.1998374,upsert,1,64,AgeCov-Greedy,12613465747135452669,0.0011203289031982422,True,0.0356903076171875,enqueued,,2
6528,2048,update,1785002405.2010517,,1785002405.1998823,upsert,3,64,AgeCov-Greedy,12523743054995375112,0.001169443130493164,True,0.03729248046875,enqueued,,3
6528,2048,update,1785002405.2012472,1785002405.2012472,1785002405.1997564,upsert,2,64,AgeCov-Greedy,13143428811662154315,0.0014908313751220703,True,0.0476226806640625,forwarded,,1
6528,2048,update,1785002405.2013988,1785002405.2013988,1785002405.1998374,upsert,1,64,AgeCov-Greedy,12613465747135452669,0.0015614032745361328,True,0.049896240234375,forwarded,,2
6528,2048,update,1785002405.2015293,1785002405.2015293,1785002405.1998823,upsert,3,64,AgeCov-Greedy,12523743054995375112,0.0016469955444335938,True,0.052642822265625,forwarded,,3
6528,2560,update,1785002407.0112376,,1785002407.0106785,upsert,0,64,AgeCov-Greedy,12613465747135452669,0.0005590915679931641,True,0.021772384643554688,enqueued,,4
6528,2560,update,1785002407.0117514,1785002407.0117514,1785002407.0106785,upsert,0,64,AgeCov-Greedy,12613465747135452669,0.0010728836059570312,True,0.04279136657714844,forwarded,,4
6528,3072,update,1785002407.011953,,1785002407.0108967,upsert,2,64,AgeCov-Greedy,12613465747135452669,0.0010564327239990234,True,0.0503997802734375,enqueued,,7
6528,2048,update,1785002407.0120714,,1785002407.0108051,upsert,3,64,AgeCov-Greedy,15769623694692820738,0.0012662410736083984,True,0.040374755859375,enqueued,,5
6528,2048,update,1785002407.012168,,1785002407.0108557,upsert,1,64,AgeCov-Greedy,17730309890119328358,0.001312255859375,True,0.04186248779296875,enqueued,,6
6528,3072,update,1785002407.0123415,1785002407.0123415,1785002407.0108967,upsert,2,64,AgeCov-Greedy,12613465747135452669,0.0014448165893554688,True,0.06923675537109375,forwarded,,7
6528,2048,update,1785002407.0124805,1785002407.0124805,1785002407.0108051,upsert,3,64,AgeCov-Greedy,15769623694692820738,0.0016753673553466797,True,0.0535430908203125,forwarded,,5
6528,2048,update,1785002407.0125973,1785002407.0125973,1785002407.0108557,upsert,1,64,AgeCov-Greedy,17730309890119328358,0.001741647720336914,True,0.0556640625,forwarded,,6
6528,2560,update,1785002410.2138681,,1785002410.2132785,upsert,0,64,AgeCov-Greedy,15769623694692820738,0.0005896091461181641,True,0.022907257080078125,enqueued,,8
6528,2560,update,1785002410.2141237,,1785002410.2133844,upsert,0,64,AgeCov-Greedy,9971321710674973507,0.0007393360137939453,True,0.0292205810546875,enqueued,,9
6528,3072,update,1785002410.2142763,,1785002410.2134302,upsert,0,64,AgeCov-Greedy,9971321710674973507,0.0008461475372314453,True,0.040317535400390625,enqueued,,10
