experiment_id,rep,cell_id,policy,request_id,trace_id,workload,phase,lineage_id,step,digest,reusable_prefix_tokens,selected_instance,advertised_owners,candidate_hit,dispatch_time_unix,source_truth_coverage_tokens,dispatcher_view_coverage_tokens,advertised_coverage_tokens,dispatch_state_age_s,dispatcher_view_missing,source_view_false_negative,source_view_false_positive,physical_false_positive_affinity,expected_coverage_tokens,expected_net_prefill_ms,raw_candidate_fanout,evaluated_candidate_fanout,actual_reusable_coverage_tokens,validation_attempt,validation_result,fallback,stale_fallback,forced_owner_resets_before_request,coverage_shortfall_tokens,prompt_sha256,ok,error,prior_attempt_errors,attempt_count,sse_parse_errors,ttft_ms,latency_ms,chunks,input_tokens,output_tokens,vllm_cached_tokens
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,24,original_compatible:rep0:req24,original_compatible,0,18,0,L0018,2048,3,,False,1785002375.1691499,0,0,0,,False,False,False,False,0,0.0,0,0,32.0,False,cache_miss,False,False,0,0.0,78f7ffcd5463dc7778ecf49b6e131cad7240ae485cb06863af53b0e10b59316e,True,,,1,0,864.239945,1006.191157,6,2108,4,32
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,25,original_compatible:rep0:req25,original_compatible,0,3,0,L0003,2048,0,0,False,1785002375.1691995,3072,3072,3072,5.175323486328125,False,False,False,False,3072,0.0,1,1,2080.0,False,cache_reused,False,False,0,992.0,74eaf9f9f940d5aff765839ad720fb123a68f97bf3ed3e687f4f9eef1f16f26d,True,,,1,0,169.972128,446.039579,6,2108,4,2080
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,26,original_compatible:rep0:req26,original_compatible,0,0,2,L0000,3072,0,0,True,1785002375.1692367,2560,2560,2560,0.00012826919555664062,False,False,False,False,2560,49.2,1,1,3136.0,True,cache_reused,False,False,0,0.0,b4851d5b53de78a88c46d2057bc956aaf4fc4c01115da0689093f41c72d841ce,True,,,1,0,169.277648,445.129366,6,3154,4,3136
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,27,original_compatible:rep0:req27,original_compatible,0,0,0,L0000,2048,0,0,True,1785002375.169266,2560,2560,2560,0.0001575946807861328,False,False,False,False,2560,47.2,1,1,2080.0,True,cache_reused,False,False,0,480.0,ab55999ef8b1994c15a37d97c823af13128c57ab1653c792cb05f7c9d4529dfd,True,,,1,0,264.499066,489.705305,6,2108,4,2080
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,28,original_compatible:rep0:req28,original_compatible,0,6,0,L0006,2048,2,,False,1785002376.176161,0,0,0,,False,False,False,False,0,0.0,0,0,16.0,False,cache_miss,False,False,0,0.0,4a7f99edc344dd267361ef9ae09c96c3c5bbe72a345bdc87dcc63e040438edd1,True,,,1,0,1081.028765,1224.950494,6,2108,4,16
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,29,original_compatible:rep0:req29,original_compatible,0,4,1,L0004,2560,3,3,True,1785002376.1761854,2048,2048,2048,3.7598037719726562,False,False,False,False,2048,40.96,1,1,2080.0,True,cache_reused,False,False,0,0.0,33106e036f0919a29009a2fa50e878bf942dbb0f0fc11bc2ff67e7ed71bcc95d,True,,,1,0,736.22852,911.744945,6,2631,4,2080
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,30,original_compatible:rep0:req30,original_compatible,0,31,0,L0031,2048,1,,False,1785002376.176199,0,0,0,,False,False,False,False,0,0.0,0,0,16.0,False,cache_miss,False,False,0,0.0,0076745c52d829bd5eed3276665e1f68ebfed6c382a1100ff90d2b317e3f7407,True,,,1,0,1116.445164,1248.31643,6,2108,4,16
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,31,original_compatible:rep0:req31,original_compatible,0,23,0,L0023,2048,0,,False,1785002376.1762097,0,0,0,,False,False,False,False,0,0.0,0,0,16.0,False,cache_miss,False,False,0,0.0,9059c448d715528f957a154e3f7aa5560b06cc5422c9e23239f347a813846bc4,True,,,1,0,899.171363,1042.446653,6,2108,4,16
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,32,original_compatible:rep0:req32,original_compatible,0,13,0,L0013,2048,3,,False,1785002377.4258966,0,0,0,,False,False,False,False,0,0.0,0,0,16.0,False,cache_miss,False,False,0,0.0,5e6229e89b114b34d94ca32204fa5e20b564e23682d12db95431ec119a66e0a5,True,,,1,0,897.863601,1046.992388,6,2108,4,16
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,33,original_compatible:rep0:req33,original_compatible,0,3,1,L0003,2560,0,0,False,1785002377.4259152,2048,2048,2048,1.2500503063201904,False,False,False,False,2048,0.0,1,1,2608.0,False,cache_reused,False,False,0,0.0,8a09c0604363833c06f4b73d5742404cb3a3fe45046e133d2d8ef737ece3f8b2,True,,,1,0,108.255163,429.96504,6,2631,4,2608
20260726_formal4t4_original_compatible_Ideal_rep0,0,Ideal,Ideal,34,original_compatible:rep0:req34,original_compatible,0,3,2,L0003,3072,0,0,True,1785002377.4259276,2048,2048,2048,1.2500627040863037,False,False,False,False,2048,38.96,1,1,3136.0,True,cache_reused,False,False,0,0.0,2c5f99002d18d05d7542102e0eea7899d4b59ed1a4d578d0e8f14b2179517d32,True,,,1,0,241.35655,524.000508,6,3154,4,3136
