cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
18475,2048,update,1784999386.6051848,,1784999386.6047091,upsert,0,64,Adaptive,15769623694692820738,0.0004756450653076172,True,,enqueued,,0
18475,2048,update,1784999386.6056945,1784999386.6056945,1784999386.6047091,upsert,0,64,Adaptive,15769623694692820738,0.0009853839874267578,True,,forwarded,,0
18475,2048,update,1784999386.6058793,,1784999386.6048226,upsert,1,64,Adaptive,15769623694692820738,0.001056671142578125,True,,enqueued,,1
18475,2048,update,1784999386.6060197,,1784999386.604925,upsert,3,64,Adaptive,15769623694692820738,0.001094818115234375,False,,suppressed,duplicate_holder,3
18475,2048,update,1784999386.6061175,,1784999386.6048832,upsert,2,64,Adaptive,15769623694692820738,0.001234292984008789,False,,suppressed,duplicate_holder,2
18475,2048,update,1784999386.606279,1784999386.606279,1784999386.6048226,upsert,1,64,Adaptive,15769623694692820738,0.0014562606811523438,True,,forwarded,,1
18475,2048,update,1784999387.7525277,,1784999387.7520802,upsert,0,64,Adaptive,12613465747135452669,0.0004475116729736328,True,,enqueued,,4
18475,2048,update,1784999387.7530656,1784999387.7530656,1784999387.7520802,upsert,0,64,Adaptive,12613465747135452669,0.0009853839874267578,True,,forwarded,,4
18475,2048,update,1784999387.7532308,,1784999387.7522488,upsert,2,64,Adaptive,12613465747135452669,0.000982046127319336,True,,enqueued,,6
18475,2048,update,1784999387.753417,,1784999387.7521846,upsert,1,64,Adaptive,12613465747135452669,0.0012323856353759766,False,,suppressed,duplicate_holder,5
18475,2048,update,1784999387.7535408,,1784999387.7523065,upsert,3,64,Adaptive,12613465747135452669,0.001234292984008789,False,,suppressed,duplicate_holder,7
18475,2048,update,1784999387.7537422,1784999387.7537422,1784999387.7522488,upsert,2,64,Adaptive,12613465747135452669,0.0014934539794921875,True,,forwarded,,6
18475,2048,update,1784999388.8801637,,1784999388.8796394,upsert,0,64,Adaptive,12523743054995375112,0.0005242824554443359,True,,enqueued,,8
