cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
25803,2048,update,1785001234.8920102,,1785001234.8915057,upsert,0,64,Adaptive,15769623694692820738,0.0005044937133789062,True,,enqueued,,0
25803,2048,update,1785001234.8925035,1785001234.8925035,1785001234.8915057,upsert,0,64,Adaptive,15769623694692820738,0.000997781753540039,True,,forwarded,,0
25803,2048,update,1785001234.8926582,,1785001234.8916633,upsert,1,64,Adaptive,15769623694692820738,0.0009949207305908203,True,,enqueued,,2
25803,2048,update,1785001234.8928647,,1785001234.8916032,upsert,2,64,Adaptive,14064140743279553366,0.0012614727020263672,True,,enqueued,,1
25803,4096,update,1785001234.8930576,,1785001234.8917058,upsert,3,64,Adaptive,12613465747135452669,0.0013518333435058594,True,,enqueued,,3
25803,2048,update,1785001234.8933685,1785001234.8933685,1785001234.8916633,upsert,1,64,Adaptive,15769623694692820738,0.001705169677734375,True,,forwarded,,2
25803,2048,update,1785001234.893585,1785001234.893585,1785001234.8916032,upsert,2,64,Adaptive,14064140743279553366,0.0019817352294921875,True,,forwarded,,1
25803,4096,update,1785001234.8938105,1785001234.8938105,1785001234.8917058,upsert,3,64,Adaptive,12613465747135452669,0.0021047592163085938,True,,forwarded,,3
25803,2048,update,1785001236.4592671,,1785001236.4588113,upsert,0,64,Adaptive,947483498426156190,0.0004558563232421875,True,,enqueued,,4
25803,2048,update,1785001236.4597273,1785001236.4597273,1785001236.4588113,upsert,0,64,Adaptive,947483498426156190,0.0009160041809082031,True,,forwarded,,4
25803,2048,update,1785001236.4599485,,1785001236.458963,upsert,1,64,Adaptive,15769623694692820738,0.0009856224060058594,True,,enqueued,,6
25803,2048,update,1785001236.4601495,,1785001236.4590049,upsert,2,64,Adaptive,14064140743279553366,0.0011446475982666016,True,,enqueued,,7
25803,2048,update,1785001236.4603438,,1785001236.4589107,upsert,3,64,Adaptive,12376960631178457983,0.0014331340789794922,True,,enqueued,,5
25803,2048,update,1785001236.4606159,1785001236.4606159,1785001236.458963,upsert,1,64,Adaptive,15769623694692820738,0.0016529560089111328,True,,forwarded,,6
25803,2048,update,1785001236.460828,1785001236.460828,1785001236.4590049,upsert,2,64,Adaptive,14064140743279553366,0.0018231868743896484,True,,forwarded,,7
25803,2048,update,1785001236.46101,1785001236.46101,1785001236.4589107,upsert,3,64,Adaptive,12376960631178457983,0.002099275588989258,True,,forwarded,,5
25803,1024,update,1785001237.1333215,,1785001237.1330173,upsert,0,64,Adaptive,9971321710674973507,0.00030422210693359375,True,,enqueued,,8
25803,1024,update,1785001237.1334896,1785001237.1334896,1785001237.1330173,upsert,0,64,Adaptive,9971321710674973507,0.0004723072052001953,True,,forwarded,,8
25803,1024,update,1785001237.1335466,,1785001237.1331758,upsert,3,64,Adaptive,12523743054995375112,0.0003707408905029297,True,,enqueued,,10
25803,1024,update,1785001237.1336436,1785001237.1336436,1785001237.1331758,upsert,3,64,Adaptive,12523743054995375112,0.0004677772521972656,True,,forwarded,,10
25803,2048,update,1785001237.1336887,,1785001237.1331182,upsert,1,64,Adaptive,15769623694692820738,0.0005705356597900391,True,,enqueued,,9
25803,2048,update,1785001237.133728,,1785001237.1331182,upsert,1,64,Adaptive,15769623694692820738,0.0006098747253417969,False,,suppressed,superseded,9
25803,2048,update,1785001237.1337523,,1785001237.1332192,upsert,1,64,Adaptive,15769623694692820738,0.0005331039428710938,True,,enqueued,,11
25803,2048,update,1785001237.1338146,1785001237.1338146,1785001237.1332192,upsert,1,64,Adaptive,15769623694692820738,0.0005953311920166016,True,,forwarded,,11
25803,1024,update,1785001237.715411,,1785001237.714905,upsert,2,64,Adaptive,12523743054995375112,0.0005059242248535156,True,,enqueued,,12
25803,1024,update,1785001237.715821,1785001237.715821,1785001237.714905,upsert,2,64,Adaptive,12523743054995375112,0.0009160041809082031,True,,forwarded,,12
25803,2048,update,1785001237.715969,,1785001237.715162,upsert,0,64,Adaptive,15769623694692820738,0.0008070468902587891,True,,enqueued,,13
25803,2048,update,1785001237.7161968,1785001237.7161968,1785001237.715162,upsert,0,64,Adaptive,15769623694692820738,0.0010347366333007812,True,,forwarded,,13
25803,4096,update,1785001237.7163186,,1785001237.715402,upsert,3,64,Adaptive,12613465747135452669,0.0009167194366455078,True,,enqueued,,14
25803,4096,update,1785001237.716425,,1785001237.715402,upsert,3,64,Adaptive,12613465747135452669,0.0010230541229248047,False,,suppressed,superseded,14
25803,4096,update,1785001237.7164938,,1785001237.7157643,upsert,3,64,Adaptive,12613465747135452669,0.0007295608520507812,True,,enqueued,,15
25803,4096,update,1785001237.7166078,1785001237.7166078,1785001237.7157643,upsert,3,64,Adaptive,12613465747135452669,0.0008435249328613281,True,,forwarded,,15
25803,2048,update,1785001238.9528325,,1785001238.9524512,upsert,1,64,Adaptive,3163096543987652428,0.00038123130798339844,True,,enqueued,,16
25803,2048,update,1785001238.953065,1785001238.953065,1785001238.9524512,upsert,1,64,Adaptive,3163096543987652428,0.0006136894226074219,True,,forwarded,,16
25803,4096,update,1785001238.953274,,1785001238.9527597,upsert,3,64,Adaptive,12613465747135452669,0.0005142688751220703,True,,enqueued,,17
25803,1024,update,1785001238.9535248,,1785001238.9531658,upsert,0,64,Adaptive,17730309890119328358,0.0003590583801269531,True,,enqueued,,18
25803,2048,update,1785001238.9536438,,1785001238.953325,upsert,0,64,Adaptive,15769623694692820738,0.00031876564025878906,True,,enqueued,,19
