cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
45872,4096,update,1784999709.24114,,1784999709.2406297,upsert,0,64,RateFIFO,15769623694692820738,0.0005102157592773438,True,,enqueued,,0
45872,4096,update,1784999709.2416549,1784999709.2416549,1784999709.2406297,upsert,0,64,RateFIFO,15769623694692820738,0.0010251998901367188,True,,forwarded,,0
45872,4096,update,1784999709.2418776,,1784999709.240728,upsert,1,64,RateFIFO,15769623694692820738,0.0011496543884277344,False,,suppressed,rate_limit,1
45872,4096,update,1784999709.2420135,,1784999709.2408986,upsert,3,64,RateFIFO,15769623694692820738,0.0011148452758789062,False,,suppressed,rate_limit,3
45872,4096,update,1784999709.2421272,,1784999709.2408302,upsert,2,64,RateFIFO,15769623694692820738,0.0012969970703125,False,,suppressed,rate_limit,2
45872,1024,update,1784999709.8414981,,1784999709.841113,upsert,0,64,RateFIFO,12613465747135452669,0.00038504600524902344,True,,enqueued,,4
45872,1024,update,1784999709.841714,1784999709.841714,1784999709.841113,upsert,0,64,RateFIFO,12613465747135452669,0.0006008148193359375,True,,forwarded,,4
45872,1024,update,1784999709.8419135,,1784999709.841297,upsert,3,64,RateFIFO,12613465747135452669,0.0006165504455566406,False,,suppressed,rate_limit,7
45872,1024,update,1784999709.8421981,,1784999709.841259,upsert,2,64,RateFIFO,12613465747135452669,0.0009391307830810547,False,,suppressed,rate_limit,6
45872,1024,update,1784999709.8423202,,1784999709.841215,upsert,1,64,RateFIFO,12613465747135452669,0.0011053085327148438,False,,suppressed,rate_limit,5
45872,1024,update,1784999710.4318624,,1784999710.4315693,upsert,0,64,RateFIFO,12523743054995375112,0.0002930164337158203,True,,enqueued,,8
45872,1024,update,1784999710.432065,1784999710.432065,1784999710.4315693,upsert,0,64,RateFIFO,12523743054995375112,0.0004956722259521484,True,,forwarded,,8
45872,1024,update,1784999710.4321272,,1784999710.431689,upsert,3,64,RateFIFO,12523743054995375112,0.0004382133483886719,False,,suppressed,rate_limit,11
45872,1024,update,1784999710.4321654,,1784999710.431628,upsert,1,64,RateFIFO,12523743054995375112,0.0005373954772949219,False,,suppressed,rate_limit,9
45872,1024,update,1784999710.4321964,,1784999710.4316595,upsert,2,64,RateFIFO,12523743054995375112,0.0005369186401367188,False,,suppressed,rate_limit,10
45872,2048,update,1784999711.6988094,,1784999711.698411,upsert,0,64,RateFIFO,9971321710674973507,0.00039839744567871094,True,,enqueued,,12
45872,2048,update,1784999711.698991,1784999711.698991,1784999711.698411,upsert,0,64,RateFIFO,9971321710674973507,0.0005800724029541016,True,,forwarded,,12
45872,2048,update,1784999711.6990504,,1784999711.69859,upsert,3,64,RateFIFO,9971321710674973507,0.0004603862762451172,False,,suppressed,rate_limit,15
45872,2048,update,1784999711.6991425,,1784999711.6985078,upsert,1,64,RateFIFO,9971321710674973507,0.0006346702575683594,False,,suppressed,rate_limit,13
45872,2048,update,1784999711.69918,,1784999711.698551,upsert,2,64,RateFIFO,9971321710674973507,0.0006289482116699219,False,,suppressed,rate_limit,14
45872,1024,update,1784999712.1609123,,1784999712.1605422,upsert,0,64,RateFIFO,4650049274038987083,0.000370025634765625,True,,enqueued,,16
45872,1024,update,1784999712.1610935,1784999712.1610935,1784999712.1605422,upsert,0,64,RateFIFO,4650049274038987083,0.0005512237548828125,True,,forwarded,,16
45872,1024,update,1784999712.1611533,,1784999712.160712,upsert,2,64,RateFIFO,4650049274038987083,0.0004413127899169922,False,,suppressed,rate_limit,18
45872,1024,update,1784999712.161242,,1784999712.1606476,upsert,1,64,RateFIFO,4650049274038987083,0.0005943775177001953,False,,suppressed,rate_limit,17
45872,1024,update,1784999712.1612782,,1784999712.1607854,upsert,3,64,RateFIFO,4650049274038987083,0.0004928112030029297,False,,suppressed,rate_limit,19
45872,4096,update,1784999716.1466823,,1784999716.1462448,upsert,0,64,RateFIFO,3163096543987652428,0.0004374980926513672,True,,enqueued,,20
45872,4096,update,1784999716.1471424,1784999716.1471424,1784999716.1462448,upsert,0,64,RateFIFO,3163096543987652428,0.0008976459503173828,True,,forwarded,,20
45872,4096,update,1784999716.1472902,,1784999716.1464329,upsert,3,64,RateFIFO,3163096543987652428,0.0008573532104492188,False,,suppressed,rate_limit,23
45872,4096,update,1784999716.147391,,1784999716.1463463,upsert,1,64,RateFIFO,3163096543987652428,0.0010447502136230469,False,,suppressed,rate_limit,21
45872,4096,update,1784999716.147478,,1784999716.1463926,upsert,2,64,RateFIFO,3163096543987652428,0.001085519790649414,False,,suppressed,rate_limit,22
45872,2048,update,1784999717.558687,,1784999717.558305,upsert,0,64,RateFIFO,10402019323283478844,0.0003819465637207031,True,,enqueued,,24
45872,2048,update,1784999717.5589032,1784999717.5589032,1784999717.558305,upsert,0,64,RateFIFO,10402019323283478844,0.0005981922149658203,True,,forwarded,,24
45872,2048,update,1784999717.5589647,,1784999717.5584824,upsert,2,64,RateFIFO,10402019323283478844,0.00048232078552246094,False,,suppressed,rate_limit,26
45872,2048,update,1784999717.559002,,1784999717.5584157,upsert,1,64,RateFIFO,10402019323283478844,0.0005862712860107422,False,,suppressed,rate_limit,25
45872,2048,update,1784999717.5590668,,1784999717.5585434,upsert,3,64,RateFIFO,10402019323283478844,0.0005233287811279297,False,,suppressed,rate_limit,27
45872,2048,update,1784999718.7749631,,1784999718.7746067,upsert,0,64,RateFIFO,14064140743279553366,0.00035643577575683594,True,,enqueued,,28
45872,2048,update,1784999718.7751431,1784999718.7751431,1784999718.7746067,upsert,0,64,RateFIFO,14064140743279553366,0.0005364418029785156,True,,forwarded,,28
45872,2048,update,1784999718.7752044,,1784999718.7748055,upsert,3,64,RateFIFO,14064140743279553366,0.00039887428283691406,False,,suppressed,rate_limit,31
45872,2048,update,1784999718.7752955,,1784999718.7747028,upsert,1,64,RateFIFO,14064140743279553366,0.0005927085876464844,False,,suppressed,rate_limit,29
45872,2048,update,1784999718.7753315,,1784999718.7747462,upsert,2,64,RateFIFO,14064140743279553366,0.0005853176116943359,False,,suppressed,rate_limit,30
45872,2048,update,1784999719.5444243,,1784999719.5440338,upsert,0,64,RateFIFO,14064140743279553366,0.0003905296325683594,True,,enqueued,,32
45872,1024,update,1784999719.5445209,,1784999719.5441651,upsert,0,64,RateFIFO,4650049274038987083,0.00035572052001953125,False,,suppressed,rate_limit,33
45872,4096,update,1784999719.5445528,,1784999719.5442352,upsert,0,64,RateFIFO,15769623694692820738,0.00031757354736328125,False,,suppressed,rate_limit,34
45872,2048,update,1784999719.5446696,1784999719.5446696,1784999719.5440338,upsert,0,64,RateFIFO,14064140743279553366,0.0006358623504638672,True,,forwarded,,32
45872,4096,update,1784999719.5447218,,1784999719.5442972,upsert,0,64,RateFIFO,15769623694692820738,0.0004246234893798828,False,,suppressed,rate_limit,35
45872,1024,update,1784999720.0446937,,1784999720.044189,upsert,0,64,RateFIFO,12523743054995375112,0.0005047321319580078,True,,enqueued,,36
45872,1024,update,1784999720.0452027,1784999720.0452027,1784999720.044189,upsert,0,64,RateFIFO,12523743054995375112,0.0010137557983398438,True,,forwarded,,36
45872,1024,update,1784999720.0453556,,1784999720.0443833,upsert,3,64,RateFIFO,13367182244321225226,0.0009722709655761719,False,,suppressed,rate_limit,39
45872,1024,update,1784999720.045459,,1784999720.0443425,upsert,2,64,RateFIFO,13367182244321225226,0.0011165142059326172,False,,suppressed,rate_limit,38
45872,1024,update,1784999720.0455508,,1784999720.0442965,upsert,1,64,RateFIFO,16342886595574764735,0.0012543201446533203,False,,suppressed,rate_limit,37
45872,4096,update,1784999721.279815,,1784999721.279461,upsert,0,64,RateFIFO,15769623694692820738,0.0003540515899658203,True,,enqueued,,40
45872,2048,update,1784999721.2798955,,1784999721.2795668,upsert,0,64,RateFIFO,10402019323283478844,0.0003287792205810547,False,,suppressed,rate_limit,41
45872,4096,update,1784999721.2799273,,1784999721.2796564,upsert,0,64,RateFIFO,15769623694692820738,0.000270843505859375,False,,suppressed,rate_limit,43
45872,4096,update,1784999721.280041,1784999721.280041,1784999721.279461,upsert,0,64,RateFIFO,15769623694692820738,0.0005800724029541016,True,,forwarded,,40
45872,2048,update,1784999721.2800884,,1784999721.2796142,upsert,2,64,RateFIFO,13143428811662154315,0.0004742145538330078,False,,suppressed,rate_limit,42
45872,4096,update,1784999722.3640127,,1784999722.3635693,upsert,0,64,RateFIFO,15769623694692820738,0.00044345855712890625,True,,enqueued,,44
45872,4096,update,1784999722.3643215,1784999722.3643215,1784999722.3635693,upsert,0,64,RateFIFO,15769623694692820738,0.0007522106170654297,True,,forwarded,,44
45872,4096,update,1784999722.3645983,,1784999722.364039,upsert,0,64,RateFIFO,3163096543987652428,0.0005593299865722656,False,,suppressed,rate_limit,45
45872,1024,update,1784999722.364702,,1784999722.3643959,upsert,0,64,RateFIFO,12613465747135452669,0.00030612945556640625,False,,suppressed,rate_limit,46
45872,2048,update,1784999722.365001,,1784999722.3645384,upsert,2,64,RateFIFO,947483498426156190,0.00046253204345703125,False,,suppressed,rate_limit,47
45872,4096,update,1784999722.9776273,,1784999722.9771323,upsert,0,64,RateFIFO,15769623694692820738,0.0004949569702148438,True,,enqueued,,48
45872,4096,update,1784999722.9779775,1784999722.9779775,1784999722.9771323,upsert,0,64,RateFIFO,15769623694692820738,0.0008451938629150391,True,,forwarded,,48
45872,4096,update,1784999722.9782424,,1784999722.9776008,upsert,0,64,RateFIFO,15769623694692820738,0.0006415843963623047,False,,suppressed,rate_limit,49
45872,1024,update,1784999722.978345,,1784999722.9779735,upsert,0,64,RateFIFO,12613465747135452669,0.0003714561462402344,False,,suppressed,rate_limit,50
45872,1024,update,1784999722.9785237,,1784999722.9781215,upsert,3,64,RateFIFO,5281956220402968541,0.00040221214294433594,False,,suppressed,rate_limit,51
45872,2048,update,1784999726.1841636,,1784999726.1836689,upsert,1,64,RateFIFO,1785562587857272681,0.0004947185516357422,True,,enqueued,,52
45872,2048,update,1784999726.1845496,1784999726.1845496,1784999726.1836689,upsert,1,64,RateFIFO,1785562587857272681,0.0008807182312011719,True,,forwarded,,52
45872,4096,update,1784999726.1846988,,1784999726.1840107,upsert,2,64,RateFIFO,8862197794517271531,0.0006880760192871094,False,,suppressed,rate_limit,53
45872,4096,update,1784999726.1850173,,1784999726.1843812,upsert,0,64,RateFIFO,15769623694692820738,0.0006361007690429688,False,,suppressed,rate_limit,54
45872,2048,update,1784999726.185129,,1784999726.1847298,upsert,3,64,RateFIFO,947483498426156190,0.0003991127014160156,False,,suppressed,rate_limit,55
45872,1024,update,1784999729.5885503,,1784999729.5880654,upsert,2,64,RateFIFO,9417075026054648240,0.0004849433898925781,True,,enqueued,,56
45872,1024,update,1784999729.588976,1784999729.588976,1784999729.5880654,upsert,2,64,RateFIFO,9417075026054648240,0.0009105205535888672,True,,forwarded,,56
45872,4096,update,1784999729.5891318,,1784999729.5883174,upsert,0,64,RateFIFO,16048794067380282208,0.0008144378662109375,False,,suppressed,rate_limit,57
45872,4096,update,1784999729.5893395,,1784999729.588695,upsert,1,64,RateFIFO,3644968828599158073,0.0006444454193115234,False,,suppressed,rate_limit,58
45872,2048,update,1784999729.589521,,1784999729.5890462,upsert,3,64,RateFIFO,14361523986587977395,0.00047469139099121094,False,,suppressed,rate_limit,59
45872,4096,update,1784999733.4203792,,1784999733.4199243,upsert,2,64,RateFIFO,16954395879792744941,0.00045490264892578125,True,,enqueued,,60
45872,4096,update,1784999733.4206812,1784999733.4206812,1784999733.4199243,upsert,2,64,RateFIFO,16954395879792744941,0.0007569789886474609,True,,forwarded,,60
