experiment_id,rep,cell_id,policy,rho,workload,event,cell,update_id,owner,prefix_digest64,op,generation_time,dispatcher_arrival_time,coverage_tokens,payload_bytes
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,0,0,15769623694692820738,upsert,1784999709.2406297,1784999709.2432442,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,4,0,12613465747135452669,upsert,1784999709.841113,1784999709.8435884,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,8,0,12523743054995375112,upsert,1784999710.4315693,1784999710.4341667,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,12,0,9971321710674973507,upsert,1784999711.698411,1784999711.7008624,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,16,0,4650049274038987083,upsert,1784999712.1605422,1784999712.1642337,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,20,0,3163096543987652428,upsert,1784999716.1462448,1784999716.1491487,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,24,0,10402019323283478844,upsert,1784999717.558305,1784999717.561246,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,28,0,14064140743279553366,upsert,1784999718.7746067,1784999718.7783406,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,32,0,14064140743279553366,upsert,1784999719.5440338,1784999719.5467293,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,36,0,12523743054995375112,upsert,1784999720.044189,1784999720.0477586,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,40,0,15769623694692820738,upsert,1784999721.279461,1784999721.2828405,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,44,0,15769623694692820738,upsert,1784999722.3635693,1784999722.3677914,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,48,0,15769623694692820738,upsert,1784999722.9771323,1784999722.981483,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,52,1,1785562587857272681,upsert,1784999726.1836689,1784999726.1880474,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,56,2,9417075026054648240,upsert,1784999729.5880654,1784999729.592575,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,60,2,16954395879792744941,upsert,1784999733.4199243,1784999733.4242356,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,64,2,14694726361257372,upsert,1784999736.560997,1784999736.6467507,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,68,2,17622982719236225751,upsert,1784999739.5151134,1784999739.5196447,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,72,3,16048794067380282208,upsert,1784999742.9357455,1784999742.940105,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,0,RateFIFO@rho0.8,RateFIFO,0.8,reuse_intensive,dispatcher_arrival,45872,76,0,4132850298606047245,upsert,1784999746.1509984,1784999746.153116,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,0,0,15769623694692820738,upsert,1784999755.1530662,1784999755.156199,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,4,0,12613465747135452669,upsert,1784999755.7965133,1784999755.7990522,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,8,0,12523743054995375112,upsert,1784999756.347024,1784999756.349924,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,12,0,9971321710674973507,upsert,1784999757.6623862,1784999757.6648617,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,16,0,4650049274038987083,upsert,1784999758.2773619,1784999758.281155,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,20,0,3163096543987652428,upsert,1784999761.6183877,1784999761.621298,4096,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,24,0,10402019323283478844,upsert,1784999762.9953277,1784999762.9982362,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,28,0,14064140743279553366,upsert,1784999764.2224262,1784999764.2261584,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,32,0,14064140743279553366,upsert,1784999764.9639885,1784999764.9671562,2048,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,36,0,12523743054995375112,upsert,1784999765.516638,1784999765.520706,1024,64
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,0,RateFIFO@rho1.0,RateFIFO,1.0,reuse_intensive,dispatcher_arrival,45873,40,0,15769623694692820738,upsert,1784999766.8727114,1784999766.8765936,4096,64
