experiment_id,rep,cell_id,policy,rho,workload,event,cell,update_id,owner,prefix_digest64,op,generation_time,dispatcher_arrival_time,coverage_tokens,payload_bytes
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,0,Adaptive@rho1.2,Adaptive,1.2,reuse_intensive,dispatcher_arrival,30792,0,0,15769623694692820738,upsert,1785071112.4008634,1785071112.4038935,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,0,Adaptive@rho1.2,Adaptive,1.2,reuse_intensive,dispatcher_arrival,30792,2,2,15769623694692820738,upsert,1785071112.401011,1785071112.4040015,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,0,Adaptive@rho1.2,Adaptive,1.2,reuse_intensive,dispatcher_arrival,30792,4,0,12613465747135452669,upsert,1785071116.4919498,1785071116.4947422,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,0,Adaptive@rho1.2,Adaptive,1.2,reuse_intensive,dispatcher_arrival,30792,7,3,12613465747135452669,upsert,1785071116.4921274,1785071116.494842,2048,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,0,Adaptive@rho1.2,Adaptive,1.2,reuse_intensive,dispatcher_arrival,30792,8,0,12523743054995375112,upsert,1785071117.8694448,1785071117.8722475,1024,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,0,Adaptive@rho1.2,Adaptive,1.2,reuse_intensive,dispatcher_arrival,30792,11,3,12523743054995375112,upsert,1785071117.8696396,1785071117.8723316,1024,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,0,Adaptive@rho1.2,Adaptive,1.2,reuse_intensive,dispatcher_arrival,30792,12,0,9971321710674973507,upsert,1785071119.2744782,1785071119.2784028,1024,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,0,Adaptive@rho1.2,Adaptive,1.2,reuse_intensive,dispatcher_arrival,30792,13,1,9971321710674973507,upsert,1785071119.274577,1785071119.2784846,1024,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,0,Adaptive@rho1.2,Adaptive,1.2,reuse_intensive,dispatcher_arrival,30792,16,0,4650049274038987083,upsert,1785071132.2058637,1785071132.2096417,4096,64
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,0,Adaptive@rho1.2,Adaptive,1.2,reuse_intensive,dispatcher_arrival,30792,18,2,4650049274038987083,upsert,1785071132.206013,1785071132.2097225,4096,64
