experiment_id,rep,cell_id,policy,rho,workload,event,cell,update_id,owner,prefix_digest64,op,generation_time,dispatcher_arrival_time,coverage_tokens,payload_bytes
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,0,0,15769623694692820738,upsert,1785066923.4389942,1785066923.442104,2048,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,2,2,15769623694692820738,upsert,1785066923.4391463,1785066923.442212,2048,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,1,1,15769623694692820738,upsert,1785066923.439085,1785066923.4422722,2048,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,3,3,15769623694692820738,upsert,1785066923.4391885,1785066923.4423192,2048,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,4,0,12613465747135452669,upsert,1785066927.6095603,1785066927.612362,2048,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,7,3,12613465747135452669,upsert,1785066927.609741,1785066927.6124706,2048,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,6,2,12613465747135452669,upsert,1785066927.609703,1785066927.6125479,2048,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,5,1,12613465747135452669,upsert,1785066927.609658,1785066927.6126153,2048,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,8,0,12523743054995375112,upsert,1785066928.9859188,1785066928.9887044,1024,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,10,2,12523743054995375112,upsert,1785066928.9860904,1785066931.1675649,1024,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,9,1,12523743054995375112,upsert,1785066928.9860234,1785066935.361145,1024,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,11,3,12523743054995375112,upsert,1785066928.9861522,1785066935.3611896,1024,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,12,0,9971321710674973507,upsert,1785066930.3947659,1785066958.0062423,1024,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,15,3,9971321710674973507,upsert,1785066930.3949685,1785066969.361085,1024,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,13,1,9971321710674973507,upsert,1785066930.3948865,1785066969.3611941,1024,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,14,2,9971321710674973507,upsert,1785066930.394932,1785066969.361254,1024,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,16,0,4650049274038987083,upsert,1785066943.6349645,1785066982.715909,4096,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,18,2,4650049274038987083,upsert,1785066943.635144,1785066993.2966168,4096,64
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,0,LatestOnly@rho1.2,LatestOnly,1.2,reuse_intensive,dispatcher_arrival,38262,17,1,4650049274038987083,upsert,1785066943.635075,1785066993.2967052,4096,64
