cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
48037,1024,update,1785057831.7441554,,1785057831.7438629,upsert,0,64,Adaptive,15769623694692820738,0.0002925395965576172,True,,enqueued,,0
48037,1024,update,1785057831.7444081,1785057831.7444081,1785057831.7438629,upsert,0,64,Adaptive,15769623694692820738,0.0005452632904052734,True,,forwarded,,0
48037,1024,update,1785057831.7444816,,1785057831.7439566,upsert,1,64,Adaptive,15769623694692820738,0.0005249977111816406,True,,enqueued,,1
48037,1024,update,1785057831.744541,,1785057831.7440197,upsert,2,64,Adaptive,15769623694692820738,0.0005211830139160156,False,,suppressed,duplicate_holder,2
48037,1024,update,1785057831.7445822,,1785057831.7440639,upsert,3,64,Adaptive,15769623694692820738,0.0005183219909667969,False,,suppressed,duplicate_holder,3
48037,1024,update,1785057831.7446485,1785057831.7446485,1785057831.7439566,upsert,1,64,Adaptive,15769623694692820738,0.0006918907165527344,True,,forwarded,,1
48037,2048,update,1785057835.7133842,,1785057835.7128956,upsert,0,64,Adaptive,12613465747135452669,0.0004885196685791016,True,,enqueued,,4
48037,2048,update,1785057835.7138603,1785057835.7138603,1785057835.7128956,upsert,0,64,Adaptive,12613465747135452669,0.0009646415710449219,True,,forwarded,,4
48037,2048,update,1785057835.7139392,,1785057835.7130752,upsert,3,64,Adaptive,12613465747135452669,0.0008640289306640625,True,,enqueued,,7
48037,2048,update,1785057835.7140148,,1785057835.713038,upsert,2,64,Adaptive,12613465747135452669,0.0009768009185791016,False,,suppressed,duplicate_holder,6
48037,2048,update,1785057835.714069,,1785057835.7129912,upsert,1,64,Adaptive,12613465747135452669,0.0010776519775390625,False,,suppressed,duplicate_holder,5
48037,2048,update,1785057835.7141411,1785057835.7141411,1785057835.7130752,upsert,3,64,Adaptive,12613465747135452669,0.001065969467163086,True,,forwarded,,7
48037,1024,update,1785057837.0775013,,1785057837.0770078,upsert,0,64,Adaptive,12523743054995375112,0.0004935264587402344,True,,enqueued,,8
48037,1024,update,1785057837.078061,1785057837.078061,1785057837.0770078,upsert,0,64,Adaptive,12523743054995375112,0.0010533332824707031,True,,forwarded,,8
48037,1024,update,1785057837.0782285,,1785057837.077194,upsert,3,64,Adaptive,12523743054995375112,0.0010344982147216797,True,,enqueued,,11
48037,1024,update,1785057837.078394,,1785057837.077156,upsert,2,64,Adaptive,12523743054995375112,0.0012378692626953125,False,,suppressed,duplicate_holder,10
48037,1024,update,1785057837.0785215,,1785057837.077108,upsert,1,64,Adaptive,12523743054995375112,0.001413583755493164,False,,suppressed,duplicate_holder,9
48037,1024,update,1785057837.0786955,1785057837.0786955,1785057837.077194,upsert,3,64,Adaptive,12523743054995375112,0.0015015602111816406,True,,forwarded,,11
48037,2048,update,1785057841.247898,,1785057841.2474353,upsert,0,64,Adaptive,9971321710674973507,0.0004627704620361328,True,,enqueued,,12
48037,2048,update,1785057841.2484047,1785057841.2484047,1785057841.2474353,upsert,0,64,Adaptive,9971321710674973507,0.0009694099426269531,True,,forwarded,,12
48037,2048,update,1785057841.2485666,,1785057841.2475328,upsert,1,64,Adaptive,9971321710674973507,0.001033782958984375,True,,enqueued,,13
48037,2048,update,1785057841.248727,,1785057841.2475777,upsert,2,64,Adaptive,9971321710674973507,0.0011494159698486328,False,,suppressed,duplicate_holder,14
48037,2048,update,1785057841.2488706,,1785057841.247617,upsert,3,64,Adaptive,9971321710674973507,0.0012536048889160156,False,,suppressed,duplicate_holder,15
