cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
49733,4096,update,1785002186.1412494,,1785002186.1407385,upsert,0,64,FullSync,15769623694692820738,0.0005109310150146484,True,,enqueued,,0
49733,4096,update,1785002186.14187,1785002186.14187,1785002186.1407385,upsert,0,64,FullSync,15769623694692820738,0.0011315345764160156,True,,forwarded,,0
49733,4096,update,1785002186.142087,,1785002186.1408455,upsert,1,64,FullSync,15769623694692820738,0.001241445541381836,True,,enqueued,,1
49733,4096,update,1785002186.1422396,,1785002186.1409097,upsert,2,64,FullSync,15769623694692820738,0.0013298988342285156,True,,enqueued,,2
49733,4096,update,1785002186.142355,,1785002186.140957,upsert,3,64,FullSync,15769623694692820738,0.001397848129272461,True,,enqueued,,3
49733,4096,update,1785002186.142565,1785002186.142565,1785002186.1408455,upsert,1,64,FullSync,15769623694692820738,0.0017194747924804688,True,,forwarded,,1
49733,4096,update,1785002186.1427305,1785002186.1427305,1785002186.1409097,upsert,2,64,FullSync,15769623694692820738,0.0018208026885986328,True,,forwarded,,2
49733,4096,update,1785002186.1428962,1785002186.1428962,1785002186.140957,upsert,3,64,FullSync,15769623694692820738,0.0019390583038330078,True,,forwarded,,3
49733,2048,update,1785002187.1224124,,1785002187.1219606,upsert,0,64,FullSync,12613465747135452669,0.00045180320739746094,True,,enqueued,,4
49733,2048,update,1785002187.1229255,1785002187.1229255,1785002187.1219606,upsert,0,64,FullSync,12613465747135452669,0.0009648799896240234,True,,forwarded,,4
49733,2048,update,1785002187.1230927,,1785002187.1221037,upsert,2,64,FullSync,12613465747135452669,0.0009889602661132812,True,,enqueued,,6
49733,2048,update,1785002187.1232324,,1785002187.1220577,upsert,1,64,FullSync,12613465747135452669,0.0011746883392333984,True,,enqueued,,5
49733,2048,update,1785002187.1233416,,1785002187.1221416,upsert,3,64,FullSync,12613465747135452669,0.001199960708618164,True,,enqueued,,7
49733,2048,update,1785002187.1235118,1785002187.1235118,1785002187.1221037,upsert,2,64,FullSync,12613465747135452669,0.0014081001281738281,True,,forwarded,,6
49733,2048,update,1785002187.1236477,1785002187.1236477,1785002187.1220577,upsert,1,64,FullSync,12613465747135452669,0.0015900135040283203,True,,forwarded,,5
49733,2048,update,1785002187.1237915,1785002187.1237915,1785002187.1221416,upsert,3,64,FullSync,12613465747135452669,0.0016498565673828125,True,,forwarded,,7
49733,2048,update,1785002188.102511,,1785002188.1020784,upsert,0,64,FullSync,12523743054995375112,0.0004324913024902344,True,,enqueued,,8
49733,2048,update,1785002188.1030262,1785002188.1030262,1785002188.1020784,upsert,0,64,FullSync,12523743054995375112,0.0009477138519287109,True,,forwarded,,8
49733,2048,update,1785002188.1032007,,1785002188.1021714,upsert,1,64,FullSync,12523743054995375112,0.0010292530059814453,True,,enqueued,,9
49733,2048,update,1785002188.1033392,,1785002188.1022155,upsert,2,64,FullSync,12523743054995375112,0.001123666763305664,True,,enqueued,,10
49733,2048,update,1785002188.103449,,1785002188.1022546,upsert,3,64,FullSync,12523743054995375112,0.0011944770812988281,True,,enqueued,,11
49733,2048,update,1785002188.1036208,1785002188.1036208,1785002188.1021714,upsert,1,64,FullSync,12523743054995375112,0.0014493465423583984,True,,forwarded,,9
49733,2048,update,1785002188.1037583,1785002188.1037583,1785002188.1022155,upsert,2,64,FullSync,12523743054995375112,0.001542806625366211,True,,forwarded,,10
49733,2048,update,1785002188.1038918,1785002188.1038918,1785002188.1022546,upsert,3,64,FullSync,12523743054995375112,0.0016372203826904297,True,,forwarded,,11
49733,2048,update,1785002189.094097,,1785002189.09369,upsert,0,64,FullSync,9971321710674973507,0.0004069805145263672,True,,enqueued,,12
49733,2048,update,1785002189.0945103,1785002189.0945103,1785002189.09369,upsert,0,64,FullSync,9971321710674973507,0.0008203983306884766,True,,forwarded,,12
49733,2048,update,1785002189.094649,,1785002189.093801,upsert,1,64,FullSync,9971321710674973507,0.0008480548858642578,True,,enqueued,,13
49733,2048,update,1785002189.0947552,,1785002189.0938485,upsert,2,64,FullSync,9971321710674973507,0.0009067058563232422,True,,enqueued,,14
49733,2048,update,1785002189.0948787,,1785002189.0938873,upsert,3,64,FullSync,9971321710674973507,0.0009913444519042969,True,,enqueued,,15
49733,2048,update,1785002189.0949862,1785002189.0949862,1785002189.093801,upsert,1,64,FullSync,9971321710674973507,0.0011851787567138672,True,,forwarded,,13
49733,2048,update,1785002189.095071,1785002189.095071,1785002189.0938485,upsert,2,64,FullSync,9971321710674973507,0.0012226104736328125,True,,forwarded,,14
49733,2048,update,1785002189.4619288,1785002189.4619288,1785002189.0938873,upsert,3,64,FullSync,9971321710674973507,0.3680415153503418,True,,forwarded,,15
49733,2048,update,1785002190.08605,,1785002190.085632,upsert,0,64,FullSync,4650049274038987083,0.00041794776916503906,True,,enqueued,,16
49733,2048,update,1785002190.0864518,,1785002190.0857267,upsert,1,64,FullSync,4650049274038987083,0.0007250308990478516,True,,enqueued,,17
49733,2048,update,1785002190.0865707,,1785002190.0857725,upsert,2,64,FullSync,4650049274038987083,0.0007982254028320312,True,,enqueued,,18
49733,2048,update,1785002190.0866587,,1785002190.0858388,upsert,3,64,FullSync,4650049274038987083,0.0008199214935302734,True,,enqueued,,19
49733,2048,update,1785002191.0720139,,1785002191.071584,upsert,0,64,FullSync,3163096543987652428,0.0004298686981201172,True,,enqueued,,20
49733,2048,update,1785002191.0724468,,1785002191.0716858,upsert,3,64,FullSync,3163096543987652428,0.0007610321044921875,True,,enqueued,,23
49733,2048,update,1785002191.0725813,,1785002191.0716648,upsert,2,64,FullSync,3163096543987652428,0.0009164810180664062,True,,enqueued,,22
49733,2048,update,1785002191.072706,,1785002191.07164,upsert,1,64,FullSync,3163096543987652428,0.001065969467163086,True,,enqueued,,21
49733,2048,update,1785002192.0566967,,1785002192.0562146,upsert,0,64,FullSync,10402019323283478844,0.0004820823669433594,True,,enqueued,,24
49733,2048,update,1785002192.0571012,,1785002192.0564055,upsert,3,64,FullSync,10402019323283478844,0.0006957054138183594,True,,enqueued,,27
49733,2048,update,1785002192.0572257,,1785002192.0563185,upsert,1,64,FullSync,10402019323283478844,0.0009071826934814453,True,,enqueued,,25
49733,2048,update,1785002192.057319,,1785002192.0563667,upsert,2,64,FullSync,10402019323283478844,0.0009522438049316406,True,,enqueued,,26
49733,2048,update,1785002193.0413125,,1785002193.0408354,upsert,0,64,FullSync,14064140743279553366,0.00047707557678222656,True,,enqueued,,28
49733,2048,update,1785002193.0416932,,1785002193.0410233,upsert,3,64,FullSync,14064140743279553366,0.0006699562072753906,True,,enqueued,,31
49733,2048,update,1785002193.0418448,,1785002193.0409868,upsert,2,64,FullSync,14064140743279553366,0.0008580684661865234,True,,enqueued,,30
49733,2048,update,1785002193.041938,,1785002193.0409408,upsert,1,64,FullSync,14064140743279553366,0.000997304916381836,True,,enqueued,,29
49733,2048,update,1785002194.0342534,,1785002194.0337625,upsert,0,64,FullSync,12376960631178457983,0.0004909038543701172,True,,enqueued,,32
49733,2048,update,1785002194.0346298,,1785002194.033963,upsert,3,64,FullSync,12376960631178457983,0.0006668567657470703,True,,enqueued,,35
49733,2048,update,1785002194.0347514,,1785002194.0339272,upsert,2,64,FullSync,12376960631178457983,0.0008242130279541016,True,,enqueued,,34
49733,2048,update,1785002194.0348759,,1785002194.0338821,upsert,1,64,FullSync,12376960631178457983,0.0009937286376953125,True,,enqueued,,33
49733,2048,update,1785002195.0256085,,1785002195.0251448,upsert,0,64,FullSync,947483498426156190,0.00046372413635253906,True,,enqueued,,36
49733,2048,update,1785002195.0260096,,1785002195.0253246,upsert,3,64,FullSync,947483498426156190,0.0006849765777587891,True,,enqueued,,39
49733,2048,update,1785002195.0261345,,1785002195.025244,upsert,1,64,FullSync,947483498426156190,0.0008904933929443359,True,,enqueued,,37
49733,2048,update,1785002195.0262275,,1785002195.0252876,upsert,2,64,FullSync,947483498426156190,0.0009398460388183594,True,,enqueued,,38
49733,2048,update,1785002195.4891622,1785002195.4891622,1785002190.085632,upsert,0,64,FullSync,4650049274038987083,5.403530120849609,True,,forwarded,,16
49733,2048,update,1785002195.4893432,1785002195.4893432,1785002190.0857267,upsert,1,64,FullSync,4650049274038987083,5.403616428375244,True,,forwarded,,17
49733,2048,update,1785002195.4894402,1785002195.4894402,1785002190.0857725,upsert,2,64,FullSync,4650049274038987083,5.403667688369751,True,,forwarded,,18
49733,2048,update,1785002196.0144048,,1785002196.0139337,upsert,0,64,FullSync,3073007241776570211,0.0004711151123046875,True,,enqueued,,40
49733,2048,update,1785002196.014803,,1785002196.014117,upsert,3,64,FullSync,3073007241776570211,0.0006859302520751953,True,,enqueued,,43
49733,2048,update,1785002196.0149288,,1785002196.0140321,upsert,1,64,FullSync,3073007241776570211,0.0008966922760009766,True,,enqueued,,41
49733,2048,update,1785002196.01502,,1785002196.014079,upsert,2,64,FullSync,3073007241776570211,0.0009407997131347656,True,,enqueued,,42
49733,2048,update,1785002196.999449,1785002196.999449,1785002190.0858388,upsert,3,64,FullSync,4650049274038987083,6.913610219955444,True,,forwarded,,19
49733,2048,update,1785002197.0128582,,1785002197.0124826,upsert,0,64,FullSync,14108233664250482536,0.00037550926208496094,True,,enqueued,,44
49733,2048,update,1785002197.013181,,1785002197.0126503,upsert,3,64,FullSync,14108233664250482536,0.0005307197570800781,True,,enqueued,,47
49733,2048,update,1785002197.0132928,,1785002197.0126133,upsert,2,64,FullSync,14108233664250482536,0.0006794929504394531,True,,enqueued,,46
49733,2048,update,1785002197.0133786,,1785002197.0125701,upsert,1,64,FullSync,14108233664250482536,0.0008084774017333984,True,,enqueued,,45
49733,2048,update,1785002198.0135498,,1785002198.0130978,upsert,0,64,FullSync,14774026810505956694,0.0004520416259765625,True,,enqueued,,48
49733,2048,update,1785002198.013956,,1785002198.0132043,upsert,3,64,FullSync,14774026810505956694,0.0007517337799072266,True,,enqueued,,51
49733,2048,update,1785002198.0140831,,1785002198.0131838,upsert,2,64,FullSync,14774026810505956694,0.0008993148803710938,True,,enqueued,,50
49733,2048,update,1785002198.0141747,,1785002198.0131595,upsert,1,64,FullSync,14774026810505956694,0.0010151863098144531,True,,enqueued,,49
49733,2048,update,1785002198.8633742,1785002198.8633742,1785002191.071584,upsert,0,64,FullSync,3163096543987652428,7.791790246963501,True,,forwarded,,20
49733,2048,update,1785002198.8635275,1785002198.8635275,1785002191.0716858,upsert,3,64,FullSync,3163096543987652428,7.791841745376587,True,,forwarded,,23
49733,2048,update,1785002199.0039158,,1785002199.003513,upsert,0,64,FullSync,5281956220402968541,0.00040268898010253906,True,,enqueued,,52
49733,2048,update,1785002199.0042727,,1785002199.003684,upsert,3,64,FullSync,5281956220402968541,0.0005886554718017578,True,,enqueued,,55
49733,2048,update,1785002199.0043895,,1785002199.0036485,upsert,2,64,FullSync,5281956220402968541,0.0007410049438476562,True,,enqueued,,54
49733,2048,update,1785002199.0044987,,1785002199.0036042,upsert,1,64,FullSync,5281956220402968541,0.0008945465087890625,True,,enqueued,,53
49733,2048,update,1785002199.9959717,,1785002199.995478,upsert,0,64,FullSync,1785562587857272681,0.0004937648773193359,True,,enqueued,,56
49733,2048,update,1785002199.9963377,,1785002199.9956584,upsert,3,64,FullSync,1785562587857272681,0.0006792545318603516,True,,enqueued,,59
49733,2048,update,1785002199.996457,,1785002199.995621,upsert,2,64,FullSync,1785562587857272681,0.0008361339569091797,True,,enqueued,,58
49733,2048,update,1785002199.99655,,1785002199.995575,upsert,1,64,FullSync,1785562587857272681,0.0009751319885253906,True,,enqueued,,57
49733,2048,update,1785002200.183072,1785002200.183072,1785002191.0716648,upsert,2,64,FullSync,3163096543987652428,9.111407279968262,True,,forwarded,,22
49733,2048,update,1785002200.9977622,,1785002200.9973273,upsert,0,64,FullSync,1610475058989402671,0.00043487548828125,True,,enqueued,,60
49733,2048,update,1785002200.9981859,,1785002200.9975026,upsert,3,64,FullSync,1610475058989402671,0.0006833076477050781,True,,enqueued,,63
49733,2048,update,1785002200.9983106,,1785002200.9974208,upsert,1,64,FullSync,1610475058989402671,0.0008897781372070312,True,,enqueued,,61
49733,2048,update,1785002200.9984264,,1785002200.997466,upsert,2,64,FullSync,1610475058989402671,0.0009603500366210938,True,,enqueued,,62
49733,2048,update,1785002201.3185613,,1785002201.3180442,upsert,0,64,FullSync,3163096543987652428,0.0005171298980712891,True,,enqueued,,64
49733,2048,update,1785002201.3189914,,1785002201.318262,upsert,1,64,FullSync,12613465747135452669,0.0007293224334716797,True,,enqueued,,67
49733,2048,update,1785002201.3191159,,1785002201.318219,upsert,3,64,FullSync,12376960631178457983,0.0008969306945800781,True,,enqueued,,66
49733,4096,update,1785002201.3192084,,1785002201.3181663,upsert,2,64,FullSync,15769623694692820738,0.0010421276092529297,True,,enqueued,,65
49733,2048,update,1785002201.516635,1785002201.516635,1785002191.07164,upsert,1,64,FullSync,3163096543987652428,10.444994926452637,True,,forwarded,,21
49733,2048,update,1785002202.2566288,,1785002202.2561963,upsert,2,64,FullSync,3073007241776570211,0.0004324913024902344,True,,enqueued,,68
49733,2048,update,1785002202.2570143,,1785002202.256386,upsert,0,64,FullSync,16048794067380282208,0.0006282329559326172,True,,enqueued,,71
49733,4096,update,1785002202.2571356,,1785002202.2562966,upsert,1,64,FullSync,15769623694692820738,0.0008389949798583984,True,,enqueued,,69
49733,4096,update,1785002202.2572248,,1785002202.2563453,upsert,3,64,FullSync,15769623694692820738,0.0008795261383056641,True,,enqueued,,70
49733,2048,update,1785002203.19481,,1785002203.1944938,upsert,0,64,FullSync,1785562587857272681,0.0003161430358886719,True,,enqueued,,72
49733,2048,update,1785002203.195086,,1785002203.1946032,upsert,2,64,FullSync,5024925722186451635,0.00048279762268066406,True,,enqueued,,73
