cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
16662,2048,update,1784998781.4095225,,1784998781.409054,upsert,0,64,FullSync,15769623694692820738,0.0004684925079345703,True,,enqueued,,0
16662,2048,update,1784998781.41007,1784998781.41007,1784998781.409054,upsert,0,64,FullSync,15769623694692820738,0.0010159015655517578,True,,forwarded,,0
16662,2048,update,1784998781.4102397,,1784998781.4092078,upsert,2,64,FullSync,15769623694692820738,0.0010318756103515625,True,,enqueued,,2
16662,2048,update,1784998781.4103808,,1784998781.409149,upsert,1,64,FullSync,15769623694692820738,0.0012319087982177734,True,,enqueued,,1
16662,2048,update,1784998781.4104998,,1784998781.4092505,upsert,3,64,FullSync,15769623694692820738,0.0012493133544921875,True,,enqueued,,3
16662,2048,update,1784998781.4106843,1784998781.4106843,1784998781.4092078,upsert,2,64,FullSync,15769623694692820738,0.0014765262603759766,True,,forwarded,,2
16662,2048,update,1784998781.4108524,1784998781.4108524,1784998781.409149,upsert,1,64,FullSync,15769623694692820738,0.001703500747680664,True,,forwarded,,1
16662,2048,update,1784998781.411004,1784998781.411004,1784998781.4092505,upsert,3,64,FullSync,15769623694692820738,0.0017535686492919922,True,,forwarded,,3
16662,2048,update,1784998782.4350812,,1784998782.4345684,upsert,0,64,FullSync,12613465747135452669,0.0005128383636474609,True,,enqueued,,4
16662,2048,update,1784998782.4355688,1784998782.4355688,1784998782.4345684,upsert,0,64,FullSync,12613465747135452669,0.0010004043579101562,True,,forwarded,,4
16662,2048,update,1784998782.435721,,1784998782.434749,upsert,3,64,FullSync,12613465747135452669,0.0009720325469970703,True,,enqueued,,7
16662,2048,update,1784998782.435851,,1784998782.4347103,upsert,2,64,FullSync,12613465747135452669,0.0011408329010009766,True,,enqueued,,6
16662,2048,update,1784998782.435943,,1784998782.4346638,upsert,1,64,FullSync,12613465747135452669,0.0012791156768798828,True,,enqueued,,5
16662,2048,update,1784998782.43608,1784998782.43608,1784998782.434749,upsert,3,64,FullSync,12613465747135452669,0.0013310909271240234,True,,forwarded,,7
16662,2048,update,1784998782.436199,1784998782.436199,1784998782.4347103,upsert,2,64,FullSync,12613465747135452669,0.0014886856079101562,True,,forwarded,,6
16662,2048,update,1784998782.4363096,1784998782.4363096,1784998782.4346638,upsert,1,64,FullSync,12613465747135452669,0.001645803451538086,True,,forwarded,,5
16662,1024,update,1784998782.9402354,,1784998782.9397364,upsert,0,64,FullSync,12523743054995375112,0.0004990100860595703,True,,enqueued,,8
16662,1024,update,1784998782.9407012,1784998782.9407012,1784998782.9397364,upsert,0,64,FullSync,12523743054995375112,0.0009648799896240234,True,,forwarded,,8
16662,1024,update,1784998782.9408786,,1784998782.9399536,upsert,3,64,FullSync,12523743054995375112,0.0009250640869140625,True,,enqueued,,11
16662,1024,update,1784998782.94099,,1784998782.9399152,upsert,2,64,FullSync,12523743054995375112,0.0010747909545898438,True,,enqueued,,10
16662,1024,update,1784998782.9410794,,1784998782.9398687,upsert,1,64,FullSync,12523743054995375112,0.0012106895446777344,True,,enqueued,,9
16662,1024,update,1784998782.941218,1784998782.941218,1784998782.9399536,upsert,3,64,FullSync,12523743054995375112,0.001264333724975586,True,,forwarded,,11
16662,1024,update,1784998782.9413233,1784998782.9413233,1784998782.9399152,upsert,2,64,FullSync,12523743054995375112,0.0014081001281738281,True,,forwarded,,10
16662,1024,update,1784998782.9414036,1784998782.9414036,1784998782.9398687,upsert,1,64,FullSync,12523743054995375112,0.0015349388122558594,True,,forwarded,,9
16662,1024,update,1784998783.3903675,,1784998783.3899732,upsert,0,64,FullSync,9971321710674973507,0.0003943443298339844,True,,enqueued,,12
16662,1024,update,1784998783.3906515,1784998783.3906515,1784998783.3899732,upsert,0,64,FullSync,9971321710674973507,0.0006783008575439453,True,,forwarded,,12
16662,1024,update,1784998783.3907392,,1784998783.3901541,upsert,3,64,FullSync,9971321710674973507,0.0005850791931152344,True,,enqueued,,15
16662,1024,update,1784998783.390829,,1784998783.3901162,upsert,2,64,FullSync,9971321710674973507,0.0007128715515136719,True,,enqueued,,14
16662,1024,update,1784998783.39089,,1784998783.39007,upsert,1,64,FullSync,9971321710674973507,0.0008199214935302734,True,,enqueued,,13
16662,1024,update,1784998783.3909724,1784998783.3909724,1784998783.3901541,upsert,3,64,FullSync,9971321710674973507,0.0008182525634765625,True,,forwarded,,15
16662,1024,update,1784998783.3910334,1784998783.3910334,1784998783.3901162,upsert,2,64,FullSync,9971321710674973507,0.0009171962738037109,True,,forwarded,,14
16662,1024,update,1784998784.4196916,1784998784.4196916,1784998783.39007,upsert,1,64,FullSync,9971321710674973507,1.0296216011047363,True,,forwarded,,13
16662,2048,update,1784998784.4751427,,1784998784.474832,upsert,0,64,FullSync,4650049274038987083,0.00031065940856933594,True,,enqueued,,16
16662,2048,update,1784998784.4753938,,1784998784.4749684,upsert,2,64,FullSync,4650049274038987083,0.0004253387451171875,True,,enqueued,,18
16662,2048,update,1784998784.4756238,,1784998784.4750059,upsert,3,64,FullSync,4650049274038987083,0.00061798095703125,True,,enqueued,,19
16662,2048,update,1784998784.4757278,,1784998784.4749234,upsert,1,64,FullSync,4650049274038987083,0.0008044242858886719,True,,enqueued,,17
16662,2048,update,1784998786.3334932,1784998786.3334932,1784998784.474832,upsert,0,64,FullSync,4650049274038987083,1.85866117477417,True,,forwarded,,16
16662,2048,update,1784998786.3336592,1784998786.3336592,1784998784.4749684,upsert,2,64,FullSync,4650049274038987083,1.8586907386779785,True,,forwarded,,18
16662,4096,update,1784998787.2794604,,1784998787.2790318,upsert,0,64,FullSync,3163096543987652428,0.0004286766052246094,True,,enqueued,,20
16662,4096,update,1784998787.279839,,1784998787.2792115,upsert,3,64,FullSync,3163096543987652428,0.0006275177001953125,True,,enqueued,,23
16662,4096,update,1784998787.2799642,,1784998787.2791736,upsert,2,64,FullSync,3163096543987652428,0.0007905960083007812,True,,enqueued,,22
16662,4096,update,1784998787.2800775,,1784998787.2791262,upsert,1,64,FullSync,3163096543987652428,0.0009512901306152344,True,,enqueued,,21
