experiment_id,rep,cell_id,policy,rho,workload,event,cell,update_id,owner,prefix_digest64,op,generation_time,dispatcher_arrival_time,coverage_tokens,payload_bytes
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,0,0,15769623694692820738,upsert,1785002186.1407385,1785002186.143747,4096,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,1,1,15769623694692820738,upsert,1785002186.1408455,1785002186.1438663,4096,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,2,2,15769623694692820738,upsert,1785002186.1409097,1785002186.1439242,4096,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,3,3,15769623694692820738,upsert,1785002186.140957,1785002186.143972,4096,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,4,0,12613465747135452669,upsert,1785002187.1219606,1785002187.1248946,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,6,2,12613465747135452669,upsert,1785002187.1221037,1785002187.1249743,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,5,1,12613465747135452669,upsert,1785002187.1220577,1785002187.125022,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,7,3,12613465747135452669,upsert,1785002187.1221416,1785002187.1250622,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,8,0,12523743054995375112,upsert,1785002188.1020784,1785002188.104983,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,9,1,12523743054995375112,upsert,1785002188.1021714,1785002188.1050506,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,10,2,12523743054995375112,upsert,1785002188.1022155,1785002188.105088,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,11,3,12523743054995375112,upsert,1785002188.1022546,1785002188.5773013,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,12,0,9971321710674973507,upsert,1785002189.09369,1785002193.2847376,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,13,1,9971321710674973507,upsert,1785002189.093801,1785002194.1690912,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,14,2,9971321710674973507,upsert,1785002189.0938485,1785002194.1691325,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,15,3,9971321710674973507,upsert,1785002189.0938873,1785002196.999028,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,16,0,4650049274038987083,upsert,1785002190.085632,1785002198.862961,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,17,1,4650049274038987083,upsert,1785002190.0857267,1785002198.8630629,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,18,2,4650049274038987083,upsert,1785002190.0857725,1785002200.1826978,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,19,3,4650049274038987083,upsert,1785002190.0858388,1785002201.5162086,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,20,0,3163096543987652428,upsert,1785002191.071584,1785002203.2983298,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,23,3,3163096543987652428,upsert,1785002191.0716858,1785002203.2984347,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,22,2,3163096543987652428,upsert,1785002191.0716648,1785002205.0671153,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,21,1,3163096543987652428,upsert,1785002191.07164,1785002206.4251094,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,24,0,10402019323283478844,upsert,1785002192.0562146,1785002208.1827576,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,27,3,10402019323283478844,upsert,1785002192.0564055,1785002208.1828854,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,25,1,10402019323283478844,upsert,1785002192.0563185,1785002209.9514096,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,26,2,10402019323283478844,upsert,1785002192.0563667,1785002211.284756,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,28,0,14064140743279553366,upsert,1785002193.0408354,1785002213.0670953,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,31,3,14064140743279553366,upsert,1785002193.0410233,1785002213.0671995,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,30,2,14064140743279553366,upsert,1785002193.0409868,1785002214.8357701,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,29,1,14064140743279553366,upsert,1785002193.0409408,1785002216.169056,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,32,0,12376960631178457983,upsert,1785002194.0337625,1785002217.9514527,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,35,3,12376960631178457983,upsert,1785002194.033963,1785002217.9515612,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,34,2,12376960631178457983,upsert,1785002194.0339272,1785002219.7201073,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,33,1,12376960631178457983,upsert,1785002194.0338821,1785002221.0534449,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,36,0,947483498426156190,upsert,1785002195.0251448,1785002222.386845,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,39,3,947483498426156190,upsert,1785002195.0253246,1785002222.386929,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,37,1,947483498426156190,upsert,1785002195.025244,1785002224.1554792,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,38,2,947483498426156190,upsert,1785002195.0252876,1785002225.4888723,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,40,0,3073007241776570211,upsert,1785002196.0139337,1785002226.8221676,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,43,3,3073007241776570211,upsert,1785002196.014117,1785002226.8222764,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,41,1,3073007241776570211,upsert,1785002196.0140321,1785002228.5909054,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,42,2,3073007241776570211,upsert,1785002196.014079,1785002229.9242063,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,44,0,14108233664250482536,upsert,1785002197.0124826,1785002231.1478732,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,47,3,14108233664250482536,upsert,1785002197.0126503,1785002231.147959,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,46,2,14108233664250482536,upsert,1785002197.0126133,1785002231.7064984,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,45,1,14108233664250482536,upsert,1785002197.0125701,1785002232.5908902,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,48,0,14774026810505956694,upsert,1785002198.0130978,1785002233.3655937,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,51,3,14774026810505956694,upsert,1785002198.0132043,1785002233.3656914,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,50,2,14774026810505956694,upsert,1785002198.0131838,1785002233.9242036,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,49,1,14774026810505956694,upsert,1785002198.0131595,1785002234.8085504,2048,64
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,0,FullSync@rho1.0,FullSync,1.0,reuse_intensive,dispatcher_arrival,49733,52,0,5281956220402968541,upsert,1785002199.003513,1785002235.583219,2048,64
