request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,workload,discard
0,0,0,0,tenant-0,L0000,2048,reuse_intensive,True
1,0,0,1,tenant-0,L0000,2048,reuse_intensive,True
2,0,14,0,tenant-6,L0014,2048,reuse_intensive,True
3,0,0,2,tenant-0,L0000,2048,reuse_intensive,True
4,0,0,0,tenant-0,L0000,2048,reuse_intensive,True
5,0,0,1,tenant-0,L0000,2048,reuse_intensive,True
6,0,1,0,tenant-1,L0001,2048,reuse_intensive,True
7,0,14,1,tenant-6,L0014,2048,reuse_intensive,True
8,0,57,0,tenant-1,L0057,1024,reuse_intensive,True
9,0,27,0,tenant-3,L0027,2048,reuse_intensive,True
10,0,1,1,tenant-1,L0001,2048,reuse_intensive,True
11,0,5,0,tenant-5,L0005,1024,reuse_intensive,True
12,0,0,2,tenant-0,L0000,2048,reuse_intensive,True
13,0,9,0,tenant-1,L0009,1024,reuse_intensive,True
14,0,20,0,tenant-4,L0020,2048,reuse_intensive,True
15,0,0,0,tenant-0,L0000,2048,reuse_intensive,True
16,0,3,0,tenant-3,L0003,4096,reuse_intensive,True
17,0,2,0,tenant-2,L0002,1024,reuse_intensive,True
18,0,5,1,tenant-5,L0005,1024,reuse_intensive,True
19,0,1,2,tenant-1,L0001,2048,reuse_intensive,True
20,0,3,1,tenant-3,L0003,4096,reuse_intensive,True
21,0,0,1,tenant-0,L0000,2048,reuse_intensive,True
22,0,0,2,tenant-0,L0000,2048,reuse_intensive,True
23,0,1,0,tenant-1,L0001,2048,reuse_intensive,True
24,0,0,0,tenant-0,L0000,2048,reuse_intensive,False
25,0,21,0,tenant-5,L0021,2048,reuse_intensive,False
26,0,4,0,tenant-4,L0004,1024,reuse_intensive,False
27,0,6,0,tenant-6,L0006,2048,reuse_intensive,False
28,0,2,1,tenant-2,L0002,1024,reuse_intensive,False
29,0,0,1,tenant-0,L0000,2048,reuse_intensive,False
30,0,3,2,tenant-3,L0003,4096,reuse_intensive,False
31,0,4,1,tenant-4,L0004,1024,reuse_intensive,False
32,0,60,0,tenant-4,L0060,2048,reuse_intensive,False
33,0,5,2,tenant-5,L0005,1024,reuse_intensive,False
34,0,1,1,tenant-1,L0001,2048,reuse_intensive,False
35,0,0,2,tenant-0,L0000,2048,reuse_intensive,False
36,0,4,2,tenant-4,L0004,1024,reuse_intensive,False
37,0,0,0,tenant-0,L0000,2048,reuse_intensive,False
38,0,4,0,tenant-4,L0004,1024,reuse_intensive,False
39,0,32,0,tenant-0,L0032,1024,reuse_intensive,False
40,0,11,0,tenant-3,L0011,2048,reuse_intensive,False
41,0,19,0,tenant-3,L0019,4096,reuse_intensive,False
42,0,4,1,tenant-4,L0004,1024,reuse_intensive,False
43,0,2,2,tenant-2,L0002,1024,reuse_intensive,False
44,0,1,2,tenant-1,L0001,2048,reuse_intensive,False
45,0,7,0,tenant-7,L0007,1024,reuse_intensive,False
46,0,1,0,tenant-1,L0001,2048,reuse_intensive,False
47,0,0,1,tenant-0,L0000,2048,reuse_intensive,False
48,0,0,2,tenant-0,L0000,2048,reuse_intensive,False
49,0,3,0,tenant-3,L0003,4096,reuse_intensive,False
50,0,8,0,tenant-0,L0008,4096,reuse_intensive,False
51,0,1,1,tenant-1,L0001,2048,reuse_intensive,False
52,0,1,2,tenant-1,L0001,2048,reuse_intensive,False
53,0,2,0,tenant-2,L0002,1024,reuse_intensive,False
