experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,41974,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,2026072800,93dde8f28a2c388440d1dfce2395a90535aa31753575ccecbcce384ac79ed9fe,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_high_20260726:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,200.37318702042103,184,0.918286536916976,764.014398714924,0.3333333333333333,67,19.335627274726754,9.357917547225952,72.41235065460205,0.0,0.0,0.0,0.0,49,49,0.0,1.0,144352.0,1503.6666666666667,0,0.0,0.0,1825.1174869270833,383.302343,11755.909222,12573.711922,1373.883978,12738.904403,0.47910601926103097,32,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0+bg_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0+bg,41975,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,2026072800,93dde8f28a2c388440d1dfce2395a90535aa31753575ccecbcce384ac79ed9fe,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_high_20260726:Adaptive@rho1.0+bg:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,215.9879550691694,184,0.8518993568001263,708.7802648577051,0.3333333333333333,67,76.92826472111602,70.5756208896637,203.73825097084045,0.21875,0.21875,0.0,0.0,49,27,0.001410953177257525,1.0,124864.0,1300.6666666666667,0,0.0,0.0,1996.4927162083334,664.65941,11460.933482,11725.010101,1427.624971,12475.65154,0.44446922963484853,32,0,0,0,0,0.0,1.0,764,True,10000,4,False,16,184,0,0,0,184,65,19136,119,12.668016143945547,13.99611210823059,24.320553302764893,25.783457279205322,0.0,0,392,392,0,5873858,387134,373430,67,0,10,35,72,0,0,7
20260726_formal4t4_reuse_intensive_Ideal_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,41976,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,1,5,2026072800,5fde03a8137ebe6ecb370942ca37dcc72f2db6aed57776d2306295e8474aa1cd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_high_20260726:Ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,261.88979547843337,184,0.7025856034743913,584.5512220906935,0.2604166666666667,62,25.833737846343748,13.042415857315063,109.1084394454956,0.0,0.0,0.0,0.0,52,52,0.0,1.0,125904.0,1311.5,0,0.0,0.0,2177.1441223541665,390.533416,11853.579343,12393.432099,1113.543165,12860.314777,0.3665664018127259,25,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0+bg_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0+bg,41977,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,1,5,2026072800,5fde03a8137ebe6ecb370942ca37dcc72f2db6aed57776d2306295e8474aa1cd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_high_20260726:Adaptive@rho1.0+bg:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,261.422124276869,184,0.7038424942378934,585.5969552059272,0.28125,62,103.00554658905152,120.9270269870758,200.06659817695618,0.16666666666666666,0.16666666666666666,0.0,0.0,52,29,0.0015154682274247492,1.0,110544.0,1151.5,0,0.0,0.0,2112.1666647604166,682.158741,11736.375729,11927.511471,1395.824152,12757.981908,0.36722217090672693,27,0,0,0,0,0.0,1.0,584,True,10000,4,False,16,184,0,0,0,184,61,19136,123,12.922079899271981,13.419047832489014,28.810545682907104,28.822301149368286,0.0,0,456,456,0,5885580,404126,395807,65,0,7,32,80,0,0,6
20260726_formal4t4_reuse_intensive_Ideal_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,41978,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,2,5,2026072800,e5dce0d18ab9cc34e8db39c3029903a989cf435cb0bab758bbae902060f7f72e,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_high_20260726:Ideal:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,263.02529812045395,184,0.6995524815097297,582.0276646160951,0.25,65,21.563511037826537,7.132755517959595,112.74830865859985,0.0,0.0,0.0,0.0,48,48,0.0,1.0,132032.0,1375.3333333333333,0,0.0,0.0,2079.16838659375,391.616001,11764.599145,12343.372981,1384.841782,12756.34122,0.3649839033963807,24,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0+bg_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0+bg,41979,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,2,5,2026072800,e5dce0d18ab9cc34e8db39c3029903a989cf435cb0bab758bbae902060f7f72e,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_high_20260726:Adaptive@rho1.0+bg:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,265.1656899889931,184,0.6939057613661773,577.3295934566595,0.21875,65,168.58086529144873,187.50867438316345,265.79822063446045,0.3645833333333333,0.3645833333333333,0.0,0.0,48,30,0.0015677257525083612,1.0,126912.0,1322.0,0,0.0,0.0,1911.0609471458333,511.85414,11592.140335,11861.973498,1411.111764,12595.152607,0.36203778853887514,21,0,0,0,0,0.0,1.0,582,True,10000,4,False,16,184,0,0,0,184,58,19136,126,11.06950172884711,9.665611267089844,29.68937921524048,30.81196880340576,0.0,0,130,456,0,5897502,416048,407078,61,0,11,30,82,0,0,7
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0+bg_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0+bg,41980,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,3,5,2026072800,a781d164a925d4eb5c5f0112c7e34394d812512b0276dd649f7ee65870eb903b,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Adaptive@rho1.0+bg,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_high_20260726:Adaptive@rho1.0+bg:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,226.21902771759778,184,0.8133710141734751,676.7246837923313,0.3020833333333333,70,79.86315436703818,79.4452805519104,182.661559343338,0.21875,0.21875,0.0,0.0,44,20,0.0010451505016722408,1.0,145376.0,1514.3333333333333,0,0.0,0.0,2243.5260614895833,506.134969,11810.008167,12172.776897,1364.137861,12813.13651,0.4243674856557262,29,0,0,0,0,0.0,1.0,582,True,10000,4,False,16,184,0,0,0,184,48,19136,136,17.763463805119198,19.45473885536194,24.589351177215576,26.676413536071777,0.0,392,392,326,0,5906066,424618,416132,51,0,10,24,99,0,0,6
20260726_formal4t4_reuse_intensive_Ideal_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,41981,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,3,5,2026072800,a781d164a925d4eb5c5f0112c7e34394d812512b0276dd649f7ee65870eb903b,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Adaptive@rho1.0+bg,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_high_20260726:Ideal:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,209.94971607718617,184,0.8764003278401864,729.165072763035,0.3020833333333333,70,18.45994908128466,6.238703966140747,73.97068524360657,0.0,0.0,0.0,0.0,44,44,0.0,1.0,162768.0,1695.5,0,0.0,0.0,1905.5505846875,503.796065,11787.773609,13327.261196,1179.74701,12785.837135,0.4572523449600972,29,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Ideal_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,41982,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,4,5,2026072800,1a937938582ffbc5b89e2a5cebf7ae8f773b3206cff1de0387eebffe4e6e48d8,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_high_20260726:Ideal:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,245.23369269352406,184,0.750304731699124,624.2535367736712,0.3125,69,18.952158858810645,2.834141254425049,118.16581726074219,0.0,0.0,0.0,0.0,44,44,0.0,1.0,139200.0,1450.0,0,0.0,0.0,1616.1853120520834,379.871923,11616.977415,11849.158022,1034.848961,12628.329301,0.39146333827780383,30,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0+bg_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0+bg,41983,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,4,5,2026072800,1a937938582ffbc5b89e2a5cebf7ae8f773b3206cff1de0387eebffe4e6e48d8,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_high_20260726:Adaptive@rho1.0+bg:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,259.0168476626277,184,0.7103785010914118,591.0349129080546,0.2708333333333333,69,134.5411951576454,139.9891481399536,238.26360273361206,0.3229166666666667,0.3229166666666667,0.0,0.0,44,29,0.0015154682274247492,1.0,125888.0,1311.3333333333333,0,0.0,0.0,1732.8715225833332,396.666132,11976.26118,12308.679452,1371.101432,12990.848756,0.3706322614389974,26,0,0,0,0,0.0,1.0,624,True,10000,4,False,16,184,0,0,0,184,64,19136,120,8.153206702321768,4.6250529289245605,24.810139179229736,25.757251024246216,0.0,0,0,392,0,5918638,441856,428116,67,0,19,32,66,0,0,8
