experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,7149,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,2026072800,93dde8f28a2c388440d1dfce2395a90535aa31753575ccecbcce384ac79ed9fe,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_medium_20260726:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,200.93431185930967,184,0.9157221496786137,761.8808285326065,0.3333333333333333,67,19.450581874420394,9.287607192993164,72.86838293075562,0.0,0.0,0.0,0.0,49,49,0.0,1.0,144352.0,1503.6666666666667,0,0.0,0.0,1820.9219008541668,392.375511,11726.907534,12727.515819,1394.972157,12688.520418,0.4777680780931897,32,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0+bg_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0+bg,7150,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,2026072800,93dde8f28a2c388440d1dfce2395a90535aa31753575ccecbcce384ac79ed9fe,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_medium_20260726:Adaptive@rho1.0+bg:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,215.85201750788838,184,0.8524358591796607,709.2266348374777,0.3125,67,82.95214303927635,83.32452917098999,202.95876932144165,0.23958333333333334,0.23958333333333334,0.0,0.0,49,27,0.001410953177257525,1.0,123840.0,1290.0,0,0.0,0.0,2020.01472415625,750.746961,11223.602289,11901.236119,1464.633696,12195.914809,0.444749143919823,30,0,0,0,0,0.0,1.0,761,True,1000,4,False,16,184,0,0,0,184,65,19136,119,12.802845698136549,14.423742055892944,24.334680795669556,25.72694706916809,0.0,0,392,392,0,5820784,305615,296376,67,0,9,34,74,0,0,8
20260726_formal4t4_reuse_intensive_Ideal_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,7151,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,1,5,2026072800,5fde03a8137ebe6ecb370942ca37dcc72f2db6aed57776d2306295e8474aa1cd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_medium_20260726:Ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,261.79552194382995,184,0.702838607145765,584.7617211452765,0.2604166666666667,62,25.826483934156357,13.154104709625244,107.13723707199097,0.0,0.0,0.0,0.0,52,52,0.0,1.0,125904.0,1311.5,0,0.0,0.0,2197.61921490625,389.872245,12009.789256,12388.799701,1159.650057,13052.462068,0.3666984037282252,25,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0+bg_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0+bg,7152,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,1,5,2026072800,5fde03a8137ebe6ecb370942ca37dcc72f2db6aed57776d2306295e8474aa1cd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_medium_20260726:Adaptive@rho1.0+bg:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,257.53096204064786,184,0.7144771973901842,594.4450282286333,0.2708333333333333,62,107.19104035054484,121.11947274208069,198.1124975681305,0.16666666666666666,0.16666666666666666,0.0,0.0,52,29,0.0015154682274247492,1.0,110544.0,1151.5,0,0.0,0.0,2060.567141010417,710.722766,11285.92373,11781.996598,1398.406337,12271.442198,0.37277071168183523,26,0,0,0,0,0.0,1.0,584,True,1000,4,False,16,184,0,0,0,184,61,19136,123,13.425323795099727,14.695989608764648,26.13804864883423,29.837632417678833,0.0,0,456,260,0,5832374,315973,308398,65,0,2,31,85,0,0,6
20260726_formal4t4_reuse_intensive_Ideal_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,7153,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,2,5,2026072800,e5dce0d18ab9cc34e8db39c3029903a989cf435cb0bab758bbae902060f7f72e,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_medium_20260726:Ideal:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,257.8225450012833,184,0.7136691634127037,593.7727439593694,0.25,65,21.11311857883747,7.023229122161865,109.80073618888855,0.0,0.0,0.0,0.0,48,48,0.0,1.0,132032.0,1375.3333333333333,0,0.0,0.0,2045.5058156145833,385.031106,11693.667495,12130.373006,1365.217197,12679.036261,0.37234912873706283,24,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0+bg_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0+bg,7154,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,2,5,2026072800,e5dce0d18ab9cc34e8db39c3029903a989cf435cb0bab758bbae902060f7f72e,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_medium_20260726:Adaptive@rho1.0+bg:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,276.65720171574503,184,0.6650829938960098,553.3490509214802,0.15625,65,167.54048591393692,195.6097629070282,276.40416264533997,0.4791666666666667,0.4791666666666667,0.0,0.0,48,25,0.001306438127090301,1.0,124880.0,1300.8333333333333,0,0.0,0.0,2038.07214346875,574.103097,11841.417114,12204.614368,1439.300315,12867.028195,0.346999822902266,15,0,0,0,0,0.0,1.0,593,True,1000,4,False,16,184,0,0,0,184,47,19136,137,15.283122909829972,15.058874607086182,48.116798639297485,71.36020278930664,0.0,0,262,326,0,5842350,334428,319008,49,0,12,13,110,0,0,7
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0+bg_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0+bg,7155,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,3,5,2026072800,a781d164a925d4eb5c5f0112c7e34394d812512b0276dd649f7ee65870eb903b,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Adaptive@rho1.0+bg,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_medium_20260726:Adaptive@rho1.0+bg:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,227.56975807063282,184,0.8085432860674322,672.7080140081035,0.3958333333333333,70,73.35034007344927,65.59885811805725,178.6538646221161,0.20833333333333334,0.20833333333333334,0.0,0.0,44,22,0.001149665551839465,1.0,147408.0,1535.5,0,0.0,0.0,2157.2202824166666,571.028571,11902.05743,12199.743872,1411.337184,12914.960801,0.42184867099170376,38,0,0,0,0,0.0,1.0,593,True,1000,4,False,16,184,0,0,0,184,49,19136,135,16.88514221444422,14.784018754959106,25.19510793685913,28.23614001274109,0.0,260,458,456,0,5851178,343124,334428,52,0,19,24,89,0,0,7
20260726_formal4t4_reuse_intensive_Ideal_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,7156,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,3,5,2026072800,a781d164a925d4eb5c5f0112c7e34394d812512b0276dd649f7ee65870eb903b,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Adaptive@rho1.0+bg,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_medium_20260726:Ideal:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,208.03427990619093,184,0.8844696176176892,735.8787218579173,0.3020833333333333,70,18.52509460449219,6.069350242614746,74.96734619140625,0.0,0.0,0.0,0.0,44,44,0.0,1.0,162768.0,1695.5,0,0.0,0.0,1865.0910137708333,500.277145,11418.716517,12403.21533,1149.509045,12401.113822,0.4614624091918378,29,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Ideal_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,7157,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,4,5,2026072800,1a937938582ffbc5b89e2a5cebf7ae8f773b3206cff1de0387eebffe4e6e48d8,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_medium_20260726:Ideal:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,244.61634205002338,184,0.7521983137266132,625.8289970205421,0.3125,69,18.921895307043325,2.751460313796997,117.88608884811401,0.0,0.0,0.0,0.0,44,44,0.0,1.0,139200.0,1450.0,0,0.0,0.0,1619.8404046458334,379.975313,11080.002377,11767.704223,1115.761042,12479.75346,0.39245129411823293,30,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0+bg_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0+bg,7158,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,4,5,2026072800,1a937938582ffbc5b89e2a5cebf7ae8f773b3206cff1de0387eebffe4e6e48d8,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_Adaptive_medium_20260726:Adaptive@rho1.0+bg:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,263.19678497035056,184,0.6990966854732964,581.6484423137827,0.19791666666666666,69,120.62918981607409,120.53962182998657,243.7112271785736,0.34375,0.34375,0.0,0.0,44,26,0.001358695652173913,1.0,121792.0,1268.6666666666667,0,0.0,0.0,1687.2858178854167,385.832589,11617.358778,12164.80386,1219.339754,12598.545687,0.3647460967686764,19,0,0,0,0,0.0,1.0,625,True,1000,4,False,16,184,0,0,0,184,49,19136,135,10.528874299964126,4.7300124168396,32.81326603889465,56.93397784233093,0.0,0,130,66,0,5861406,363703,347857,49,0,23,16,96,0,0,7
