experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,30014,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,2026072800,93dde8f28a2c388440d1dfce2395a90535aa31753575ccecbcce384ac79ed9fe,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,FullSync@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_FullSync_high_20260726:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,193.55966975633055,184,0.9506112519805129,790.9085616477868,0.3333333333333333,67,18.74258732084018,8.908494472503662,70.30631875991821,0.0,0.0,0.0,0.0,49,49,0.0,1.0,144352.0,1503.6666666666667,0,0.0,0.0,1764.4548881041667,392.748827,11191.380334,12077.136417,1369.9575,12139.547634,0.4959710879898328,32,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_FullSync@rho1.0+bg_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.0+bg,30015,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,0,5,2026072800,93dde8f28a2c388440d1dfce2395a90535aa31753575ccecbcce384ac79ed9fe,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,FullSync@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_FullSync_high_20260726:FullSync@rho1.0+bg:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,215.01948308665305,184,0.855736407504281,711.9726910435618,0.0,67,128.54773582629304,121.9513566493988,208.51911854743958,0.4583333333333333,0.4583333333333333,0.0,0.0,49,16,0.0008361204013377926,1.0,120784.0,1258.1666666666667,0,0.0,0.0,1916.9194766145833,381.443165,11687.037519,12086.413654,1360.45172,12660.78527,0.4464711691326684,0,0,0,0,0,0.0,1.0,790,True,10000,4,False,0,184,0,0,0,184,70,19136,114,77.68313121795654,80.33301520347595,159.50698399543762,166.14122796058655,0.0,0,522,392,0,5529648,108980,100135,74,0,0,0,0,0,0,114
20260726_formal4t4_reuse_intensive_Ideal_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,30016,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,1,5,2026072800,5fde03a8137ebe6ecb370942ca37dcc72f2db6aed57776d2306295e8474aa1cd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,FullSync@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_FullSync_high_20260726:Ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,261.31136362068355,184,0.7041408282078854,585.8451690689607,0.2604166666666667,62,25.632490004262618,13.111639022827148,107.99058794975281,0.0,0.0,0.0,0.0,52,52,0.0,1.0,125904.0,1311.5,0,0.0,0.0,2190.4978892395834,384.271636,11887.439714,12371.174324,1154.488982,13030.867452,0.3673778234128098,25,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_FullSync@rho1.0+bg_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.0+bg,30017,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,1,5,2026072800,5fde03a8137ebe6ecb370942ca37dcc72f2db6aed57776d2306295e8474aa1cd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,FullSync@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_FullSync_high_20260726:FullSync@rho1.0+bg:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,273.01280132867396,184,0.6739610710725852,560.7356111323909,0.0,62,159.51465423645513,130.27313780784607,258.0356299877167,0.3854166666666667,0.3854166666666667,0.0,0.0,52,14,0.0007316053511705685,1.0,95168.0,991.3333333333334,0,0.0,0.0,2426.524052739583,949.426047,11257.453537,11694.048872,1307.025585,12240.11672,0.3516318631683053,0,0,0,0,0,0.0,1.0,585,True,10000,4,False,0,184,0,0,0,184,55,19136,129,119.31911510120739,123.10644435882568,200.66760540008545,207.46900367736816,0.0,458,458,458,0,5555882,119747,111428,59,0,0,0,0,0,0,127
20260726_formal4t4_reuse_intensive_Ideal_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,30018,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,2,5,2026072800,e5dce0d18ab9cc34e8db39c3029903a989cf435cb0bab758bbae902060f7f72e,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,FullSync@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_FullSync_high_20260726:Ideal:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,254.51790276076645,184,0.7229353927725485,601.4822467867604,0.25,65,20.809446305495044,6.907008647918701,108.56959509849548,0.0,0.0,0.0,0.0,48,48,0.0,1.0,132032.0,1375.3333333333333,0,0.0,0.0,2033.8060508541666,387.299372,11593.193355,12174.513719,1366.453227,12589.729953,0.37718368318567747,24,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_FullSync@rho1.0+bg_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.0+bg,30019,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,2,5,2026072800,e5dce0d18ab9cc34e8db39c3029903a989cf435cb0bab758bbae902060f7f72e,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,FullSync@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_FullSync_high_20260726:FullSync@rho1.0+bg:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,278.5838654199615,184,0.6604833331701476,549.5221331975628,0.020833333333333332,65,186.39637094277603,185.68499779701233,279.21656227111816,0.46875,0.46875,0.0,0.0,48,15,0.0007838628762541806,1.0,117696.0,1226.0,0,0.0,0.0,2112.38605315625,374.107138,11524.632145,11825.647989,1326.657214,12493.460547,0.3445999999148596,2,0,0,0,0,0.0,1.0,601,True,10000,4,False,0,184,0,0,0,184,57,19136,127,100.94152800242107,102.01815223693848,169.14834713935852,176.17539715766907,0.0,458,522,392,0,5577032,130908,122195,61,0,0,0,0,0,0,124
20260726_formal4t4_reuse_intensive_FullSync@rho1.0+bg_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.0+bg,30020,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,3,5,2026072800,a781d164a925d4eb5c5f0112c7e34394d812512b0276dd649f7ee65870eb903b,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"FullSync@rho1.0+bg,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_FullSync_high_20260726:FullSync@rho1.0+bg:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,241.09645010065287,184,0.7631800465049723,634.965798692137,0.010416666666666666,70,153.9588732242584,151.9843249320984,237.37957048416138,0.53125,0.53125,0.0,0.0,44,12,0.0006270903010033445,1.0,128992.0,1343.6666666666667,0,0.0,0.0,2318.68259515625,379.639127,11358.263272,11941.364246,1327.840159,12340.606347,0.3981808938286812,1,0,0,0,0,0.0,1.0,601,True,10000,4,False,0,184,0,0,0,184,48,19136,136,106.46315581103165,111.41063594818115,182.04981970787048,189.07678747177124,0.0,458,522,456,0,5586056,141188,133356,52,0,0,0,0,0,0,133
20260726_formal4t4_reuse_intensive_Ideal_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,30021,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,3,5,2026072800,a781d164a925d4eb5c5f0112c7e34394d812512b0276dd649f7ee65870eb903b,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"FullSync@rho1.0+bg,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_FullSync_high_20260726:Ideal:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,205.64356299862266,184,0.8947520521283342,744.4337073707741,0.3020833333333333,70,18.04540732928685,6.036529541015625,72.75976586341858,0.0,0.0,0.0,0.0,44,44,0.0,1.0,162768.0,1695.5,0,0.0,0.0,1865.1024508958333,530.568833,11605.914427,12447.667775,1223.956478,12593.527928,0.46682715763217436,29,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Ideal_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,30022,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,4,5,2026072800,1a937938582ffbc5b89e2a5cebf7ae8f773b3206cff1de0387eebffe4e6e48d8,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,FullSync@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_FullSync_high_20260726:Ideal:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,241.28846309427172,184,0.7625727216311663,634.4605043971303,0.3125,69,18.56370624597522,2.7962987422943115,116.18305921554565,0.0,0.0,0.0,0.0,44,44,0.0,1.0,139200.0,1450.0,0,0.0,0.0,1596.954958375,384.03533,11130.276729,11538.145041,1041.490188,12274.982042,0.3978640286771302,30,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_FullSync@rho1.0+bg_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.0+bg,30023,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,4,5,2026072800,1a937938582ffbc5b89e2a5cebf7ae8f773b3206cff1de0387eebffe4e6e48d8,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,FullSync@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_FullSync_high_20260726:FullSync@rho1.0+bg:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,256.30018783081323,184,0.7179081746185085,597.2996012825992,0.0,69,171.42780885143557,172.73065876960754,236.91510796546936,0.4166666666666667,0.4166666666666667,0.0,0.0,44,14,0.0007316053511705685,1.0,117696.0,1226.0,0,0.0,0.0,1691.4005101354167,370.028235,11191.804102,11867.143016,930.360167,12185.283538,0.3745607867574827,0,0,0,0,0,0.0,1.0,634,True,10000,4,False,0,184,0,0,0,184,55,19136,129,96.37404300516302,101.0957236289978,148.60968351364136,148.9235544204712,0.0,458,458,456,0,5617572,156579,144517,59,0,0,0,0,0,0,125
