experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,27692,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,2026072800,93dde8f28a2c388440d1dfce2395a90535aa31753575ccecbcce384ac79ed9fe,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,RateFIFO@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_RateFIFO_high_20260726:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,197.3041668040678,184,0.9325702694496085,775.8984641820742,0.3333333333333333,67,18.992087278793107,9.058259010314941,71.05413818359375,0.0,0.0,0.0,0.0,49,49,0.0,1.0,144352.0,1503.6666666666667,0,0.0,0.0,1795.1722830104165,383.68327,11637.481317,12393.421104,1372.157631,12616.31012,0.48655840145196966,32,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0+bg_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.0+bg,27693,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,0,5,2026072800,93dde8f28a2c388440d1dfce2395a90535aa31753575ccecbcce384ac79ed9fe,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,RateFIFO@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_RateFIFO_high_20260726:RateFIFO@rho1.0+bg:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,240.92432733159512,184,0.7637252826973858,635.419435204225,0.4479166666666667,67,72.42274332402357,59.364702224731445,220.36124777793884,0.15625,0.15625,0.0,0.0,49,28,0.001463210702341137,1.0,120768.0,1258.0,0,0.0,0.0,2388.96298915625,1074.82338,12072.655044,12695.801838,2075.555691,13079.46298,0.3984653648855926,43,0,0,0,0,0.0,1.0,775,True,10000,4,False,0,184,0,0,0,184,46,19136,138,0.005680016849351966,0.003201723098754883,0.00498509407043457,0.10893821716308594,0.0,0,0,0,0,5717258,243938,230950,46,138,0,0,0,0,0,1
20260726_formal4t4_reuse_intensive_Ideal_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,27694,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,1,5,2026072800,5fde03a8137ebe6ecb370942ca37dcc72f2db6aed57776d2306295e8474aa1cd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,RateFIFO@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_RateFIFO_high_20260726:Ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,259.49066337384284,184,0.7090813889319594,589.9557155913902,0.2604166666666667,62,25.435536326900607,13.083130598068237,107.84044075012207,0.0,0.0,0.0,0.0,52,52,0.0,1.0,125904.0,1311.5,0,0.0,0.0,2164.327393645833,380.607136,11951.891683,12246.969052,1075.582765,12937.960127,0.36995550726884835,25,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0+bg_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.0+bg,27695,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,1,5,2026072800,5fde03a8137ebe6ecb370942ca37dcc72f2db6aed57776d2306295e8474aa1cd,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,RateFIFO@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_RateFIFO_high_20260726:RateFIFO@rho1.0+bg:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,273.2301299776882,184,0.6734249989744006,560.2895991467012,0.4270833333333333,62,82.01101070065653,79.63247466087341,223.3592827320099,0.14583333333333334,0.14583333333333334,0.0,0.0,52,28,0.001463210702341137,1.0,115664.0,1204.8333333333333,0,0.0,0.0,2443.648826708333,1073.401113,11866.394766,12220.663047,1558.997524,13109.897155,0.3513521733779481,41,0,0,0,0,0.0,1.0,589,True,10000,4,False,0,184,0,0,0,184,44,19136,140,0.005397048863497647,0.003658771514892578,0.004518032073974609,0.08520126342773438,0.0,0,0,0,0,5726154,255777,247143,44,140,0,0,0,0,0,1
20260726_formal4t4_reuse_intensive_Ideal_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,27696,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,2,5,2026072800,e5dce0d18ab9cc34e8db39c3029903a989cf435cb0bab758bbae902060f7f72e,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,RateFIFO@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_RateFIFO_high_20260726:Ideal:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,261.66479125712067,184,0.7031897532564684,585.0538747093817,0.25,65,21.418542293401863,7.017756938934326,112.03898453712463,0.0,0.0,0.0,0.0,48,48,0.0,1.0,132032.0,1375.3333333333333,0,0.0,0.0,2074.873388958333,386.524959,11939.439585,12137.021756,1368.466356,12941.103755,0.3668816103946792,24,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0+bg_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.0+bg,27697,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,2,5,2026072800,e5dce0d18ab9cc34e8db39c3029903a989cf435cb0bab758bbae902060f7f72e,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,RateFIFO@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_RateFIFO_high_20260726:RateFIFO@rho1.0+bg:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,264.0786989014596,184,0.6967619908967335,579.7059764260823,0.3645833333333333,65,78.89211518214299,18.834606647491455,249.92564034461975,0.22916666666666666,0.22916666666666666,0.0,0.0,48,21,0.0010974080267558528,1.0,128976.0,1343.5,0,0.0,0.0,1972.5153565625,545.466474,11238.479284,11622.997222,1436.248838,12218.168774,0.36352799525046964,35,0,0,0,0,0.0,1.0,585,True,10000,4,False,0,184,0,0,0,184,30,19136,154,3.6561166206995646,0.0038039684295654297,31.926650762557983,77.56471872329712,0.0,0,0,0,0,5732306,270356,258729,30,154,0,0,0,0,0,1
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0+bg_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.0+bg,27698,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,3,5,2026072800,a781d164a925d4eb5c5f0112c7e34394d812512b0276dd649f7ee65870eb903b,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"RateFIFO@rho1.0+bg,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_RateFIFO_high_20260726:RateFIFO@rho1.0+bg:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,232.6226190775633,184,0.790980691085113,658.095934982814,0.4791666666666667,70,75.84569163663046,48.19285249710083,228.41487193107605,0.19791666666666666,0.19791666666666666,0.0,0.0,44,25,0.001306438127090301,1.0,144336.0,1503.5,0,0.0,0.0,2471.360560760417,904.13873,11997.92206,12732.986386,2004.830485,13008.012945,0.41268557795745026,46,0,0,0,0,0.0,1.0,585,True,10000,4,False,0,184,0,0,0,184,41,19136,143,0.005891980194463962,0.0035393238067626953,0.00458073616027832,0.10098624229431152,0.0,0,0,0,0,5740614,271737,270398,41,143,0,0,0,0,0,1
20260726_formal4t4_reuse_intensive_Ideal_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,27699,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,3,5,2026072800,a781d164a925d4eb5c5f0112c7e34394d812512b0276dd649f7ee65870eb903b,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"RateFIFO@rho1.0+bg,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_RateFIFO_high_20260726:Ideal:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,207.96484498865902,184,0.8847649226965937,736.124415683566,0.3020833333333333,70,18.302885494913372,6.0263965129852295,73.78992652893066,0.0,0.0,0.0,0.0,44,44,0.0,1.0,162768.0,1695.5,0,0.0,0.0,1882.6733769375,465.114799,11441.73194,12891.718339,1189.248154,12409.159847,0.46161648140691847,29,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Ideal_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,27700,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,4,5,2026072800,1a937938582ffbc5b89e2a5cebf7ae8f773b3206cff1de0387eebffe4e6e48d8,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,RateFIFO@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_RateFIFO_high_20260726:Ideal:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,243.34530031308532,184,0.7561271977032952,629.0978284891415,0.3125,69,18.82655784358149,2.7746880054473877,117.58179140090942,0.0,0.0,0.0,0.0,44,44,0.0,1.0,139200.0,1450.0,0,0.0,0.0,1605.4875326041667,379.781252,11578.474369,11740.981654,1007.354745,12554.322922,0.39450114662780617,30,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0+bg_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.0+bg,27701,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,4,5,2026072800,1a937938582ffbc5b89e2a5cebf7ae8f773b3206cff1de0387eebffe4e6e48d8,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,RateFIFO@rho1.0+bg",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:background_RateFIFO_high_20260726:RateFIFO@rho1.0+bg:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,264.7482042936608,184,0.694999992505731,578.2399937647682,0.5208333333333334,69,71.9653877624567,42.75545883178711,215.84982919692993,0.10416666666666667,0.10416666666666667,0.0,0.0,44,28,0.001463210702341137,1.0,128960.0,1343.3333333333333,0,0.0,0.0,1874.8012935833333,1126.44657,11411.136625,11948.508795,2467.817113,12395.19571,0.3626086917421205,50,0,0,0,0,0.0,1.0,629,True,10000,4,False,0,184,0,0,0,184,44,19136,140,0.005549376661127264,0.003749370574951172,0.004384517669677734,0.0908498764038086,0.0,0,0,0,0,5749510,285019,275277,44,140,0,0,0,0,0,1
