experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,42010,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,2026072600,51caaf4ea6ebbcdec14a6bd725c149c38532781130d827bae9dc066006fb884a,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,AgeCov-Greedy@rho0.5,RateFIFO@rho1.0,LatestOnly@rho1.2,FullSync@rho1.2,AgeCov-Greedy@rho1.0,RateFIFO@rho0.8,Adaptive@rho1.0,Adaptive@rho0.8,RateFIFO@rho1.2,StaticSemantic@rho1.2,StaticSemantic@rho1.0,FullSync@rho0.8,Adaptive@rho1.2,StaticSemantic@rho0.5,AgeCov-Greedy@rho0.8,LatestOnly@rho1.0,LatestOnly@rho0.5,LatestOnly@rho0.8,FullSync@rho1.0,RateFIFO@rho0.5,StaticSemantic@rho0.8,FullSync@rho0.5,Adaptive@rho0.5,AgeCov-Greedy@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:baseline_reuse_20260726:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,131.12871695961803,184,1.4032014059640654,1167.4635697621025,0.25,68,10.651294873041266,5.1110265254974365,48.61130118370056,0.0,0.0,0.0,0.0,48,48,0.0,1.0,159680.0,1663.3333333333333,0,0.0,0.0,1089.7591093645833,290.460945,3047.846644,8126.190417,890.776668,4070.629615,0.7321050813725558,24,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_AgeCov-Greedy@rho0.5_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,AgeCov-Greedy@rho0.5,42011,AgeCov-Greedy,reuse_intensive,"Choose pending updates by age_s * max(coverage_tokens,1) / 64 bytes; no invalidation priority, replica suppression, or adaptive gate.",64,104,0,5,2026072600,51caaf4ea6ebbcdec14a6bd725c149c38532781130d827bae9dc066006fb884a,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,AgeCov-Greedy@rho0.5,RateFIFO@rho1.0,LatestOnly@rho1.2,FullSync@rho1.2,AgeCov-Greedy@rho1.0,RateFIFO@rho0.8,Adaptive@rho1.0,Adaptive@rho0.8,RateFIFO@rho1.2,StaticSemantic@rho1.2,StaticSemantic@rho1.0,FullSync@rho0.8,Adaptive@rho1.2,StaticSemantic@rho0.5,AgeCov-Greedy@rho0.8,LatestOnly@rho1.0,LatestOnly@rho0.5,LatestOnly@rho0.8,FullSync@rho1.0,RateFIFO@rho0.5,StaticSemantic@rho0.8,FullSync@rho0.5,Adaptive@rho0.5,AgeCov-Greedy@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:baseline_reuse_20260726:AgeCov-Greedy@rho0.5:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,137.73038019053638,184,1.3359434552163014,1111.5049547399628,0.16666666666666666,68,36.54833212670158,26.026674509048462,94.5036473274231,0.08333333333333333,0.08333333333333333,0.0,0.0,48,48,0.002508361204013378,1.0,144336.0,1503.5,0,0.0,0.0,1201.00020221875,399.592731,6439.230693,7516.599998,985.852598,6985.605002,0.697013976634592,16,0,0,0,0,0.0,0.5,2334,False,none,4,False,0,184,0,0,0,184,184,19136,0,10.992104932017948,9.763819932937622,28.35533356666565,30.67213797569275,0.0,0,522,0,0,1921114,630,630,184,0,0,0,0,0,0,33
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.0_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.0,42012,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,0,5,2026072600,51caaf4ea6ebbcdec14a6bd725c149c38532781130d827bae9dc066006fb884a,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,2,"Ideal,AgeCov-Greedy@rho0.5,RateFIFO@rho1.0,LatestOnly@rho1.2,FullSync@rho1.2,AgeCov-Greedy@rho1.0,RateFIFO@rho0.8,Adaptive@rho1.0,Adaptive@rho0.8,RateFIFO@rho1.2,StaticSemantic@rho1.2,StaticSemantic@rho1.0,FullSync@rho0.8,Adaptive@rho1.2,StaticSemantic@rho0.5,AgeCov-Greedy@rho0.8,LatestOnly@rho1.0,LatestOnly@rho0.5,LatestOnly@rho0.8,FullSync@rho1.0,RateFIFO@rho0.5,StaticSemantic@rho0.8,FullSync@rho0.5,Adaptive@rho0.5,AgeCov-Greedy@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:baseline_reuse_20260726:RateFIFO@rho1.0:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,159.9554355982691,184,1.1503203958765067,957.0665693692537,0.4791666666666667,68,46.334106655681836,24.499292373657227,148.57916808128357,0.15625,0.15625,0.0,0.0,48,30,0.0015677257525083612,1.0,134096.0,1396.8333333333333,0,0.0,0.0,1539.2245540625,652.798514,7969.884646,8116.415921,1237.169063,8629.6605,0.6001671630660035,46,0,0,0,1,0.0,1.0,1167,False,none,4,False,0,184,0,0,0,184,46,19136,138,0.005290357962898586,0.003392934799194336,0.00487065315246582,0.09062075614929199,0.0,0,0,0,0,1930636,630,630,46,138,0,0,0,0,0,1
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,LatestOnly@rho1.2,42013,LatestOnly,reuse_intensive,"For an unsent (owner,prefix) update retain only the latest one; no priority, deduplication, greedy score, or adaptive admission.",64,104,0,5,2026072600,51caaf4ea6ebbcdec14a6bd725c149c38532781130d827bae9dc066006fb884a,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,3,"Ideal,AgeCov-Greedy@rho0.5,RateFIFO@rho1.0,LatestOnly@rho1.2,FullSync@rho1.2,AgeCov-Greedy@rho1.0,RateFIFO@rho0.8,Adaptive@rho1.0,Adaptive@rho0.8,RateFIFO@rho1.2,StaticSemantic@rho1.2,StaticSemantic@rho1.0,FullSync@rho0.8,Adaptive@rho1.2,StaticSemantic@rho0.5,AgeCov-Greedy@rho0.8,LatestOnly@rho1.0,LatestOnly@rho0.5,LatestOnly@rho0.8,FullSync@rho1.0,RateFIFO@rho0.5,StaticSemantic@rho0.8,FullSync@rho0.5,Adaptive@rho0.5,AgeCov-Greedy@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:baseline_reuse_20260726:LatestOnly@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,149.45265182852745,184,1.2311591514020774,1024.3244139665285,0.0,68,96.37417332915699,97.6206922531128,148.58355331420898,0.4479166666666667,0.4479166666666667,0.0,0.0,48,22,0.001149665551839465,1.0,125904.0,1311.5,0,0.0,0.0,1406.9991352708332,291.803642,7726.0498,8214.736419,914.824509,8359.144711,0.6423439050793448,0,0,0,0,0,0.0,1.2,972,False,none,4,False,0,184,0,0,0,184,79,19136,105,67.56112864953053,73.17134594917297,129.75981974601746,135.32207608222961,0.0,0,392,522,0,1944758,630,630,83,0,56,0,0,0,0,68
20260726_formal4t4_reuse_intensive_FullSync@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.2,42014,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,0,5,2026072600,51caaf4ea6ebbcdec14a6bd725c149c38532781130d827bae9dc066006fb884a,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,4,"Ideal,AgeCov-Greedy@rho0.5,RateFIFO@rho1.0,LatestOnly@rho1.2,FullSync@rho1.2,AgeCov-Greedy@rho1.0,RateFIFO@rho0.8,Adaptive@rho1.0,Adaptive@rho0.8,RateFIFO@rho1.2,StaticSemantic@rho1.2,StaticSemantic@rho1.0,FullSync@rho0.8,Adaptive@rho1.2,StaticSemantic@rho0.5,AgeCov-Greedy@rho0.8,LatestOnly@rho1.0,LatestOnly@rho0.5,LatestOnly@rho0.8,FullSync@rho1.0,RateFIFO@rho0.5,StaticSemantic@rho0.8,FullSync@rho0.5,Adaptive@rho0.5,AgeCov-Greedy@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:baseline_reuse_20260726:FullSync@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,152.09010470937937,184,1.2098091480152209,1006.5612111486638,0.010416666666666666,68,97.00036657207153,97.35319018363953,151.18145942687988,0.4479166666666667,0.4479166666666667,0.0,0.0,48,16,0.0008361204013377926,1.0,123856.0,1290.1666666666667,0,0.0,0.0,1458.7214298541667,375.898279,7854.005829,8762.73076,939.06837,8536.680578,0.6312047728775065,1,0,0,0,0,0.0,1.2,972,False,none,4,False,0,184,0,0,0,184,71,19136,113,88.6014764141029,89.55218052864075,154.5818202495575,164.5098934173584,0.0,522,458,458,0,1957498,630,630,75,0,0,0,0,0,0,131
20260726_formal4t4_reuse_intensive_AgeCov-Greedy@rho1.0_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,AgeCov-Greedy@rho1.0,42015,AgeCov-Greedy,reuse_intensive,"Choose pending updates by age_s * max(coverage_tokens,1) / 64 bytes; no invalidation priority, replica suppression, or adaptive gate.",64,104,0,5,2026072600,51caaf4ea6ebbcdec14a6bd725c149c38532781130d827bae9dc066006fb884a,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,5,"Ideal,AgeCov-Greedy@rho0.5,RateFIFO@rho1.0,LatestOnly@rho1.2,FullSync@rho1.2,AgeCov-Greedy@rho1.0,RateFIFO@rho0.8,Adaptive@rho1.0,Adaptive@rho0.8,RateFIFO@rho1.2,StaticSemantic@rho1.2,StaticSemantic@rho1.0,FullSync@rho0.8,Adaptive@rho1.2,StaticSemantic@rho0.5,AgeCov-Greedy@rho0.8,LatestOnly@rho1.0,LatestOnly@rho0.5,LatestOnly@rho0.8,FullSync@rho1.0,RateFIFO@rho0.5,StaticSemantic@rho0.8,FullSync@rho0.5,Adaptive@rho0.5,AgeCov-Greedy@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:baseline_reuse_20260726:AgeCov-Greedy@rho1.0:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,155.81235104519874,184,1.1809076672402206,982.5151791438636,0.020833333333333332,68,96.31784225562039,89.83768630027771,151.1633927822113,0.4583333333333333,0.4583333333333333,0.0,0.0,48,24,0.001254180602006689,1.0,124880.0,1300.8333333333333,0,0.0,0.0,1431.54924228125,286.507275,7541.508866,8242.052313,951.418928,8175.318512,0.6161257394296803,2,0,0,0,0,0.0,1.0,1167,False,none,4,False,0,184,0,0,0,184,96,19136,88,63.97365823139747,59.2182252407074,123.3564190864563,125.9652988910675,0.0,392,458,456,0,1974202,630,630,100,0,0,0,0,0,0,117
20260726_formal4t4_reuse_intensive_RateFIFO@rho0.8_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho0.8,42016,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,0,5,2026072600,51caaf4ea6ebbcdec14a6bd725c149c38532781130d827bae9dc066006fb884a,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,6,"Ideal,AgeCov-Greedy@rho0.5,RateFIFO@rho1.0,LatestOnly@rho1.2,FullSync@rho1.2,AgeCov-Greedy@rho1.0,RateFIFO@rho0.8,Adaptive@rho1.0,Adaptive@rho0.8,RateFIFO@rho1.2,StaticSemantic@rho1.2,StaticSemantic@rho1.0,FullSync@rho0.8,Adaptive@rho1.2,StaticSemantic@rho0.5,AgeCov-Greedy@rho0.8,LatestOnly@rho1.0,LatestOnly@rho0.5,LatestOnly@rho0.8,FullSync@rho1.0,RateFIFO@rho0.5,StaticSemantic@rho0.8,FullSync@rho0.5,Adaptive@rho0.5,AgeCov-Greedy@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:baseline_reuse_20260726:RateFIFO@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,166.283839863725,184,1.1065416828886918,920.6426801633916,0.4791666666666667,68,47.38616221091326,23.826476573944092,153.2646050453186,0.15625,0.15625,0.0,0.0,48,30,0.0015677257525083612,1.0,134096.0,1396.8333333333333,0,0.0,0.0,1623.37665453125,678.037974,7957.625119,8667.377316,1250.387768,8610.996327,0.577326095420187,46,0,0,0,0,0.0,0.8,1459,False,none,4,False,0,184,0,0,0,184,46,19136,138,0.37071995631508203,0.004116535186767578,1.773942470550537,7.640088319778442,0.0,522,0,0,0,1984272,630,630,46,138,0,0,0,0,0,1
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0,42017,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,2026072600,51caaf4ea6ebbcdec14a6bd725c149c38532781130d827bae9dc066006fb884a,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,7,"Ideal,AgeCov-Greedy@rho0.5,RateFIFO@rho1.0,LatestOnly@rho1.2,FullSync@rho1.2,AgeCov-Greedy@rho1.0,RateFIFO@rho0.8,Adaptive@rho1.0,Adaptive@rho0.8,RateFIFO@rho1.2,StaticSemantic@rho1.2,StaticSemantic@rho1.0,FullSync@rho0.8,Adaptive@rho1.2,StaticSemantic@rho0.5,AgeCov-Greedy@rho0.8,LatestOnly@rho1.0,LatestOnly@rho0.5,LatestOnly@rho0.8,FullSync@rho1.0,RateFIFO@rho0.5,StaticSemantic@rho0.8,FullSync@rho0.5,Adaptive@rho0.5,AgeCov-Greedy@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:baseline_reuse_20260726:Adaptive@rho1.0:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,137.31861240416765,184,1.3399494560754501,1114.8379474547744,0.3229166666666667,68,54.430510114221015,57.906787395477295,127.50311350822449,0.15625,0.15625,0.0,0.0,48,31,0.0016199832775919732,1.0,144320.0,1503.3333333333333,0,0.0,0.0,1124.861270375,311.835346,6814.309237,7720.567331,987.064746,7429.236229,0.6991040640393653,31,0,0,0,0,0.0,1.0,1167,False,none,4,False,16,184,0,0,0,184,72,19136,112,9.631936950816048,11.447373628616333,17.180871725082397,20.791385173797607,0.0,0,392,0,0,1997472,630,630,72,0,14,33,65,0,0,6
20260726_formal4t4_reuse_intensive_Adaptive@rho0.8_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho0.8,42018,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,2026072600,51caaf4ea6ebbcdec14a6bd725c149c38532781130d827bae9dc066006fb884a,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,8,"Ideal,AgeCov-Greedy@rho0.5,RateFIFO@rho1.0,LatestOnly@rho1.2,FullSync@rho1.2,AgeCov-Greedy@rho1.0,RateFIFO@rho0.8,Adaptive@rho1.0,Adaptive@rho0.8,RateFIFO@rho1.2,StaticSemantic@rho1.2,StaticSemantic@rho1.0,FullSync@rho0.8,Adaptive@rho1.2,StaticSemantic@rho0.5,AgeCov-Greedy@rho0.8,LatestOnly@rho1.0,LatestOnly@rho0.5,LatestOnly@rho0.8,FullSync@rho1.0,RateFIFO@rho0.5,StaticSemantic@rho0.8,FullSync@rho0.5,Adaptive@rho0.5,AgeCov-Greedy@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:baseline_reuse_20260726:Adaptive@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,138.46938233822584,184,1.3288136113047786,1105.5729246055757,0.375,68,49.64204450565226,43.087039947509766,128.1664276123047,0.13541666666666666,0.13541666666666666,0.0,0.0,48,31,0.0016199832775919732,1.0,144320.0,1503.3333333333333,0,0.0,0.0,1180.6791790833333,422.43233,6868.395724,8275.575723,1027.502164,7465.390289,0.6932940580720584,36,0,0,0,0,0.0,0.8,1459,False,none,4,False,16,184,0,0,0,184,84,19136,100,7.265575587749481,7.192930698394775,13.86104702949524,15.257882833480835,0.0,0,522,0,0,2012060,630,630,84,0,7,30,63,0,0,6
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.2,42019,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,0,5,2026072600,51caaf4ea6ebbcdec14a6bd725c149c38532781130d827bae9dc066006fb884a,1.2,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,9,"Ideal,AgeCov-Greedy@rho0.5,RateFIFO@rho1.0,LatestOnly@rho1.2,FullSync@rho1.2,AgeCov-Greedy@rho1.0,RateFIFO@rho0.8,Adaptive@rho1.0,Adaptive@rho0.8,RateFIFO@rho1.2,StaticSemantic@rho1.2,StaticSemantic@rho1.0,FullSync@rho0.8,Adaptive@rho1.2,StaticSemantic@rho0.5,AgeCov-Greedy@rho0.8,LatestOnly@rho1.0,LatestOnly@rho0.5,LatestOnly@rho0.8,FullSync@rho1.0,RateFIFO@rho0.5,StaticSemantic@rho0.8,FullSync@rho0.5,Adaptive@rho0.5,AgeCov-Greedy@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:baseline_reuse_20260726:RateFIFO@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.25,16,64,156.2865647599101,184,1.1773244890414203,979.5339748824616,0.4583333333333333,68,48.054358671693244,28.832516193389893,144.55184841156006,0.15625,0.15625,0.0,0.0,48,30,0.0015677257525083612,1.0,133072.0,1386.1666666666667,0,0.0,0.0,1502.3619603333334,546.084241,7762.473383,8433.373178,1173.934498,8424.955007,0.6142562551520453,44,0,0,0,0,0.0,1.2,972,False,none,4,False,0,184,0,0,0,184,45,19136,139,3.6928594642215304,3.8866255283355713,9.504840850830078,12.55316710472107,0.0,0,0,0,0,2021000,630,630,45,139,0,0,0,0,0,1
