experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,2d3e8027c4cb59715c9c60a6872c1e509bb646b2,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,32413,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,1,2026072630,b4a5bfd1893b9920c8900b2a9dd30fa783853d7b77bde003e1d6205855f618a9,1.2,32,3,64,24,48,12,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,FullSync@rho1.2,FullSync@rho0.4,Adaptive@rho1.0,FullSync@rho1.0,Adaptive@rho1.2,FullSync@rho0.8,Adaptive@rho0.4,Adaptive@rho0.8,FullSync@rho0.6,Adaptive@rho0.6",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:calib_rho_20260726:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,36,0.25,8,32,45.76313591469079,80,1.748131949461063,1454.4457819516044,0.16666666666666666,20,4.884366047382355,3.795715093612671,18.66313123703003,0.0,0.0,0.0,0.0,27,27,0.0,1.0,54400.0,1511.111111111111,0,0.0,0.0,822.55656175,345.271201,3532.044069,4269.631503,578.796957,3793.450665,0.7866593772574784,6,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_FullSync@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,2d3e8027c4cb59715c9c60a6872c1e509bb646b2,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.2,32414,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,0,1,2026072630,b4a5bfd1893b9920c8900b2a9dd30fa783853d7b77bde003e1d6205855f618a9,1.2,32,3,64,24,48,12,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,FullSync@rho1.2,FullSync@rho0.4,Adaptive@rho1.0,FullSync@rho1.0,Adaptive@rho1.2,FullSync@rho0.8,Adaptive@rho0.4,Adaptive@rho0.8,FullSync@rho0.6,Adaptive@rho0.6",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:calib_rho_20260726:FullSync@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,36,0.25,8,32,52.744852202013135,80,1.516735693818981,1261.9240972573923,0.0,20,34.354341781139375,34.20345687866211,49.476171016693115,0.3888888888888889,0.3888888888888889,0.0,0.0,27,23,0.002764423076923077,1.0,38016.0,1056.0,0,0.0,0.0,1078.107159861111,440.807468,3551.311102,3714.823778,589.617117,3851.182664,0.6825310622185414,0,0,0,0,0,0.0,1.2,1212,False,none,4,False,0,80,0,0,80,68,8320,12,36.95035009173786,41.65462899208069,69.25188374519348,70.83164119720459,0.0,0,588,522,0,333850,1050,1050,72,0,0,0,0,0,0,47
20260726_formal4t4_reuse_intensive_FullSync@rho0.4_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,2d3e8027c4cb59715c9c60a6872c1e509bb646b2,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho0.4,32415,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,0,1,2026072630,b4a5bfd1893b9920c8900b2a9dd30fa783853d7b77bde003e1d6205855f618a9,1.2,32,3,64,24,48,12,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,2,"Ideal,FullSync@rho1.2,FullSync@rho0.4,Adaptive@rho1.0,FullSync@rho1.0,Adaptive@rho1.2,FullSync@rho0.8,Adaptive@rho0.4,Adaptive@rho0.8,FullSync@rho0.6,Adaptive@rho0.6",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:calib_rho_20260726:FullSync@rho0.4:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,36,0.25,8,32,46.77806138712913,80,1.7102034079165969,1422.8892353866086,0.08333333333333333,20,9.864284896850586,7.351433992385864,32.06023454666138,0.05555555555555555,0.05555555555555555,0.0,0.0,27,27,0.003245192307692308,1.0,49280.0,1368.888888888889,0,0.0,0.0,877.6992633611111,347.871588,3193.778233,3571.883165,600.273341,3460.548404,0.7695915335624686,3,0,0,0,0,0.0,0.4,3636,False,none,4,False,0,80,0,0,80,80,8320,0,0.9513088643550873,0.6163935661315918,3.4741876125335693,4.357989072799683,0.0,456,0,0,0,348738,1050,1050,80,0,0,0,0,0,0,6
20260726_formal4t4_reuse_intensive_Adaptive@rho1.0_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,354d1fdec12f72fa817315d043cb3b952482af95,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.0,32416,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,1,2026072630,b4a5bfd1893b9920c8900b2a9dd30fa783853d7b77bde003e1d6205855f618a9,1.2,32,3,64,24,48,12,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,3,"Ideal,FullSync@rho1.2,FullSync@rho0.4,Adaptive@rho1.0,FullSync@rho1.0,Adaptive@rho1.2,FullSync@rho0.8,Adaptive@rho0.4,Adaptive@rho0.8,FullSync@rho0.6,Adaptive@rho0.6",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:calib_rho_20260726:Adaptive@rho1.0:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,36,0.25,8,32,50.816093443892896,80,1.5743044098486174,1309.8212689940497,0.1388888888888889,20,31.74605176448822,34.07437753677368,47.51755690574646,0.3333333333333333,0.3333333333333333,0.0,0.0,27,14,0.0016826923076923078,1.0,38016.0,1056.0,0,0.0,0.0,1110.206257888889,467.807192,3614.468918,3948.269221,647.95673,3933.436419,0.7084369844318779,5,0,0,0,0,0.0,1.0,1454,False,none,4,False,16,80,0,0,80,32,8320,48,7.794171713292599,8.678088665008545,14.564073324203491,18.18568205833435,0.0,0,458,0,0,355112,1050,1050,32,0,5,17,26,0,0,7
20260726_formal4t4_reuse_intensive_FullSync@rho1.0_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,7dc9e89de8528a0ab60d6ec49a12dbaa9af34d8b,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.0,32417,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,0,1,2026072630,b4a5bfd1893b9920c8900b2a9dd30fa783853d7b77bde003e1d6205855f618a9,1.2,32,3,64,24,48,12,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,4,"Ideal,FullSync@rho1.2,FullSync@rho0.4,Adaptive@rho1.0,FullSync@rho1.0,Adaptive@rho1.2,FullSync@rho0.8,Adaptive@rho0.4,Adaptive@rho0.8,FullSync@rho0.6,Adaptive@rho0.6",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:calib_rho_20260726:FullSync@rho1.0:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,36,0.25,8,32,47.165526433847845,80,1.6961540779620947,1411.200192864463,0.0,20,33.169693887233734,34.044607639312744,46.796295166015625,0.3888888888888889,0.3888888888888889,0.0,0.0,27,27,0.003245192307692308,1.0,42112.0,1169.7777777777778,0,0.0,0.0,1009.6674696666666,465.92469,3407.8767,3544.975496,590.177476,3690.888247,0.7632693350829427,0,0,0,0,0,0.0,1.0,1454,False,none,4,False,0,80,0,0,80,80,8320,0,35.2766055047512,43.366551876068115,50.68002772331238,51.83446931838989,0.0,0,458,0,0,367422,1050,1050,80,0,0,0,0,0,0,52
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,2bb03cf72290700ccede882687eed44a96a473a8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2,32418,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,1,2026072630,b4a5bfd1893b9920c8900b2a9dd30fa783853d7b77bde003e1d6205855f618a9,1.2,32,3,64,24,48,12,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,5,"Ideal,FullSync@rho1.2,FullSync@rho0.4,Adaptive@rho1.0,FullSync@rho1.0,Adaptive@rho1.2,FullSync@rho0.8,Adaptive@rho0.4,Adaptive@rho0.8,FullSync@rho0.6,Adaptive@rho0.6",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:calib_rho_20260726:Adaptive@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,36,0.25,8,32,51.591334705241024,80,1.5506480004261842,1290.1391363545854,0.05555555555555555,20,35.468697381019595,35.29656410217285,51.13792705535889,0.3888888888888889,0.3888888888888889,0.0,0.0,27,12,0.0014423076923076924,1.0,38016.0,1056.0,0,0.0,0.0,1138.0890779444444,433.579031,3557.210991,3901.792217,580.927175,3855.025862,0.6977916001917829,2,0,0,0,0,0.0,1.2,1212,False,none,4,False,16,80,0,0,80,28,8320,52,13.630074160439628,16.79932737350464,22.216387033462524,25.70935606956482,0.0,0,522,0,0,373670,1050,1050,28,0,5,17,30,0,0,6
20260726_formal4t4_reuse_intensive_FullSync@rho0.8_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,2bb03cf72290700ccede882687eed44a96a473a8,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho0.8,32419,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,0,1,2026072630,b4a5bfd1893b9920c8900b2a9dd30fa783853d7b77bde003e1d6205855f618a9,1.2,32,3,64,24,48,12,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,6,"Ideal,FullSync@rho1.2,FullSync@rho0.4,Adaptive@rho1.0,FullSync@rho1.0,Adaptive@rho1.2,FullSync@rho0.8,Adaptive@rho0.4,Adaptive@rho0.8,FullSync@rho0.6,Adaptive@rho0.6",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:calib_rho_20260726:FullSync@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,36,0.25,8,32,48.31081296224147,80,1.6559439821997202,1377.745393190167,0.0,20,32.68276628255844,31.734169006347656,47.99049782752991,0.3888888888888889,0.3888888888888889,0.0,0.0,27,27,0.003245192307692308,1.0,42112.0,1169.7777777777778,0,0.0,0.0,1030.0287850555555,404.450984,3709.936217,3940.066648,530.491674,4044.860479,0.745174791989874,0,0,0,0,0,0.0,0.8,1818,False,none,4,False,0,80,0,0,80,80,8320,0,26.1613845795393,32.44480848312378,39.175727128982544,39.877222537994385,0.0,0,456,0,0,387726,1050,1050,80,0,0,0,0,0,0,44
20260726_formal4t4_reuse_intensive_Adaptive@rho0.4_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,265fe3d981112bbcedf107fe726b0e215ae24a8d,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho0.4,32420,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,1,2026072630,b4a5bfd1893b9920c8900b2a9dd30fa783853d7b77bde003e1d6205855f618a9,1.2,32,3,64,24,48,12,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,7,"Ideal,FullSync@rho1.2,FullSync@rho0.4,Adaptive@rho1.0,FullSync@rho1.0,Adaptive@rho1.2,FullSync@rho0.8,Adaptive@rho0.4,Adaptive@rho0.8,FullSync@rho0.6,Adaptive@rho0.6",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:calib_rho_20260726:Adaptive@rho0.4:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,36,0.25,8,32,50.94233911111951,80,1.5704029574593659,1306.5752606061924,0.2777777777777778,20,8.998718750476836,8.16315221786499,33.79639554023743,0.05555555555555555,0.05555555555555555,0.0,0.0,27,27,0.003245192307692308,1.0,49280.0,1368.888888888889,0,0.0,0.0,1032.5545882222223,408.168463,3718.325568,4091.877802,676.429227,3985.069901,0.7066813308567147,10,0,0,0,0,0.0,0.4,3636,False,none,4,False,16,80,0,0,80,63,8320,17,0.31418017357114764,0.003801584243774414,2.10837459564209,2.865802049636841,0.0,0,0,0,0,400680,1050,1050,63,0,0,17,0,0,0,3
20260726_formal4t4_reuse_intensive_Adaptive@rho0.8_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,265fe3d981112bbcedf107fe726b0e215ae24a8d,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho0.8,32421,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,1,2026072630,b4a5bfd1893b9920c8900b2a9dd30fa783853d7b77bde003e1d6205855f618a9,1.2,32,3,64,24,48,12,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,8,"Ideal,FullSync@rho1.2,FullSync@rho0.4,Adaptive@rho1.0,FullSync@rho1.0,Adaptive@rho1.2,FullSync@rho0.8,Adaptive@rho0.4,Adaptive@rho0.8,FullSync@rho0.6,Adaptive@rho0.6",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:calib_rho_20260726:Adaptive@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,36,0.25,8,32,52.72580600436777,80,1.5172835858284055,1262.3799434092334,0.16666666666666666,20,27.784162282943726,35.69706583023071,52.27229928970337,0.2777777777777778,0.2777777777777778,0.0,0.0,27,20,0.002403846153846154,1.0,42112.0,1169.7777777777778,0,0.0,0.0,1183.8810836666667,471.222917,3822.637793,4071.636968,676.392805,4132.387862,0.6827776136227824,6,0,0,0,0,0.0,0.8,1818,False,none,4,False,16,80,0,0,80,42,8320,38,5.000655679475694,4.473783731460571,12.089102983474731,14.407472133636475,0.0,0,588,0,0,409656,1050,1050,42,0,3,16,19,0,0,7
20260726_formal4t4_reuse_intensive_FullSync@rho0.6_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,c5962fb578abe1aac2ca40b69c58c4cf97cfbc37,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho0.6,32422,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,0,1,2026072630,b4a5bfd1893b9920c8900b2a9dd30fa783853d7b77bde003e1d6205855f618a9,1.2,32,3,64,24,48,12,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,9,"Ideal,FullSync@rho1.2,FullSync@rho0.4,Adaptive@rho1.0,FullSync@rho1.0,Adaptive@rho1.2,FullSync@rho0.8,Adaptive@rho0.4,Adaptive@rho0.8,FullSync@rho0.6,Adaptive@rho0.6",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:calib_rho_20260726:FullSync@rho0.6:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,36,0.25,8,32,54.63960989005864,80,1.4641392967660178,1218.1638949093267,0.05555555555555555,20,30.28864438533783,27.144541025161743,46.32179284095764,0.2777777777777778,0.2777777777777778,0.0,0.0,27,27,0.003245192307692308,1.0,38016.0,1056.0,0,0.0,0.0,1193.2155851666666,505.688677,3810.810762,4276.449279,644.586833,4121.302638,0.658862683544708,2,0,0,0,0,0.0,0.6,2424,False,none,4,False,0,80,0,0,80,80,8320,0,6.863218420743943,8.111116647720337,13.052353382110596,13.746783256530762,0.0,0,326,0,0,423010,1050,1050,80,0,0,0,0,0,0,20
