experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,30791,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,2026072900,cd0ec0ee072cb73221b0e2efb10aa02024c3bf020a5b21afc79d033ccbbccd1f,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_Adaptive_20260726:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,425.88840359356254,312,0.7325862769857207,609.5117824521196,0.4270833333333333,56,25.78729307225772,0.008772850036621094,145.33424878120422,0.0,0.0,0.0,0.0,16,16,0.0,0.9166666666666666,120496.0,1255.1666666666667,0,0.0,0.0,2279.23860353125,1018.365226,11535.503575,11843.876576,1479.294425,12517.708419,0.2254111621494525,41,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2,30792,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,0,5,2026072900,cd0ec0ee072cb73221b0e2efb10aa02024c3bf020a5b21afc79d033ccbbccd1f,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_Adaptive_20260726:Adaptive@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,437.02246726397425,312,0.71392210554599,593.9831918142637,0.15625,60,329.657568025589,326.73006439208984,421.3237855434418,0.4479166666666667,0.4479166666666667,0.0625,0.052083333333333336,14,25,0.00043785904441642147,0.9166666666666666,86720.0,903.3333333333334,11,0.11458333333333333,253.33333333333334,2768.70542221875,1166.406071,11257.407247,12175.181667,1509.322885,12228.816508,0.21966834016799694,15,11,11,0,0,0.0,1.2,507,False,none,4,False,16,312,237,9,0,549,98,57096,451,14.151678211038762,18.30872130393982,30.118969440460205,31.363099575042725,169.20834159851074,0,326,326,0,5187946,22764,22764,102,0,8,86,163,0,0,198
20260726_formal4t4_reuse_intensive_Ideal_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,30793,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,1,5,2026072900,4a632ee249a4b0892ddd6aa321d675f7b0f8750ee8d79eebca2918c3d5ec5bb9,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_Adaptive_20260726:Ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,385.43833472859114,312,0.8094680053547263,673.4773804551322,0.4583333333333333,57,33.96954994870905,1.4119188785552979,222.144877910614,0.0,0.0,0.0,0.0,10,10,0.0,0.9166666666666666,121552.0,1266.1666666666667,1,0.010416666666666666,10.333333333333334,2200.61062109375,1013.632979,11450.967094,12126.441863,1789.38802,12456.599607,0.24906707857068502,44,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2,30794,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,1,5,2026072900,4a632ee249a4b0892ddd6aa321d675f7b0f8750ee8d79eebca2918c3d5ec5bb9,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_Adaptive_20260726:Adaptive@rho1.2:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,429.8535467684269,312,0.7258286045225594,603.8893989627694,0.23958333333333334,69,326.0131772462872,362.20690059661865,429.0607373714447,0.4270833333333333,0.4270833333333333,0.0625,0.0625,11,31,0.0005469301340860974,0.9166666666666666,84672.0,882.0,8,0.08333333333333333,243.33333333333334,2831.7784751770832,1031.25299,11800.654421,15021.253557,1390.143412,12812.289529,0.22333187831463366,23,8,8,0,0,0.0,1.2,561,False,none,4,False,16,312,233,9,0,545,90,56680,455,17.969048040884513,18.853517293930054,23.849666595458984,30.488837718963623,173.38954949378967,326,522,458,0,5217728,22764,22764,94,0,16,82,160,0,0,199
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2,30795,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,2,5,2026072900,aaa4d335b89a5310648de29a819d2bc60dc671be1240bcb5f0ed2565833e25b0,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Adaptive@rho1.2,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_Adaptive_20260726:Adaptive@rho1.2:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,414.38816764578223,312,0.7529172509256989,626.4271527701815,0.13541666666666666,68,314.6902302047786,328.97627997398376,397.6264753341675,0.5104166666666666,0.5104166666666666,0.020833333333333332,0.020833333333333332,8,26,0.00046040515653775324,0.9166666666666666,142064.0,1479.8333333333333,7,0.07291666666666667,179.66666666666666,2836.87071421875,1026.904458,11543.673224,11799.092356,1471.206805,12495.973081,0.23166684643867658,13,7,7,0,0,0.0,1.2,561,False,none,4,False,16,312,231,9,0,543,89,56472,454,17.15653939636386,17.226775407791138,26.845293283462524,32.87695789337158,188.8055453300476,392,458,456,0,5232478,22764,22764,93,0,17,76,170,0,0,192
20260726_formal4t4_reuse_intensive_Ideal_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,30796,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,2,5,2026072900,aaa4d335b89a5310648de29a819d2bc60dc671be1240bcb5f0ed2565833e25b0,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Adaptive@rho1.2,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_Adaptive_20260726:Ideal:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,352.7491047568619,312,0.8844813375644173,735.8884728535952,0.4270833333333333,61,36.495994923544714,0.01000213623046875,214.45670199394226,0.0,0.0,0.0,0.0,9,9,0.0,0.90625,171728.0,1788.8333333333333,0,0.0,0.0,2440.6001665833332,1049.291894,11419.787684,11987.491021,2016.230608,12761.189673,0.27214810386597454,41,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Ideal_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,30797,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,3,5,2026072900,45b23f80406195b432cd5a385354fb7377e83b5003cad1f346360c108f9248d3,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_Adaptive_20260726:Ideal:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,414.4770072270185,312,0.752755869589433,626.2928834984083,0.53125,60,24.15894324382146,0.0007750988006591797,234.1378514766693,0.0,0.0,0.0,0.010416666666666666,12,12,0.0,0.90625,131936.0,1374.3333333333333,1,0.010416666666666666,18.5,2082.315725833333,854.560614,11351.359272,11757.592846,1624.329032,12296.74829,0.23161719064290245,51,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2,30798,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,3,5,2026072900,45b23f80406195b432cd5a385354fb7377e83b5003cad1f346360c108f9248d3,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_Adaptive_20260726:Adaptive@rho1.2:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,474.85209572222084,312,0.6570466947723316,546.6628500505799,0.17708333333333334,63,310.10631347081016,405.5292477607727,472.23926877975464,0.3958333333333333,0.3958333333333333,0.052083333333333336,0.041666666666666664,12,17,0.00030326816041101757,0.9166666666666666,113232.0,1179.5,5,0.052083333333333336,163.5,2345.3570270625,1012.292731,11405.978158,11907.287768,1453.612908,12437.984056,0.20216821377610203,17,5,5,0,0,0.0,1.2,521,False,none,4,False,16,312,227,9,0,539,86,56056,453,8.395616593815031,0.0037081241607666016,32.15861797332764,36.32523036003113,175.28866004943848,0,458,456,0,5279888,23100,23016,90,0,25,48,197,0,0,183
20260726_formal4t4_reuse_intensive_Ideal_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,30799,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,4,5,2026072900,7d055674666dd627c2bda8eada2d7b8393bf64077473f7a40c3d18bf6266d006,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,Adaptive@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_Adaptive_20260726:Ideal:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,378.63409043475986,312,0.8240145509395405,685.5801063816976,0.4583333333333333,62,30.54651588393796,0.007715463638305664,213.6091787815094,0.0,0.0,0.0,0.03125,11,11,0.0,0.90625,108112.0,1126.1666666666667,3,0.03125,53.5,1667.8001537083333,716.14973,4938.848911,11415.684521,1439.922603,6818.715727,0.25354293875062783,44,3,3,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Adaptive@rho1.2_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Adaptive@rho1.2,30800,Adaptive,reuse_intensive,StaticSemantic plus EWMA-delay/queue-aware utility admission and dynamic tightening of the global useful-prefix set.,64,104,4,5,2026072900,7d055674666dd627c2bda8eada2d7b8393bf64077473f7a40c3d18bf6266d006,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,Adaptive@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_Adaptive_20260726:Adaptive@rho1.2:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,440.4688955619931,312,0.708336055380074,589.3355980762216,0.052083333333333336,76,367.1995884870228,381.1953299045563,427.30375385284424,0.7395833333333334,0.7395833333333334,0.020833333333333332,0.020833333333333332,10,25,0.00044188348416289593,0.9166666666666666,82208.0,856.3333333333334,4,0.041666666666666664,148.66666666666666,1996.0619828645833,1005.217738,10946.604647,12136.0483,1386.578855,12021.442155,0.21794955550156123,5,4,4,0,0,0.0,1.2,571,False,none,4,False,16,312,232,9,0,544,93,56576,451,17.145439589465106,15.738743305206299,27.100162506103516,34.21352291107178,143.07427406311035,458,458,456,0,5310090,23100,23100,97,0,7,88,163,0,0,193
