experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,49814,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,2026072900,cd0ec0ee072cb73221b0e2efb10aa02024c3bf020a5b21afc79d033ccbbccd1f,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,FullSync@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_FullSync_20260726:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,414.35234151687473,312,0.7529823503779901,626.4813155144878,0.4270833333333333,56,25.33546475853239,0.014655351638793945,143.39687180519104,0.0,0.0,0.0,0.0,16,16,0.0,0.9166666666666666,120496.0,1255.1666666666667,0,0.0,0.0,2206.69855509375,974.977798,11087.463238,11443.175844,1475.052326,12015.833722,0.2316868770393816,41,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_FullSync@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.2,49815,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,0,5,2026072900,cd0ec0ee072cb73221b0e2efb10aa02024c3bf020a5b21afc79d033ccbbccd1f,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,FullSync@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_FullSync_20260726:FullSync@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,462.69382004532963,312,0.6743120104120554,561.0275926628301,0.0,64,342.8310963176191,345.6647367477417,446.5019586086273,0.3958333333333333,0.3958333333333333,0.0,0.0,13,24,0.0004120879120879121,0.9166666666666666,63184.0,658.1666666666666,18,0.1875,421.6666666666667,3182.2115269270835,3147.990697,11171.964875,11394.966804,3669.880386,12122.17826,0.20748061858832473,0,18,18,0,0,0.0,1.2,522,False,none,4,False,0,312,248,9,0,560,95,58240,465,154.96487524383946,161.68452382087708,306.2070982456207,322.51493883132935,0.0,0,456,392,0,4826860,16842,16842,99,0,0,0,0,0,0,461
20260726_formal4t4_reuse_intensive_Ideal_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,49816,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,1,5,2026072900,4a632ee249a4b0892ddd6aa321d675f7b0f8750ee8d79eebca2918c3d5ec5bb9,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,FullSync@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_FullSync_20260726:Ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,370.9996116263792,312,0.8409712307575253,699.6880639902611,0.4583333333333333,57,32.673430037080195,1.4098312854766846,214.00182914733887,0.0,0.0,0.0,0.0,10,10,0.0,0.9166666666666666,121552.0,1266.1666666666667,1,0.010416666666666666,10.333333333333334,2124.7960889270835,1000.123512,10891.31613,11603.887121,1745.032792,11834.207877,0.25876037869462315,44,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_FullSync@rho1.2_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.2,49817,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,1,5,2026072900,4a632ee249a4b0892ddd6aa321d675f7b0f8750ee8d79eebca2918c3d5ec5bb9,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,FullSync@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_FullSync_20260726:FullSync@rho1.2:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,406.2781942691654,312,0.7679467035173818,638.9316573264616,0.010416666666666666,63,326.7095676036108,337.529581785202,405.52848196029663,0.4270833333333333,0.4270833333333333,0.010416666666666666,0.010416666666666666,11,21,0.00036914639291238925,0.9166666666666666,82624.0,860.6666666666666,9,0.09375,157.66666666666666,2422.4823321458334,1027.617891,11182.731884,11509.253043,1379.136993,12160.18377,0.23629129338996363,1,9,9,0,0,0.0,1.2,583,False,none,4,False,0,312,235,9,0,547,84,56888,463,171.13641124112266,171.78408885002136,292.7987470626831,299.5170781612396,0.0,458,458,456,0,4856030,16842,16842,88,0,0,0,0,0,0,460
20260726_formal4t4_reuse_intensive_FullSync@rho1.2_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.2,49818,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,2,5,2026072900,aaa4d335b89a5310648de29a819d2bc60dc671be1240bcb5f0ed2565833e25b0,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"FullSync@rho1.2,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_FullSync_20260726:FullSync@rho1.2:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,398.8610075376928,312,0.7822273777175767,650.8131782610237,0.0,69,301.0711674655693,316.5870087146759,391.25457882881165,0.46875,0.46875,0.0,0.0,10,21,0.00037118212669683256,0.9166666666666666,127728.0,1330.5,13,0.13541666666666666,231.0,2976.564627145833,1031.39902,11126.474756,11463.333478,1454.197457,12098.786602,0.24068534699002359,0,13,13,0,0,0.0,1.2,583,False,none,4,False,0,312,232,9,0,544,83,56576,461,175.61313327249275,183.5074760913849,292.5934908390045,306.52519392967224,0.0,522,456,458,0,4870712,16842,16842,87,0,0,0,0,0,0,459
20260726_formal4t4_reuse_intensive_Ideal_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,49819,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,2,5,2026072900,aaa4d335b89a5310648de29a819d2bc60dc671be1240bcb5f0ed2565833e25b0,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"FullSync@rho1.2,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_FullSync_20260726:Ideal:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,342.78493314795196,312,0.910191696976761,757.2794918846653,0.4270833333333333,61,35.560439918862016,0.009471893310546875,208.44762349128723,0.0,0.0,0.0,0.0,9,9,0.0,0.90625,171728.0,1788.8333333333333,0,0.0,0.0,2361.67344178125,977.553134,11216.960111,11506.797925,1876.677158,12250.419241,0.28005898368515725,41,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Ideal_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,49820,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,3,5,2026072900,45b23f80406195b432cd5a385354fb7377e83b5003cad1f346360c108f9248d3,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,FullSync@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_FullSync_20260726:Ideal:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,402.09916761610657,312,0.7759279927131649,645.5720899373532,0.53125,60,23.40853138367335,0.0007512569427490234,227.00564575195312,0.0,0.0,0.0,0.010416666666666666,12,12,0.0,0.90625,131936.0,1374.3333333333333,1,0.010416666666666666,18.5,2016.48310634375,850.884985,10926.565602,11389.821476,1629.011858,11819.3647,0.2387470746809738,51,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_FullSync@rho1.2_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.2,49821,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,3,5,2026072900,45b23f80406195b432cd5a385354fb7377e83b5003cad1f346360c108f9248d3,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,FullSync@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_FullSync_20260726:FullSync@rho1.2:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,474.530310600996,312,0.6574922466066494,547.0335491767323,0.010416666666666666,65,383.2272082915673,412.2341947555542,471.79656648635864,0.3854166666666667,0.3854166666666667,0.010416666666666666,0.010416666666666666,11,24,0.0004211117349803481,0.9166666666666666,94928.0,988.8333333333334,14,0.14583333333333334,455.0,2614.3565609062503,996.355603,11003.134212,11494.339064,1458.684166,11953.509086,0.20230530664819982,1,14,14,0,0,0.0,1.2,537,False,none,4,False,0,312,236,9,0,548,93,56992,455,157.1294051370313,151.50970339775085,300.5368947982788,316.32755279541016,0.0,458,392,456,0,4924124,16842,16842,97,0,0,0,0,0,0,452
20260726_formal4t4_reuse_intensive_Ideal_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,49822,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,4,5,2026072900,7d055674666dd627c2bda8eada2d7b8393bf64077473f7a40c3d18bf6266d006,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,FullSync@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_FullSync_20260726:Ideal:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,375.13784821517766,312,0.8316942731436631,691.9696352555277,0.4583333333333333,62,30.446540478737123,0.009152412414550781,213.548113822937,0.0,0.0,0.0,0.03125,11,11,0.0,0.90625,108112.0,1126.1666666666667,3,0.03125,53.5,1711.3154774479167,871.218424,5047.008396,11652.329349,1403.476842,6925.466848,0.2559059301980502,44,3,3,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_FullSync@rho1.2_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,FullSync@rho1.2,49823,FullSync,reuse_intensive,"All events forward in FIFO order; no suppression, replacement, deduplication, priority, or congestion admission.",64,104,4,5,2026072900,7d055674666dd627c2bda8eada2d7b8393bf64077473f7a40c3d18bf6266d006,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,FullSync@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_FullSync_20260726:FullSync@rho1.2:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,440.9351595584303,312,0.7075870300577731,588.7124090080672,0.0,70,362.4050047261374,380.75190782546997,427.7859106063843,0.4479166666666667,0.4479166666666667,0.0,0.0,10,23,0.0004020979020979021,0.9166666666666666,71392.0,743.6666666666666,14,0.14583333333333334,391.0,2158.8187659375,1022.057363,11014.028457,11314.773083,1356.756589,11938.934841,0.2177190861716225,0,14,14,0,0,0.0,1.2,576,False,none,4,False,0,312,238,9,0,550,92,57200,458,162.47834934877312,165.22365474700928,275.4849486351013,287.7041702270508,0.0,522,458,456,0,4955238,16842,16842,96,0,0,0,0,0,0,455
