experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,38261,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,2026072900,cd0ec0ee072cb73221b0e2efb10aa02024c3bf020a5b21afc79d033ccbbccd1f,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,LatestOnly@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_LatestOnly_20260726:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,426.45252911373973,312,0.7316171876114869,608.7055000927571,0.4270833333333333,56,25.9533714226314,0.008932828903198242,146.60654211044312,0.0,0.0,0.0,0.0,16,16,0.0,0.9166666666666666,120496.0,1255.1666666666667,0,0.0,0.0,2294.0132682500002,1036.001742,11441.161333,11804.199148,1540.402593,12366.313268,0.22511298080353442,41,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,LatestOnly@rho1.2,38262,LatestOnly,reuse_intensive,"For an unsent (owner,prefix) update retain only the latest one; no priority, deduplication, greedy score, or adaptive admission.",64,104,0,5,2026072900,cd0ec0ee072cb73221b0e2efb10aa02024c3bf020a5b21afc79d033ccbbccd1f,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,LatestOnly@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_LatestOnly_20260726:LatestOnly@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,471.7496942859143,312,0.6613676781969582,550.2579082598693,0.0,64,349.87343099340796,352.4516246318817,455.5573477745056,0.3958333333333333,0.3958333333333333,0.0,0.0,13,19,0.0003262362637362637,0.9166666666666666,63184.0,658.1666666666666,18,0.1875,421.6666666666667,3231.6912247708333,3113.305195,11415.850731,11741.523882,3617.369184,12393.077164,0.2034977471375256,0,18,18,0,0,0.0,1.2,507,False,none,4,False,0,312,248,9,0,560,95,58240,465,106.69697818115576,115.59060263633728,200.35708332061768,201.9514536857605,212.4524326324463,0,522,458,0,5045396,21924,21924,99,0,225,0,0,0,0,238
20260726_formal4t4_reuse_intensive_Ideal_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,38263,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,1,5,2026072900,4a632ee249a4b0892ddd6aa321d675f7b0f8750ee8d79eebca2918c3d5ec5bb9,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,LatestOnly@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_LatestOnly_20260726:Ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,381.7526316633448,312,0.8172831674809321,679.9795953441355,0.4583333333333333,57,33.53440873246444,1.4536051750183105,219.23883295059204,0.0,0.0,0.0,0.0,10,10,0.0,0.9166666666666666,121552.0,1266.1666666666667,1,0.010416666666666666,10.333333333333334,2162.176282135417,1025.098205,11266.36404,11710.660685,1797.13752,12222.121178,0.2514717438402868,44,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,LatestOnly@rho1.2,38264,LatestOnly,reuse_intensive,"For an unsent (owner,prefix) update retain only the latest one; no priority, deduplication, greedy score, or adaptive admission.",64,104,1,5,2026072900,4a632ee249a4b0892ddd6aa321d675f7b0f8750ee8d79eebca2918c3d5ec5bb9,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,LatestOnly@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_LatestOnly_20260726:LatestOnly@rho1.2:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,416.55172536242753,312,0.7490066203147745,623.1735081018924,0.010416666666666666,63,334.56348220507306,345.8624656200409,415.77764678001404,0.4270833333333333,0.4270833333333333,0.010416666666666666,0.010416666666666666,11,21,0.00036914639291238925,0.9166666666666666,82624.0,860.6666666666666,9,0.09375,157.66666666666666,2484.369410864583,1074.171668,11353.504762,11881.716536,1426.342696,12340.018734,0.2304635754814691,1,9,9,0,0,0.0,1.2,566,False,none,4,False,0,312,235,9,0,547,83,56888,464,136.82144755408876,139.61491680145264,220.08460688591003,225.4363555908203,161.52241396903992,456,458,392,0,5074242,21924,21924,87,0,231,0,0,0,0,229
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,LatestOnly@rho1.2,38265,LatestOnly,reuse_intensive,"For an unsent (owner,prefix) update retain only the latest one; no priority, deduplication, greedy score, or adaptive admission.",64,104,2,5,2026072900,aaa4d335b89a5310648de29a819d2bc60dc671be1240bcb5f0ed2565833e25b0,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"LatestOnly@rho1.2,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_LatestOnly_20260726:LatestOnly@rho1.2:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,414.12244302313775,312,0.753400365656029,626.8291042258161,0.010416666666666666,68,304.2018895499846,321.0006992816925,398.02704977989197,0.4583333333333333,0.4583333333333333,0.010416666666666666,0.010416666666666666,12,20,0.0003548112404200965,0.9166666666666666,128752.0,1341.1666666666667,15,0.15625,251.66666666666666,3151.5877852916665,1022.83953,11589.596263,14340.209567,1480.228801,12597.50917,0.231815497124932,1,15,15,0,0,0.0,1.2,566,False,none,4,False,0,312,230,9,0,542,84,56368,458,128.52962571490895,133.10100746154785,198.89175605773926,205.22115230560303,195.58011889457703,522,522,456,0,5089120,21924,21924,88,0,238,0,0,0,0,217
20260726_formal4t4_reuse_intensive_Ideal_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,38266,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,2,5,2026072900,aaa4d335b89a5310648de29a819d2bc60dc671be1240bcb5f0ed2565833e25b0,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"LatestOnly@rho1.2,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_LatestOnly_20260726:Ideal:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,350.1072954982519,312,0.8911553801127741,741.441276253828,0.4270833333333333,61,36.41523188450297,0.009263038635253906,214.56387639045715,0.0,0.0,0.0,0.0,9,9,0.0,0.90625,171728.0,1788.8333333333333,0,0.0,0.0,2378.6968609791666,997.847791,11154.811015,11754.385344,1968.793076,12301.096798,0.2742016554193151,41,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Ideal_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,38267,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,3,5,2026072900,45b23f80406195b432cd5a385354fb7377e83b5003cad1f346360c108f9248d3,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,LatestOnly@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_LatestOnly_20260726:Ideal:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,412.6307431384921,312,0.7561239805519843,629.0951518192509,0.53125,60,23.958547643820445,0.0007808208465576172,231.99236965179443,0.0,0.0,0.0,0.010416666666666666,12,12,0.0,0.90625,131936.0,1374.3333333333333,1,0.010416666666666666,18.5,2081.8211622916665,874.862597,11397.366916,12156.719503,1684.535141,12368.897973,0.2326535324775336,51,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,LatestOnly@rho1.2,38268,LatestOnly,reuse_intensive,"For an unsent (owner,prefix) update retain only the latest one; no priority, deduplication, greedy score, or adaptive admission.",64,104,3,5,2026072900,45b23f80406195b432cd5a385354fb7377e83b5003cad1f346360c108f9248d3,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,LatestOnly@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_LatestOnly_20260726:LatestOnly@rho1.2:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,446.7522240970284,312,0.6983736916600956,581.0469114611994,0.03125,66,368.13682081843865,393.3137845993042,444.18764758110046,0.3854166666666667,0.3854166666666667,0.010416666666666666,0.010416666666666666,14,21,0.0003684727681078046,0.9166666666666666,100048.0,1042.1666666666667,15,0.15625,444.0,2375.2886807291666,1002.574685,11081.618515,11526.210054,1453.66615,12068.031166,0.21488421281849093,3,15,15,0,0,0.0,1.2,524,False,none,4,False,0,312,236,9,0,548,88,56992,460,103.91316348232635,106.28091788291931,206.4200518131256,210.37964487075806,163.69066858291626,0,522,392,0,5140940,21966,21924,92,0,220,0,0,0,0,236
20260726_formal4t4_reuse_intensive_Ideal_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,38269,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,4,5,2026072900,7d055674666dd627c2bda8eada2d7b8393bf64077473f7a40c3d18bf6266d006,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,LatestOnly@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_LatestOnly_20260726:Ideal:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,381.1182616632432,312,0.8186435324258584,681.1114189783142,0.4583333333333333,62,30.96061546187247,0.007780313491821289,217.00702786445618,0.0,0.0,0.0,0.03125,11,11,0.0,0.90625,108112.0,1126.1666666666667,3,0.03125,53.5,1713.5279249479167,710.362464,4896.239004,11729.901748,1452.563812,6784.386153,0.2518903176694949,44,3,3,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_LatestOnly@rho1.2_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,LatestOnly@rho1.2,38270,LatestOnly,reuse_intensive,"For an unsent (owner,prefix) update retain only the latest one; no priority, deduplication, greedy score, or adaptive admission.",64,104,4,5,2026072900,7d055674666dd627c2bda8eada2d7b8393bf64077473f7a40c3d18bf6266d006,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,LatestOnly@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_LatestOnly_20260726:LatestOnly@rho1.2:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,441.4900599960238,312,0.7066976774127371,587.9724676073973,0.03125,72,362.8622773024771,384.26649284362793,427.9583477973938,0.4583333333333333,0.4583333333333333,0.010416666666666666,0.010416666666666666,11,19,0.0003346012961397577,0.9166666666666666,79584.0,829.0,14,0.14583333333333334,391.0,2057.328425458333,1022.079751,10786.073398,11698.259426,1377.499561,12008.48064,0.21744543920391915,3,14,14,0,0,0.0,1.2,567,False,none,4,False,0,312,234,9,0,546,89,56784,457,133.8007497988956,141.82206797599792,209.9744167327881,214.79539108276367,160.00144696235657,522,522,456,0,5171206,21966,21966,93,0,221,0,0,0,0,234
