experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,relay_cell_id,policy,workload,policy_definition,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,vllm_cached_tokens_per_request,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,throughput_requests_per_s,validation_attempt_count,validation_failure_count,fallback_count,incorrect_kv_reuse_count,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,background_rate,relay_max_inflight,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,forced_owner_resets,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_rate_limit,relay_drop_superseded,relay_drop_duplicate_holder,relay_drop_low_utility,relay_drop_queue_drop,relay_drop_expired,relay_max_queue
20260726_formal4t4_reuse_intensive_Ideal_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,41244,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,0,5,2026072900,cd0ec0ee072cb73221b0e2efb10aa02024c3bf020a5b21afc79d033ccbbccd1f,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_RateFIFO_20260726:Ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,408.8841847050935,312,0.7630522570224355,634.8594778426664,0.4270833333333333,56,24.738667858498438,0.012330293655395508,139.18633008003235,0.0,0.0,0.0,0.0,16,16,0.0,0.9166666666666666,120496.0,1255.1666666666667,0,0.0,0.0,2172.921854375,903.854716,10719.226904,11085.030454,1463.68403,11686.01073,0.23478530985305707,41,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.2_rep0,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.2,41245,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,0,5,2026072900,cd0ec0ee072cb73221b0e2efb10aa02024c3bf020a5b21afc79d033ccbbccd1f,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_RateFIFO_20260726:RateFIFO@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,462.4073937870562,312,0.6747296954851019,561.3751066436047,0.46875,61,155.09777361447695,56.33305263519287,419.9716453552246,0.1875,0.1875,0.07291666666666667,0.0625,13,53,0.0009454830883402312,0.9166666666666666,106912.0,1113.6666666666667,8,0.08333333333333333,213.83333333333334,3503.6349137604166,1450.56271,12174.683049,18783.524822,3696.106117,15238.084321,0.20760913707233902,45,8,8,0,0,0.0,1.2,529,False,none,4,False,0,312,227,9,0,539,71,56056,468,0.4244018339774978,0.0029420852661132812,0.004622220993041992,9.46898365020752,0.0,0,0,0,0,4971482,17430,17430,71,468,0,0,0,0,0,1
20260726_formal4t4_reuse_intensive_Ideal_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,41246,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,1,5,2026072900,4a632ee249a4b0892ddd6aa321d675f7b0f8750ee8d79eebca2918c3d5ec5bb9,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_RateFIFO_20260726:Ideal:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,379.3815241744742,312,0.82239112903272,684.2294193552231,0.4583333333333333,57,33.31015598564817,1.4518632888793945,217.66548824310303,0.0,0.0,0.0,0.0,10,10,0.0,0.9166666666666666,121552.0,1266.1666666666667,1,0.010416666666666666,10.333333333333334,2152.8651698020835,1082.709916,10752.015363,11775.812065,1787.075514,11680.027735,0.25304342431776,44,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.2_rep1,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.2,41247,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,1,5,2026072900,4a632ee249a4b0892ddd6aa321d675f7b0f8750ee8d79eebca2918c3d5ec5bb9,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_RateFIFO_20260726:RateFIFO@rho1.2:rep1,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,418.94804392103106,312,0.7447224173191508,619.6090512095334,0.5520833333333334,58,97.56242218099791,25.700583457946777,362.24024629592896,0.11458333333333333,0.11458333333333333,0.13541666666666666,0.09375,11,54,0.0009687141216991964,0.9166666666666666,112384.0,1170.6666666666667,10,0.10416666666666667,241.33333333333334,3663.5287039791665,1198.43839,11987.032598,13767.772541,2723.787997,14104.53598,0.22914535917512333,53,10,10,0,0,0.0,1.2,570,False,none,4,False,0,312,224,9,0,536,67,55744,469,0.004347171356428915,0.0029380321502685547,0.004675626754760742,0.005177497863769531,0.0,0,0,0,0,4984886,18186,18186,67,469,0,0,0,0,0,1
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.2_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.2,41248,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,2,5,2026072900,aaa4d335b89a5310648de29a819d2bc60dc671be1240bcb5f0ed2565833e25b0,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"RateFIFO@rho1.2,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_RateFIFO_20260726:RateFIFO@rho1.2:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,392.19217421207577,312,0.7955283672521413,661.8796015537815,0.4479166666666667,66,141.13021104624778,36.3569118976593,377.16012263298035,0.22916666666666666,0.22916666666666666,0.08333333333333333,0.0625,9,52,0.0009293680297397769,0.90625,154320.0,1607.5,8,0.08333333333333333,189.66666666666666,3297.53975728125,1023.222129,12183.660325,17258.001067,1984.51238,16764.135527,0.244777959154505,43,8,8,0,0,0.0,1.2,570,False,none,4,False,0,312,226,9,0,538,72,55952,466,2.172264572646883,0.0028905868530273438,14.94500207901001,17.643244743347168,0.0,0,0,0,0,4999630,18186,18186,72,466,0,0,0,0,0,1
20260726_formal4t4_reuse_intensive_Ideal_rep2,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,41249,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,2,5,2026072900,aaa4d335b89a5310648de29a819d2bc60dc671be1240bcb5f0ed2565833e25b0,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"RateFIFO@rho1.2,Ideal",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_RateFIFO_20260726:Ideal:rep2,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,351.56931085139513,312,0.8874494740295444,738.3579623925809,0.4270833333333333,61,36.28684611789516,0.010158538818359375,213.90683460235596,0.0,0.0,0.0,0.0,9,9,0.0,0.90625,171728.0,1788.8333333333333,0,0.0,0.0,2392.9324903645834,975.580579,11461.089267,11747.650129,1976.14995,12436.840387,0.2730613766244752,41,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_Ideal_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,41250,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,3,5,2026072900,45b23f80406195b432cd5a385354fb7377e83b5003cad1f346360c108f9248d3,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_RateFIFO_20260726:Ideal:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,406.9640263020992,312,0.7666525290576786,637.8549041759886,0.53125,60,23.67207848628362,0.0006103515625,229.8431966304779,0.0,0.0,0.0,0.010416666666666666,12,12,0.0,0.90625,131936.0,1374.3333333333333,1,0.010416666666666666,18.5,2041.4294864791666,888.095051,11089.842642,11474.520489,1589.526624,12023.835586,0.2358930858639011,51,1,1,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.2_rep3,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.2,41251,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,3,5,2026072900,45b23f80406195b432cd5a385354fb7377e83b5003cad1f346360c108f9248d3,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_RateFIFO_20260726:RateFIFO@rho1.2:rep3,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,486.93156258109957,312,0.6407471274734541,533.1016100579138,0.4375,64,198.7163853943348,39.64524865150452,470.1363534927368,0.2604166666666667,0.2604166666666667,0.09375,0.07291666666666667,14,55,0.0009922066676288064,0.9166666666666666,124624.0,1298.1666666666667,9,0.09375,285.3333333333333,3744.258613,1078.877467,16468.437586,22959.487936,2053.895524,18594.007051,0.19715296229952434,42,9,9,0,0,0.0,1.2,531,False,none,4,False,0,312,221,9,0,533,71,55432,462,0.5595568401712767,0.0029802322387695312,2.5135724544525146,10.254897356033325,0.0,0,0,0,0,5014506,20160,20034,71,462,0,0,0,0,0,1
20260726_formal4t4_reuse_intensive_Ideal_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,Ideal,41252,Ideal,reuse_intensive,Immediate dispatcher visibility; no signaling cost; upper bound.,64,104,4,5,2026072900,7d055674666dd627c2bda8eada2d7b8393bf64077473f7a40c3d18bf6266d006,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,0,"Ideal,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_RateFIFO_20260726:Ideal:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,377.74758808035403,312,0.8259483576997233,687.1890336061698,0.4583333333333333,62,30.778166963208108,0.008184671401977539,216.19319534301758,0.0,0.0,0.0,0.03125,11,11,0.0,0.90625,108112.0,1126.1666666666667,3,0.03125,53.5,1716.2569598333334,878.179898,4918.748692,11714.553206,1457.963199,6735.143516,0.2541379562152995,44,3,3,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260726_formal4t4_reuse_intensive_RateFIFO@rho1.2_rep4,formal4t4_live_vllm_real_kernel_link,hybrid_live_vllm_real_kernel_link,1dc24ecf1fda80b4a8d7295c5cf9267d60fa3a48,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,RateFIFO@rho1.2,41253,RateFIFO,reuse_intensive,FIFO plus only a token bucket at the same physical signaling rate; no KV-state semantics.,64,104,4,5,2026072900,7d055674666dd627c2bda8eada2d7b8393bf64077473f7a40c3d18bf6266d006,1.4,64,3,128,60,120,24,4,4,104544,4096,60.0,8,4,0.5,50.0,2.0,1,"Ideal,RateFIFO@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,formal4t4:reuse_intensive:churn_RateFIFO_20260726:RateFIFO@rho1.2:rep4,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,VALID,96,0.75,48,192,417.4575003096834,312,0.7473814694155654,621.8213825537504,0.6458333333333334,66,90.98541350436933,14.276084184646606,397.88103127479553,0.125,0.125,0.11458333333333333,0.09375,9,51,0.0009235115167318557,0.90625,110272.0,1148.6666666666667,9,0.09375,210.66666666666666,2281.228513052083,1058.798613,7529.943183,15064.645242,1947.116255,15554.063076,0.2299635290509432,62,9,9,0,0,0.0,1.2,572,False,none,4,False,0,312,219,9,0,531,70,55224,461,0.0030451978955950056,0.003017902374267578,0.004197597503662109,0.004458904266357422,0.0,0,0,0,0,5028498,21126,21126,70,461,0,0,0,0,0,1
