stage,policy,n_runs,source_view_false_positive_rate_mean,source_view_false_positive_rate_total,physical_false_positive_affinity_rate_mean,physical_false_positive_affinity_rate_total,stale_fallback_rate_mean,stale_fallback_rate_total,fallback_count_mean,fallback_count_total,validation_attempt_count_mean,validation_attempt_count_total,validation_failure_count_mean,validation_failure_count_total,incorrect_kv_reuse_count_mean,incorrect_kv_reuse_count_total,request_error_rate_mean,request_error_rate_total,tombstone_delay_p95_s_mean,tombstone_delay_p95_s_total,forced_owner_resets_mean,forced_owner_resets_total,scenario,operations,validation_success_count,fallback_count,unsafe_reuse_count,release_failures,blocked_evictions,eviction_attempts,validate_p95_us,status
baseline,Adaptive,40,0.0453125,1.8125,0.0,0.0,0.0,0.0,0.0,0.0,35.05,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
baseline,AgeCov-Greedy,40,0.050520833333333334,2.0208333333333335,0.0,0.0,0.0,0.0,0.0,0.0,17.55,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
baseline,FullSync,40,0.03854166666666667,1.5416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,15.675,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
baseline,Ideal,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
baseline,LatestOnly,40,0.04895833333333333,1.9583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,20.6,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
baseline,RateFIFO,40,0.065625,2.625,0.0,0.0,0.0,0.0,0.0,0.0,40.525,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
baseline,StaticSemantic,40,0.04140625,1.65625,0.0,0.0,0.0,0.0,0.0,0.0,31.825,1273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
churn,Adaptive,5,0.04375,0.21875,0.03958333333333333,0.19791666666666666,0.07291666666666667,0.3645833333333333,7.0,35.0,14.6,73.0,7.0,35.0,0.0,0.0,0.0,0.0,169.95327410697936,849.7663705348969,9.0,45.0,,,,,,,,,,
churn,FullSync,5,0.004166666666666667,0.020833333333333332,0.004166666666666667,0.020833333333333332,0.14166666666666666,0.7083333333333334,13.6,68.0,0.4,2.0,13.6,68.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,45.0,,,,,,,,,,
churn,Ideal,20,0.0,0.0,0.008333333333333333,0.16666666666666666,0.010416666666666666,0.20833333333333331,1.0,20.0,44.2,884.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
churn,LatestOnly,5,0.008333333333333333,0.041666666666666664,0.008333333333333333,0.041666666666666664,0.14791666666666667,0.7395833333333334,14.2,71.0,1.6,8.0,14.2,71.0,0.0,0.0,0.0,0.0,178.6494162082672,893.2470810413361,9.0,45.0,,,,,,,,,,
churn,RateFIFO,5,0.09999999999999999,0.5,0.07708333333333334,0.3854166666666667,0.09166666666666666,0.4583333333333333,8.8,44.0,49.0,245.0,8.8,44.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,45.0,,,,,,,,,,
native_owner_validation,gpu0,,,,,,,,,,,,,,,,,,,,,,valid_parallel,128,128,0,0,0,0,0,13826.103,Current
native_owner_validation,gpu0,,,,,,,,,,,,,,,,,,,,,,epoch_mismatch,32,0,32,0,0,0,0,1912.496,Current
native_owner_validation,gpu0,,,,,,,,,,,,,,,,,,,,,,sequence_mismatch,32,0,32,0,0,0,0,1927.575,Current
native_owner_validation,gpu0,,,,,,,,,,,,,,,,,,,,,,tenant_mismatch,32,0,32,0,0,0,0,1929.975,Current
native_owner_validation,gpu0,,,,,,,,,,,,,,,,,,,,,,model_revision_mismatch,32,0,32,0,0,0,0,3665.252,Current
native_owner_validation,gpu0,,,,,,,,,,,,,,,,,,,,,,lease_expired,32,0,32,0,0,0,0,3057.769,Current
native_owner_validation,gpu0,,,,,,,,,,,,,,,,,,,,,,evicted,32,0,32,0,0,0,0,3083.205,Current
native_owner_validation,gpu0,,,,,,,,,,,,,,,,,,,,,,restart_epoch,32,0,32,0,0,0,0,2949.506,Current
