workload,rep,rho,baseline,adaptive_experiment_id,baseline_experiment_id,trace_hash,delta_state_age_s_baseline_minus_adaptive,delta_p95_state_age_s_baseline_minus_adaptive,delta_view_missing_baseline_minus_adaptive,delta_cached_tokens_adaptive_minus_baseline,delta_ttft_ms_baseline_minus_adaptive,delta_p95_ttft_ms_baseline_minus_adaptive,delta_forwarded_bytes_baseline_minus_adaptive
original_compatible,0,0.5,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep0,20260726_formal4t4_original_compatible_FullSync@rho0.5_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,-0.12215825440227057,-0.04488945007324219,0.0,-22.0,-40.99050015624994,231.64489500000013,1352.0
original_compatible,0,0.5,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep0,20260726_formal4t4_original_compatible_RateFIFO@rho0.5_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,7.116164787955906,18.919594764709473,0.10416666666666666,127.83333333333326,168.59099378124995,994.9728149999999,-8008.0
original_compatible,0,0.5,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep0,20260726_formal4t4_original_compatible_LatestOnly@rho0.5_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,-0.7975287057351368,-2.448808193206787,0.0,-22.0,-126.66055678124997,102.34887100000014,520.0
original_compatible,0,0.5,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep0,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho0.5_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,4.312975392825361,1.0701327323913574,0.14583333333333331,165.33333333333326,-266.0380538541666,-284.99763299999995,1352.0
original_compatible,0,0.5,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep0,20260726_formal4t4_original_compatible_StaticSemantic@rho0.5_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,-0.5349741051162491,-2.6860992908477783,0.0,0.0,-43.29682371874992,-78.04505300000005,416.0
original_compatible,0,0.8,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep0,20260726_formal4t4_original_compatible_FullSync@rho0.8_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,10.78295788557633,12.285871028900146,0.22916666666666666,128.66666666666674,31.066300364583412,-154.7939040000001,5304.0
original_compatible,0,0.8,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep0,20260726_formal4t4_original_compatible_RateFIFO@rho0.8_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,-1.7146017896956298,6.191242694854736,-0.04166666666666666,-31.666666666666742,168.65006306250007,770.6011020000001,-4056.0
original_compatible,0,0.8,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep0,20260726_formal4t4_original_compatible_LatestOnly@rho0.8_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,2.7442894223807492,5.036205768585205,0.010416666666666685,0.0,125.94103715624999,281.196019,2184.0
original_compatible,0,0.8,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep0,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho0.8_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,10.231468383816704,12.339429378509521,0.19791666666666666,107.33333333333326,70.35327486458334,89.94694099999992,5304.0
original_compatible,0,0.8,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep0,20260726_formal4t4_original_compatible_StaticSemantic@rho0.8_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,1.7355211195738427,6.796645879745483,-0.03125,-20.5,167.78813558333343,394.47601499999996,2080.0
original_compatible,0,1.0,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep0,20260726_formal4t4_original_compatible_FullSync@rho1.0_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,12.836063751275987,17.726204872131348,0.21874999999999997,53.83333333333326,18.86959040625004,-60.712467999999944,6656.0
original_compatible,0,1.0,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep0,20260726_formal4t4_original_compatible_RateFIFO@rho1.0_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,-4.396028477212658,4.392048597335815,-0.08333333333333334,-96.33333333333348,-22.024743666666723,423.5984910000002,-2704.0
original_compatible,0,1.0,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep0,20260726_formal4t4_original_compatible_LatestOnly@rho1.0_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,11.219996500706326,13.69083046913147,0.20833333333333334,91.83333333333326,22.847381333333374,3.799558000000161,2496.0
original_compatible,0,1.0,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep0,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho1.0_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,7.468433711839758,5.6157355308532715,0.27083333333333326,123.5,-177.34311867708334,-457.5978789999999,6656.0
original_compatible,0,1.0,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep0,20260726_formal4t4_original_compatible_StaticSemantic@rho1.0_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,11.253910900889963,12.013164043426514,0.21874999999999997,70.33333333333326,1.5853332499999624,42.550363999999945,1352.0
original_compatible,0,1.2,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep0,20260726_formal4t4_original_compatible_FullSync@rho1.2_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,3.349892250005748,-4.933575868606567,0.17708333333333331,53.5,-320.8776994479166,-548.9077299999999,6344.0
original_compatible,0,1.2,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep0,20260726_formal4t4_original_compatible_RateFIFO@rho1.2_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,-7.688724320867788,-4.301760673522949,-0.15625,-139.16666666666674,-20.19596629166665,275.72921700000006,-2080.0
original_compatible,0,1.2,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep0,20260726_formal4t4_original_compatible_LatestOnly@rho1.2_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,2.140226578366928,-7.330291271209717,0.15625,16.5,-294.8982539062499,-768.109027,2184.0
original_compatible,0,1.2,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep0,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho1.2_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,10.688125423763108,7.834397554397583,0.15625,5.6666666666667425,-27.809792312500008,-46.78161799999998,7280.0
original_compatible,0,1.2,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep0,20260726_formal4t4_original_compatible_StaticSemantic@rho1.2_rep0,a0ff1cc8fb2fd919e76c5ad709b88e0e36ceb59c4b9d32b1c9523fe7b4413ad5,5.697941752447598,-1.887059211730957,0.15625,22.0,-175.4267865104166,-453.2265749999999,1352.0
original_compatible,1,0.5,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep1,20260726_formal4t4_original_compatible_FullSync@rho0.5_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,0.480958300478318,0.7444601058959961,0.0,-5.5,64.29103029166674,32.49876600000016,1144.0
original_compatible,1,0.5,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep1,20260726_formal4t4_original_compatible_RateFIFO@rho0.5_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,17.25538431195652,47.22549343109131,0.22916666666666666,263.0,313.31015073958326,714.9537989999999,-8216.0
original_compatible,1,0.5,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep1,20260726_formal4t4_original_compatible_LatestOnly@rho0.5_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,0.5857505728216728,1.6387124061584473,0.0,-5.5,51.51587084375001,66.42997800000012,312.0
original_compatible,1,0.5,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep1,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho0.5_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,-0.33249602247686916,-2.050539970397949,0.0,-5.5,-80.86567382291673,-171.397062,1144.0
original_compatible,1,0.5,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep1,20260726_formal4t4_original_compatible_StaticSemantic@rho0.5_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,-0.6568709121030922,-3.0471436977386475,0.0,0.0,-143.37069474999998,-418.19400799999994,-104.0
original_compatible,1,0.8,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep1,20260726_formal4t4_original_compatible_FullSync@rho0.8_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,20.323404171887567,17.768336296081543,0.32291666666666663,149.83333333333348,32.012009197916655,149.76380100000006,2912.0
original_compatible,1,0.8,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep1,20260726_formal4t4_original_compatible_RateFIFO@rho0.8_rep1,6dc158631113df819fc4f1ff3673d7dd7beddf14243bd3a36abfcaf842ef1192,10.621917661498575,25.45149540901184,0.14583333333333334,160.5,301.98268854166656,1013.206506,-6448.0
