workload,policy,rho,n_runs,upserts_generated_mean,source_upserts_sent_mean,source_tombstones_sent_mean,net_msgs_sent_mean,net_msgs_delivered_mean,net_wire_bytes_sent_mean,relay_forwarded_mean,relay_drop_rate_limit_mean,relay_drop_superseded_mean,relay_drop_duplicate_holder_mean,relay_drop_low_utility_mean,relay_drop_queue_drop_mean,relay_drop_expired_mean,forwarded_bytes_per_request,forwarded_frames_per_request
original_compatible,Adaptive,0.5,5,120.0,120.0,0.0,120.0,108.8,12480.0,108.8,0.0,8.4,2.8,0.0,0.0,0.0,117.86666666666666,1.1333333333333333
original_compatible,Adaptive,0.8,5,120.0,120.0,0.0,120.0,82.8,12480.0,82.8,0.0,17.2,5.6,14.4,0.0,0.0,89.7,0.8625
original_compatible,Adaptive,1.0,5,120.0,120.0,0.0,120.0,60.6,12480.0,60.6,0.0,26.8,5.0,27.6,0.0,0.0,65.65,0.63125
original_compatible,Adaptive,1.2,5,120.0,120.0,0.0,120.0,50.2,12480.0,50.2,0.0,30.8,8.0,31.0,0.0,0.0,54.38333333333333,0.5229166666666667
original_compatible,AgeCov-Greedy,0.5,5,120.0,120.0,0.0,120.0,120.0,12480.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.25
original_compatible,AgeCov-Greedy,0.8,5,120.0,120.0,0.0,120.0,120.0,12480.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.25
original_compatible,AgeCov-Greedy,1.0,5,120.0,120.0,0.0,120.0,117.4,12480.0,118.2,0.0,0.0,0.0,0.0,0.0,0.0,128.05,1.23125
original_compatible,AgeCov-Greedy,1.2,5,120.0,120.0,0.0,120.0,100.4,12480.0,102.8,0.0,0.0,0.0,0.0,0.0,0.0,111.36666666666666,1.0708333333333333
original_compatible,FullSync,0.5,5,120.0,120.0,0.0,120.0,120.0,12480.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.25
original_compatible,FullSync,0.8,5,120.0,120.0,0.0,120.0,120.0,12480.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.25
