prefix_length_tokens,prefix_length_actual_tokens,repetition,condition,order,ttft_ms,prompt_tokens,cached_tokens,generated_tokens,total_request_latency_ms,timestamp_utc,request_id,server_request_id
512,512,0,hit,hit_then_miss,45.218885,553,528,1,45.313806,2026-07-25T13:12:50.297949+00:00,pcache-6c97e5c19792429aaf6ae2bc40a71044,chatcmpl-e3f5f7d11f4b42d4b700f8ae2859a9ad
512,512,0,miss,hit_then_miss,147.631337,553,0,1,147.743522,2026-07-25T13:12:50.445801+00:00,pcache-984c78f668e8496fbc37a2dfa563d5f6,chatcmpl-e75bcc01746d4dce8125b05fe8926a28
512,512,1,miss,miss_then_hit,149.213053,553,0,1,149.324021,2026-07-25T13:12:51.408480+00:00,pcache-7b6b6c56b0064f9bb31448b987ad0955,chatcmpl-41039b48753a4fa7a953b5405887de2c
512,512,1,hit,miss_then_hit,43.993351,553,528,1,44.08314,2026-07-25T13:12:51.607644+00:00,pcache-22dc2b47c62749519b83a8c2c7a1e9d3,chatcmpl-3dfac36fa53943f485852e8a66ff22fc
512,512,2,miss,miss_then_hit,149.959057,553,0,1,149.996306,2026-07-25T13:12:52.564169+00:00,pcache-4f5725d0f55d43108a4baa62eced4d3a,chatcmpl-24484c52f0e64424a06b09461becfae6
512,512,2,hit,miss_then_hit,42.635491,553,528,1,42.699642,2026-07-25T13:12:52.763388+00:00,pcache-24c6ce0581544026abcd39dd3bb8f322,chatcmpl-c13941a3e5364f4392443a38a623cabf
512,512,3,hit,hit_then_miss,44.606847,553,528,1,44.698131,2026-07-25T13:12:53.765622+00:00,pcache-5d9607450a774a3ab6f72ea8d017da57,chatcmpl-d814205d559c4b3bafa2b501a0e6051d
512,512,3,miss,hit_then_miss,154.585551,553,0,1,154.673189,2026-07-25T13:12:53.920391+00:00,pcache-b1adcbf058b94021bb2c7fea7743f43e,chatcmpl-02898bdbef1b48f9b2881ca6087fff41
512,512,4,hit,hit_then_miss,43.343927,553,528,1,43.382395,2026-07-25T13:12:54.920762+00:00,pcache-081b0f05400147d683d473a6b56a4a43,chatcmpl-7773b33213cc45e28617f24f2d140224
512,512,4,miss,hit_then_miss,154.741759,553,0,1,154.831486,2026-07-25T13:12:55.075656+00:00,pcache-fafc30b111344cd78a8c17c7321858f2,chatcmpl-b1a82234a1d54cd0bb8e734b2b121b47
512,512,5,hit,hit_then_miss,42.690595,553,528,1,42.781466,2026-07-25T13:12:56.062443+00:00,pcache-35b482aff25549dd9ec7216cc1371136,chatcmpl-3c74c21917074142be6735e178aa5e8c
512,512,5,miss,hit_then_miss,157.112012,553,0,1,157.172702,2026-07-25T13:12:56.219712+00:00,pcache-0859941e3443435d8cf419c6e4c13f9a,chatcmpl-a6d4c8cdfc0546338b3e334faca7e9c9
512,512,6,miss,miss_then_hit,135.328151,553,0,1,135.423392,2026-07-25T13:12:57.160256+00:00,pcache-4d09bccfa50c45609f0614118ebba118,chatcmpl-2f4ce39e2d2c4ae39f5482d244a16451
512,512,6,hit,miss_then_hit,43.346287,553,528,1,43.461971,2026-07-25T13:12:57.370845+00:00,pcache-e0560984e9384367a416ec0f521e8b32,chatcmpl-e459b7de99bb493aac1916bd8ecbb404
512,512,7,miss,miss_then_hit,138.023789,553,0,1,138.077186,2026-07-25T13:12:58.316730+00:00,pcache-8d8baf9d6f824267be84c0f6de7da20f,chatcmpl-50a79a83ac3644ed9d8cb6bacccca1ae
512,512,7,hit,miss_then_hit,41.587551,553,528,1,41.677798,2026-07-25T13:12:58.507152+00:00,pcache-ea50a19c96194bd3ad4200e54ad54583,chatcmpl-f28c39a3d5ed4bc4b5b0db4153a17ba5
512,512,8,miss,miss_then_hit,148.246202,553,0,1,148.331123,2026-07-25T13:12:59.461689+00:00,pcache-f35afca4232047b88a8592ab15246e84,chatcmpl-83b80583b80d41da95e39e9de5e43f06
