cell_id,policy,workload,view,freq_hz,rep,ttft_p50,ttft_p95,ttft_p99,workflow_completion_p50,workflow_completion_p95,workflow_completion_p99,cache_hit_rate,same_instance_step_ratio,n_total_requests,n_failed_requests
coarse_chatbot_coarse_f50_r1,coarse,chatbot,coarse,50.0,1,119.657,289.4125,549.5405,2932.6836,7422.8706,13036.4189,0.9578,0,600,0
sketch_chatbot_sketch_f1_r2,sketch,chatbot,sketch,1.0,2,110.3154,456.9596,638.9486,2781.3489,11069.9273,18704.2006,0.959,0,600,0
rich_prefix_locality_sketch_f10_r1,rich,prefix,locality,10.0,1,107.1453,237.4262,323.369,19000.705,24212.6511,24926.9545,0.9821,0.4167,240,0
rich_agentic_rich_f10_r2,rich,agentic,rich,10.0,2,88.4627,252.0938,318.5009,12373.6901,14520.7806,14520.7806,0.6138,0.3542,64,0
round-robin_chatbot_none_f10_r1,round-robin,chatbot,none,10.0,1,131.4385,356.5131,479.2033,3063.5018,10538.2593,12859.0849,0.9476,0,600,0
rich_chatbot_rich_f1_r1,rich,chatbot,rich,1.0,1,108.8197,389.5198,524.4062,2873.51,10748.7629,19575.9067,0.9564,0,600,0
coarse_agentic_sketch_f10_r1,coarse,agentic,sketch,10.0,1,77.358,188.8586,226.5424,16753.6493,17889.248,17889.248,0.6145,0.5417,64,0
round-robin_agentic_none_f10_r1,round-robin,agentic,none,10.0,1,86.0617,203.6924,309.9457,9514.1212,12068.3096,12068.3096,0.1634,0.2292,64,0
coarse_chatbot_coarse_f1_r1,coarse,chatbot,coarse,1.0,1,110.7558,394.3513,547.0614,3002.4843,10388.111,15592.0176,0.9545,0,600,0
sketch_agentic_sketch_f10_r2,sketch,agentic,sketch,10.0,2,77.359,201.4613,260.6022,11237.9472,14891.462,14891.462,0.7636,0.3333,64,0
round-robin_chatbot_none_f1_r2,round-robin,chatbot,none,1.0,2,124.7387,401.3716,572.4209,2961.5266,11243.8144,14601.4849,0.9359,0,600,0
coarse_prefix_locality_sketch_f10_r1,coarse,prefix,locality,10.0,1,105.5564,244.8855,314.0552,20386.0888,23837.9868,23899.1565,0.9773,0.3056,240,0
rich_prefix_locality_sketch_f10_r2,rich,prefix,locality,10.0,2,104.8596,226.4924,281.5566,18697.6998,23263.0092,23996.2148,0.9858,0.3778,240,0
sketch_chatbot_sketch_f10_r1,sketch,chatbot,sketch,10.0,1,123.5443,310.8691,517.0094,3041.8105,8934.9975,14711.5967,0.9596,0,600,0
rich_bursty_sketch_f10_r2,rich,bursty,sketch,10.0,2,64.741,134.3359,219.2557,11006.5204,12922.0535,13409.5833,0.8707,0.375,96,0
rich_chatbot_rich_f50_r1,rich,chatbot,rich,50.0,1,117.5056,285.3132,499.4823,2789.6716,7777.924,12990.1978,0.9594,0,600,0
rich_chatbot_rich_f50_r2,rich,chatbot,rich,50.0,2,120.0212,286.8247,554.0521,2929.3948,8210.3311,13323.9385,0.9597,0,600,0
rich_agentic_rich_f50_r2,rich,agentic,rich,50.0,2,93.7656,298.1689,380.6575,12942.8271,14990.8607,14990.8607,0.5881,0.3125,64,0
round-robin_chatbot_none_f50_r2,round-robin,chatbot,none,50.0,2,123.7191,398.6009,502.4105,2674.7952,12155.0586,14990.2824,0.9565,0,600,0
rich_chatbot_rich_f10_r2,rich,chatbot,rich,10.0,2,123.8726,263.8333,669.2243,3413.5099,7897.7504,21063.43,0.9584,0,600,0
coarse_agentic_coarse_f50_r2,coarse,agentic,coarse,50.0,2,82.6073,273.4412,302.9991,10588.1855,14092.9232,14092.9232,0.4861,0.3542,64,0
