rep,cell_id,policy,bps_tier,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,exact_fifo@low,exact_fifo,low,0.8228105906313645,-95.79645240624995,-54.92672500000003,0.0
0,exact_fifo@med,exact_fifo,med,0.8228105906313645,-102.32082043749995,-77.44568800000002,0.0
0,exact_fifo@high,exact_fifo,high,0.8228105906313645,-90.48404643749996,-37.63556700000004,0.0
0,local_topk@low,local_topk,low,0.8228105906313645,-105.57335871875,-92.83098400000006,0.0
0,local_topk@med,local_topk,med,0.8228105906313645,-111.73144378124994,-73.54920600000003,0.0
0,local_topk@high,local_topk,high,0.8228105906313645,-114.24952653125001,-114.71013900000003,0.0
0,agg_static@low,agg_static,low,0.8228105906313645,-122.96817340625,-112.54261099999997,0.0
0,agg_static@med,agg_static,med,0.8228105906313645,-120.29447065624993,-140.830107,0.0
0,agg_static@high,agg_static,high,0.8228105906313645,-130.99773440624995,-129.82137799999998,0.0
0,agg_adaptive@low,agg_adaptive,low,0.8228105906313645,-126.41024781249996,-133.837271,0.0
0,agg_adaptive@med,agg_adaptive,med,0.8228105906313645,-108.12871690625002,-96.953801,0.0
0,agg_adaptive@high,agg_adaptive,high,0.8228105906313645,-100.19159128125,-46.62363400000004,0.0
