rep,cell_id,policy,bps_tier,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,agg_adaptive@med,agg_adaptive,med,0.7497812773403325,202.43782275000012,-63.66852599999993,0.0
0,exact_fifo@high,exact_fifo,high,0.7497812773403325,-359.93156012500003,-1614.356174,0.0
0,exact_fifo@low,exact_fifo,low,0.7497812773403325,-391.5716983437501,-1504.1085390000003,0.0
0,agg_static@high,agg_static,high,0.7497812773403325,-372.15696321875,-1774.8324310000003,0.0
0,local_topk@med,local_topk,med,0.7497812773403325,-404.66838943749985,-1882.9105170000003,0.0
0,local_topk@low,local_topk,low,0.7497812773403325,-329.80510721875,-1387.9133890000003,0.0
0,agg_adaptive@low,agg_adaptive,low,0.7497812773403325,-401.8497259062499,-1443.555758,0.0
0,agg_static@low,agg_static,low,0.7497812773403325,-377.3907365625,-1675.7820070000002,0.0
0,agg_adaptive@high,agg_adaptive,high,0.7497812773403325,-455.35302325,-1460.547963,0.0
0,exact_fifo@med,exact_fifo,med,0.7497812773403325,-394.70485640625,-1707.20284,0.0
0,local_topk@high,local_topk,high,0.7497812773403325,-354.54472987500003,-1757.8451290000003,0.0
0,agg_static@med,agg_static,med,0.7497812773403325,-417.5266355937499,-1595.4510300000002,0.0
