experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,policy,wire_frame_bytes,wire_bytes_per_msg_assumed,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,max_queue_relay,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,overlap_fraction,overlap_seed_prefixes,overlap_seed_requests,cell_active_s,upserts_generated,upserts_per_s,offered_wire_bit_per_s,affinity_selection_rate,dispatch_state_age_defined_count,dispatch_state_age_mean_s,dispatch_state_age_p50_s,dispatch_state_age_p95_s,dispatcher_view_missing_at_dispatch_rate,source_view_false_negative_rate,source_view_false_positive_rate,physical_false_positive_affinity_rate,source_unique_prefixes_at_end,dispatcher_unique_prefixes_at_end,dispatcher_unique_prefixes_per_wire_byte,vllm_cached_token_rate,vllm_cached_tokens_total,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,retried_request_count,request_error_rate,rho,sig_bit_per_s,background_traffic,source_local_topk,gateway_global_topk,source_upserts_sent,source_tombstones_sent,source_suppressed_upserts,net_msgs_sent,net_msgs_delivered,net_wire_bytes_sent,net_undelivered_at_drain_end,ad_delivery_delay_mean_s,ad_delivery_delay_p50_s,ad_delivery_delay_p95_s,ad_delivery_delay_p99_s,tombstone_delay_p95_s,tc_sig_backlog_bytes_before,tc_sig_backlog_bytes_mid,tc_sig_backlog_bytes_after,tc_sig_dropped_after,tc_class110_sent_bytes_after,tc_class120_sent_bytes_after,tc_class120_sent_bytes_before,relay_forwarded,relay_drop_superseded,relay_drop_replica_cap,relay_drop_low_utility,relay_drop_backlog_cap,relay_drop_global_topk,relay_max_queue,relay_ewma_dq_s
20260723_shared_link_live_v3_ideal_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,fe93be1c637430b0995c83f7084fb8fc9a4ccce5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,3x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,ideal,ideal,64,104,0,5,20260723,753341c0b7e2784a6a7d9bb2b2c6a9088f7cf0ab082de417cc614086785c607e,1.2,32,3,64,36,72,18,3,4,50000,200,60.0,8,4,0.5,50.0,2.0,0,"ideal,exact_fifo@rho1.2,agg_static@rho1.2,agg_full@rho0.8,agg_static@rho0.5,agg_static@rho0.8,exact_fifo@rho0.5,exact_fifo@rho0.8,agg_full@rho0.5,agg_full@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:formal_core_crossover_20260724:ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,54,0.0,0,0,58.81233671307564,72,1.2242329419975653,1018.5618077419742,0.4074074074074074,35,4.152568224498204,1.774848461151123,18.483182430267334,0.0,0.0,0.0,0.0,31,31,0.0,1.0,84384.0,0,0.0,146.07407407407408,1303.771122462963,1126.803056,2736.383508,1715.13445,3541.519662,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260723_shared_link_live_v3_exact_fifo@rho1.2_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,fe93be1c637430b0995c83f7084fb8fc9a4ccce5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,3x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,exact_fifo@rho1.2,exact_fifo,64,104,0,5,20260723,753341c0b7e2784a6a7d9bb2b2c6a9088f7cf0ab082de417cc614086785c607e,1.2,32,3,64,36,72,18,3,4,50000,200,60.0,8,4,0.5,50.0,2.0,1,"ideal,exact_fifo@rho1.2,agg_static@rho1.2,agg_full@rho0.8,agg_static@rho0.5,agg_static@rho0.8,exact_fifo@rho0.5,exact_fifo@rho0.8,agg_full@rho0.5,agg_full@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:formal_core_crossover_20260724:exact_fifo@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,54,0.0,0,0,65.18744139559567,72,1.1045072249892693,918.9500111910721,0.2222222222222222,35,33.92414077350072,36.78443241119385,58.854734897613525,0.4074074074074074,0.4074074074074074,0.07407407407407407,0.0,31,20,0.002670940170940171,1.0,64800.0,0,0.0,35.25925925925926,1580.1753584444446,1907.860805,2778.400163,2211.256926,3151.038986,0,0.0,1.2,848,False,False,0,72,0,0,72,45,7488,27,22.57034313943651,25.160799264907837,48.1080596446991,51.003673791885376,0.0,0,1846,2740,0,90188,59597,53905,,,,,,,,
20260723_shared_link_live_v3_agg_static@rho1.2_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,fe93be1c637430b0995c83f7084fb8fc9a4ccce5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,3x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho1.2,agg_static,64,104,0,5,20260723,753341c0b7e2784a6a7d9bb2b2c6a9088f7cf0ab082de417cc614086785c607e,1.2,32,3,64,36,72,18,3,4,50000,200,60.0,8,4,0.5,50.0,2.0,2,"ideal,exact_fifo@rho1.2,agg_static@rho1.2,agg_full@rho0.8,agg_static@rho0.5,agg_static@rho0.8,exact_fifo@rho0.5,exact_fifo@rho0.8,agg_full@rho0.5,agg_full@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:formal_core_crossover_20260724:agg_static@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,54,0.0,0,0,68.39374412689358,72,1.0527278615777431,875.8695808326822,0.0,35,66.32544703483582,66.26425862312317,88.43844771385193,0.6481481481481481,0.6481481481481481,0.0,0.0,31,18,0.002403846153846154,1.0,54560.0,0,0.0,0.0,1630.9944196111112,1839.240253,2877.982824,2140.559892,3262.008062,0,0.0,1.2,848,False,False,16,72,0,0,72,25,7488,47,48.813055458068845,49.22009491920471,54.90698289871216,54.907004833221436,0.0,2740,1764,2098,0,96266,65903,59663,,,,,,,,
20260723_shared_link_live_v3_agg_full@rho0.8_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,fe93be1c637430b0995c83f7084fb8fc9a4ccce5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,3x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho0.8,agg_full,64,104,0,5,20260723,753341c0b7e2784a6a7d9bb2b2c6a9088f7cf0ab082de417cc614086785c607e,1.2,32,3,64,36,72,18,3,4,50000,200,60.0,8,4,0.5,50.0,2.0,3,"ideal,exact_fifo@rho1.2,agg_static@rho1.2,agg_full@rho0.8,agg_static@rho0.5,agg_static@rho0.8,exact_fifo@rho0.5,exact_fifo@rho0.8,agg_full@rho0.5,agg_full@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:formal_core_crossover_20260724:agg_full@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,54,0.0,0,0,67.36480661295354,72,1.0688073434794831,889.2477097749301,0.018518518518518517,35,50.355066544669015,51.827959060668945,74.10545325279236,0.6296296296296297,0.6296296296296297,0.0,0.0,31,20,0.002670940170940171,1.0,59184.0,0,0.0,0.0,1565.4444640555555,1820.977608,2983.101183,2109.039623,3385.307184,0,0.0,0.8,1273,False,False,16,72,0,0,72,38,7488,34,24.80959768044321,24.717324256896973,30.843113899230957,34.23556995391846,0.0,2098,2030,1892,0,102826,71819,65903,49,2,7,14,0,0,17,27.757
20260723_shared_link_live_v3_agg_static@rho0.5_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,fe93be1c637430b0995c83f7084fb8fc9a4ccce5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,3x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho0.5,agg_static,64,104,0,5,20260723,753341c0b7e2784a6a7d9bb2b2c6a9088f7cf0ab082de417cc614086785c607e,1.2,32,3,64,36,72,18,3,4,50000,200,60.0,8,4,0.5,50.0,2.0,4,"ideal,exact_fifo@rho1.2,agg_static@rho1.2,agg_full@rho0.8,agg_static@rho0.5,agg_static@rho0.8,exact_fifo@rho0.5,exact_fifo@rho0.8,agg_full@rho0.5,agg_full@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:formal_core_crossover_20260724:agg_static@rho0.5:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,54,0.0,0,0,66.24190976284444,72,1.0869251846417223,904.3217536219129,0.3148148148148148,35,16.01925531114851,15.127207040786743,40.40162420272827,0.2037037037037037,0.2037037037037037,0.05555555555555555,0.0,31,31,0.004139957264957265,1.0,70048.0,0,0.0,98.37037037037037,1501.1459522777777,1821.783942,2507.306888,2221.093503,2863.244058,0,0.0,0.5,2037,False,False,16,72,0,0,72,68,7488,4,5.341346979141235,3.944077253341675,14.272667646408081,14.521929264068604,0.0,1892,456,0,0,114568,76897,71819,68,1,3,0,0,0,14,1.914
20260723_shared_link_live_v3_agg_static@rho0.8_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,fe93be1c637430b0995c83f7084fb8fc9a4ccce5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,3x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_static@rho0.8,agg_static,64,104,0,5,20260723,753341c0b7e2784a6a7d9bb2b2c6a9088f7cf0ab082de417cc614086785c607e,1.2,32,3,64,36,72,18,3,4,50000,200,60.0,8,4,0.5,50.0,2.0,5,"ideal,exact_fifo@rho1.2,agg_static@rho1.2,agg_full@rho0.8,agg_static@rho0.5,agg_static@rho0.8,exact_fifo@rho0.5,exact_fifo@rho0.8,agg_full@rho0.5,agg_full@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:formal_core_crossover_20260724:agg_static@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,54,0.0,0,0,69.40479199402034,72,1.0373923461394892,863.110431988055,0.35185185185185186,35,26.860508496420724,20.684001922607422,51.92025279998779,0.25925925925925924,0.25925925925925924,0.12962962962962962,0.0,31,27,0.003605769230769231,1.0,70496.0,0,0.0,98.66666666666667,1603.1150454074075,1842.777682,3014.270869,2206.561001,3404.375548,0,0.0,0.8,1273,False,False,16,72,0,0,72,59,7488,13,10.73653907695059,10.729104280471802,17.405023097991943,17.57979440689087,0.0,0,1358,1428,0,122566,81843,76897,71,0,1,0,0,0,2,13.441
20260723_shared_link_live_v3_exact_fifo@rho0.5_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,fe93be1c637430b0995c83f7084fb8fc9a4ccce5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,3x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,exact_fifo@rho0.5,exact_fifo,64,104,0,5,20260723,753341c0b7e2784a6a7d9bb2b2c6a9088f7cf0ab082de417cc614086785c607e,1.2,32,3,64,36,72,18,3,4,50000,200,60.0,8,4,0.5,50.0,2.0,6,"ideal,exact_fifo@rho1.2,agg_static@rho1.2,agg_full@rho0.8,agg_static@rho0.5,agg_static@rho0.8,exact_fifo@rho0.5,exact_fifo@rho0.8,agg_full@rho0.5,agg_full@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:formal_core_crossover_20260724:exact_fifo@rho0.5:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,54,0.0,0,0,69.940854257904,72,1.029441243804415,856.4951148452733,0.35185185185185186,35,12.823896925789969,8.28568696975708,36.0685498714447,0.07407407407407407,0.07407407407407407,0.05555555555555555,0.0,31,31,0.004139957264957265,1.0,74592.0,0,0.0,116.14814814814815,1731.8125305740741,1930.009272,3284.199928,2270.633634,4000.679949,0,0.0,0.5,2037,False,False,0,72,0,0,72,72,7488,0,3.21209094259474,2.8601999282836914,8.035815238952637,8.601637840270996,0.0,1428,390,0,0,135156,86789,81843,72,0,0,0,0,0,9,0.031
20260723_shared_link_live_v3_exact_fifo@rho0.8_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,fe93be1c637430b0995c83f7084fb8fc9a4ccce5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,3x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,exact_fifo@rho0.8,exact_fifo,64,104,0,5,20260723,753341c0b7e2784a6a7d9bb2b2c6a9088f7cf0ab082de417cc614086785c607e,1.2,32,3,64,36,72,18,3,4,50000,200,60.0,8,4,0.5,50.0,2.0,7,"ideal,exact_fifo@rho1.2,agg_static@rho1.2,agg_full@rho0.8,agg_static@rho0.5,agg_static@rho0.8,exact_fifo@rho0.5,exact_fifo@rho0.8,agg_full@rho0.5,agg_full@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:formal_core_crossover_20260724:exact_fifo@rho0.8:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,54,0.0,0,0,68.70260779652745,72,1.0479951534480068,871.9319676687415,0.3148148148148148,35,28.003323997770035,21.609583377838135,57.021097898483276,0.2777777777777778,0.2777777777777778,0.1111111111111111,0.0,31,28,0.0037393162393162395,1.0,67920.0,0,0.0,89.77777777777777,1669.2899168703705,1901.889591,3157.224782,2280.866839,3823.347802,0,0.0,0.8,1273,False,False,0,72,0,0,72,63,7488,9,12.465250874322559,13.154511213302612,22.133816242218018,23.115763902664185,0.0,0,1626,1170,0,143960,91735,86789,72,0,0,0,0,0,2,13.664
20260723_shared_link_live_v3_agg_full@rho0.5_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,fe93be1c637430b0995c83f7084fb8fc9a4ccce5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,3x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho0.5,agg_full,64,104,0,5,20260723,753341c0b7e2784a6a7d9bb2b2c6a9088f7cf0ab082de417cc614086785c607e,1.2,32,3,64,36,72,18,3,4,50000,200,60.0,8,4,0.5,50.0,2.0,8,"ideal,exact_fifo@rho1.2,agg_static@rho1.2,agg_full@rho0.8,agg_static@rho0.5,agg_static@rho0.8,exact_fifo@rho0.5,exact_fifo@rho0.8,agg_full@rho0.5,agg_full@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:formal_core_crossover_20260724:agg_full@rho0.5:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,54,0.0,0,0,66.85358526278287,72,1.0769803850756545,896.0476803829446,0.3148148148148148,35,14.89836209842137,9.75742483139038,40.856425523757935,0.12962962962962962,0.12962962962962962,0.07407407407407407,0.0,31,31,0.004139957264957265,1.0,76176.0,0,0.0,98.66666666666667,1541.0937103148149,1875.732535,2538.175201,2303.376697,3163.310452,0,0.0,0.5,2037,False,False,16,72,0,0,72,71,7488,1,4.571549422304395,4.092499732971191,11.773514986038208,12.304231882095337,0.0,1170,456,0,0,155796,96681,91735,71,0,1,0,0,0,12,1.921
20260723_shared_link_live_v3_agg_full@rho1.2_rep0,shared_link_live_v3,hybrid_live_vllm_real_kernel_link,fe93be1c637430b0995c83f7084fb8fc9a4ccce5,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,3x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU on host; docker gateway+tc state channel,agg_full@rho1.2,agg_full,64,104,0,5,20260723,753341c0b7e2784a6a7d9bb2b2c6a9088f7cf0ab082de417cc614086785c607e,1.2,32,3,64,36,72,18,3,4,50000,200,60.0,8,4,0.5,50.0,2.0,9,"ideal,exact_fifo@rho1.2,agg_static@rho1.2,agg_full@rho0.8,agg_static@rho0.5,agg_static@rho0.8,exact_fifo@rho0.5,exact_fifo@rho0.8,agg_full@rho0.5,agg_full@rho1.2",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v3:formal_core_crossover_20260724:agg_full@rho1.2:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; the state channel is real kernel networking (docker + tc HTB).,Current,54,0.0,0,0,71.01045768894255,72,1.0139351631191011,843.5940557150922,0.12962962962962962,35,40.198778411320276,41.66374588012695,64.76867461204529,0.5185185185185185,0.5185185185185185,0.037037037037037035,0.0,31,20,0.002670940170940171,1.0,61696.0,0,0.0,8.88888888888889,1655.9572262592592,1845.807321,3022.23866,2219.447476,3429.178141,0,0.0,1.2,848,False,False,16,72,0,0,72,43,7488,29,29.524832986121954,32.673577070236206,47.73874878883362,47.73911118507385,0.0,0,1338,1290,0,161272,102211,96681,,,,,,,,
