rep,cell_id,policy,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,exact_fifo@rho1.3,exact_fifo,1.3,0.5056135513098287,178.03587948611096,105.52980600000001,0.0
0,agg_full@rho1.3,agg_full,1.3,0.4297813669489856,149.60314294444436,-125.12523599999986,0.0
0,exact_fifo@rho0.3,exact_fifo,0.3,0.8729564703565097,153.60387368055547,171.25765300000012,0.0
0,exact_fifo@rho0.8,exact_fifo,0.8,0.7023832972227694,178.1728148055555,139.22319000000016,0.0
0,agg_full@rho0.3,agg_full,0.3,0.8729564703565097,156.46837329166658,178.00638500000014,0.0
0,agg_full@rho0.8,agg_full,0.8,0.809730155603703,354.90426672222213,212.053899,0.0
1,agg_full@rho0.3,agg_full,0.3,0.9675155925155925,-32.78566736111111,53.69311799999991,0.0
1,agg_full@rho1.3,agg_full,1.3,0.46673596673596673,135.04019277777775,-22.11227800000006,0.0
1,exact_fifo@rho0.3,exact_fifo,0.3,0.9675155925155925,31.529813041666785,59.01136500000007,0.0
1,agg_full@rho0.8,agg_full,0.8,0.6507276507276507,181.81255187500005,130.37245800000005,0.0
1,exact_fifo@rho1.3,exact_fifo,1.3,0.5337837837837838,167.60943223611116,153.619958,0.0
1,exact_fifo@rho0.8,exact_fifo,0.8,0.6512474012474012,188.26659018055557,243.97655499999996,0.0
