rep,cell_id,policy,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,exact_fifo@rho0.8,exact_fifo,0.8,0.8048919226393629,168.93910674074095,142.08087799999976,0.0
0,exact_fifo@rho0.8+bg,exact_fifo,0.8,0.7315130830489193,295.57829155555555,356.77036099999987,0.0
1,exact_fifo@rho0.8+bg,exact_fifo,0.8,0.8310972688068998,341.9948931296299,1199.716504,0.0
1,exact_fifo@rho0.8,exact_fifo,0.8,0.82319118351701,412.2141727962967,1233.9536990000006,0.0
2,exact_fifo@rho0.8+bg,exact_fifo,0.8,0.7651772705196698,123.46941246296319,-591.2426589999995,0.0
2,exact_fifo@rho0.8,exact_fifo,0.8,0.7654201068479844,145.7544997407408,-488.5524459999997,0.0
3,exact_fifo@rho0.8+bg,exact_fifo,0.8,0.6154766653370563,683.0552546481481,1690.2293639999998,0.0
3,exact_fifo@rho0.8,exact_fifo,0.8,0.6410051854806542,557.2075257777778,1655.114627,0.0
4,exact_fifo@rho0.8+bg,exact_fifo,0.8,0.6946855811983909,425.0346978888888,-467.4747530000004,0.0
4,exact_fifo@rho0.8,exact_fifo,0.8,0.6946855811983909,445.71855000000005,-185.5264729999999,0.0
