rep,cell_id,policy,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,exact_fifo@rho1.2,exact_fifo,1.2,0.7679180887372014,276.40423598148163,42.0166549999999,0.0
0,agg_static@rho1.2,agg_static,1.2,0.6465680697762609,327.2232971481483,141.59931600000027,0.0
0,agg_full@rho0.8,agg_full,0.8,0.7013651877133106,261.6733415925926,246.71767500000033,0.0
0,agg_static@rho0.5,agg_static,0.5,0.8301099734546834,197.3748298148148,-229.07661999999982,0.0
0,agg_static@rho0.8,agg_static,0.8,0.8354190367842245,299.34392294444456,277.88736100000006,0.0
0,exact_fifo@rho0.5,exact_fifo,0.5,0.8839590443686007,428.0414081111112,547.8164200000001,0.0
0,exact_fifo@rho0.8,exact_fifo,0.8,0.8048919226393629,365.51879440740754,420.8412739999999,0.0
0,agg_full@rho0.5,agg_full,0.5,0.9027303754266212,237.32258785185195,-198.20830699999988,0.0
0,agg_full@rho1.2,agg_full,1.2,0.7311338642396663,352.18610379629627,285.8551520000001,0.0
1,exact_fifo@rho0.5,exact_fifo,0.5,0.9779587925251557,53.19440349999991,21.286449000000175,0.0
1,exact_fifo@rho1.2,exact_fifo,1.2,0.7925251557259224,246.29019098148137,688.001597,0.0
1,agg_full@rho1.2,agg_full,1.2,0.7620987062769525,297.76627287037036,792.4536629999998,0.0
1,agg_full@rho0.8,agg_full,0.8,0.82319118351701,351.12234462962965,892.2180699999999,0.0
1,agg_static@rho0.8,agg_static,0.8,0.8540967896502156,342.5542626111112,760.654325,0.0
1,exact_fifo@rho0.8,exact_fifo,0.8,0.8394825107810254,248.90077011111111,539.346826,0.0
1,agg_static@rho1.2,agg_static,1.2,0.8234307618591279,302.86711549999995,496.27128200000016,0.0
1,agg_full@rho0.5,agg_full,0.5,0.9233349305222808,248.32301911111108,132.7009619999999,0.0
1,agg_static@rho0.5,agg_static,0.5,0.9619070436032583,184.4718508333333,206.85991999999987,0.0
2,agg_full@rho1.2,agg_full,1.2,0.8278290432248664,19.83743953703697,-422.9440160000004,0.0
2,exact_fifo@rho0.5,exact_fifo,0.5,0.8506556580864497,108.8808890925925,-58.560277999999926,0.0
2,agg_static@rho1.2,agg_static,1.2,0.7651772705196698,138.6733945740741,-172.40534300000036,0.0
2,agg_static@rho0.5,agg_static,0.5,0.9055366682855756,-63.814861944444374,-450.0341120000003,0.0
2,agg_static@rho0.8,agg_static,0.8,0.8586692569208354,-54.278670055555494,-475.37258599999996,0.0
2,exact_fifo@rho0.8,exact_fifo,0.8,0.7889752306945119,60.543603629629615,-554.9143200000003,0.0
2,agg_full@rho0.8,agg_full,0.8,0.7566779990286547,89.41403718518518,-531.663117,0.0
2,agg_full@rho0.5,agg_full,0.5,0.8904808159300631,19.816432444444445,-23.456684000000223,0.0
2,exact_fifo@rho1.2,exact_fifo,1.2,0.7651772705196698,133.0690722222223,-287.31163400000014,0.0
3,exact_fifo@rho0.5,exact_fifo,0.5,0.80793777423215,282.4550117962963,1228.8312940000005,0.0
3,exact_fifo@rho1.2,exact_fifo,1.2,0.6276426007179896,518.8489919259259,1477.1885080000002,0.0
3,agg_static@rho1.2,agg_static,1.2,0.6599521340247307,445.99333805555534,1880.5658220000005,0.0
3,agg_full@rho0.5,agg_full,0.5,0.8901076984443558,186.44460842592594,468.12717999999995,0.0
3,agg_static@rho0.5,agg_static,0.5,0.8901076984443558,249.46640542592604,329.5057790000001,0.0
3,agg_full@rho0.8,agg_full,0.8,0.6218587953729557,700.846325240741,1671.6628879999998,0.0
3,agg_full@rho1.2,agg_full,1.2,0.6344236138811328,517.5766506666669,1655.5521150000004,0.0
3,agg_static@rho0.8,agg_static,0.8,0.6671320303151177,691.1838535000002,1647.0162870000004,0.0
3,exact_fifo@rho0.8,exact_fifo,0.8,0.621459912245712,634.8155730185185,1795.8975380000002,0.0
4,agg_static@rho1.2,agg_static,1.2,0.6673724327757781,239.48831031481495,106.64114900000004,0.0
4,agg_full@rho0.8,agg_full,0.8,0.6944738513656574,272.0415712407407,185.3380559999996,0.0
4,exact_fifo@rho0.8,exact_fifo,0.8,0.6673724327757781,313.76697342592615,236.87857199999962,0.0
4,exact_fifo@rho0.5,exact_fifo,0.5,0.7556637730256193,464.4458015925925,2459.403716,0.0
4,agg_static@rho0.5,agg_static,0.5,0.9460088926529748,-77.5969372222221,-570.716488,0.0
4,agg_full@rho1.2,agg_full,1.2,0.7213635401228033,485.17252592592604,293.0981929999998,0.0
4,exact_fifo@rho1.2,exact_fifo,1.2,0.7291975439339403,265.0572372222223,280.7087319999996,0.0
4,agg_full@rho0.5,agg_full,0.5,0.9462206224857083,236.62195187037037,351.72749699999986,0.0
4,agg_static@rho0.8,agg_static,0.8,0.7889053567647681,302.67240016666665,205.4658199999999,0.0
