rep,cell_id,policy,rho,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,exact_fifo@rho1.2,exact_fifo,1.2,0.7679180887372014,224.49469740740756,117.3889979999999,0.0
0,agg_static@rho1.2,agg_static,1.2,0.682973075464543,306.0863141111113,197.8090119999997,0.0
0,agg_full@rho0.8,agg_full,0.8,0.7324611300720516,265.5166999259259,293.88190799999984,0.0
0,agg_static@rho0.5,agg_static,0.5,0.8904057641259007,186.9436561111113,234.16232300000001,0.0
0,agg_static@rho0.8,agg_static,0.8,0.7923777019340159,244.77991314814835,363.69423800000004,0.0
0,exact_fifo@rho0.5,exact_fifo,0.5,0.8479332574895715,460.0573110185187,646.9736579999994,0.0
0,exact_fifo@rho0.8,exact_fifo,0.8,0.7375805839969662,356.59694077777795,307.85804800000005,0.0
0,agg_full@rho0.5,agg_full,0.5,0.9393249905195298,156.39419255555572,-404.560657,0.0
0,agg_full@rho1.2,agg_full,1.2,0.6949184679560106,398.57128155555574,446.22771299999977,0.0
1,exact_fifo@rho0.5,exact_fifo,0.5,0.9233349305222808,153.4629943333332,58.539936000000125,0.0
1,exact_fifo@rho1.2,exact_fifo,1.2,0.7697652132247245,287.02474455555534,818.9860020000001,0.0
1,agg_full@rho1.2,agg_full,1.2,0.8926689027311931,228.78118538888907,868.1783850000002,0.0
1,agg_full@rho0.8,agg_full,0.8,0.830857690464782,239.46200350000004,889.027419,0.0
1,agg_static@rho0.8,agg_static,0.8,0.8696693818878773,185.31684546296287,1056.043916,0.0
1,exact_fifo@rho0.8,exact_fifo,0.8,0.8004312410158122,183.01277168518504,872.0543990000001,0.0
1,agg_static@rho1.2,agg_static,1.2,0.8234307618591279,405.6351614074076,1170.850895,0.0
1,agg_full@rho0.5,agg_full,0.5,0.7925251557259224,494.49866822222225,1114.4791499999997,0.0
1,agg_static@rho0.5,agg_static,0.5,0.9619070436032583,164.69008940740764,-48.90344699999969,0.0
2,agg_full@rho1.2,agg_full,1.2,0.8280718795531812,45.81685353703733,-261.15023100000053,0.0
2,exact_fifo@rho0.5,exact_fifo,0.5,0.8508984944147644,107.58150594444442,-181.72039099999984,0.0
2,agg_static@rho1.2,agg_static,1.2,0.7651772705196698,146.73882672222226,-177.17824500000006,0.0
2,agg_static@rho0.5,agg_static,0.5,0.8977659057795047,388.8495410185187,1362.434018,0.0
2,agg_static@rho0.8,agg_static,0.8,0.8278290432248664,142.18976081481514,-281.6670060000006,0.0
2,exact_fifo@rho0.8,exact_fifo,0.8,0.7651772705196698,121.62492253703704,-269.20948599999974,0.0
2,agg_full@rho0.8,agg_full,0.8,0.8280718795531812,62.503150814814944,-407.6211280000002,0.0
2,agg_full@rho0.5,agg_full,0.5,0.9210781932977173,146.39382703703723,-154.13655300000028,0.0
2,exact_fifo@rho1.2,exact_fifo,1.2,0.7651772705196698,222.30694712962986,-59.84396300000026,0.0
3,exact_fifo@rho0.5,exact_fifo,0.5,0.7624650977263662,594.1050491481483,1541.9122040000002,0.0
3,exact_fifo@rho1.2,exact_fifo,1.2,0.6856800957319505,431.3221366111111,1802.6302130000004,0.0
3,agg_static@rho1.2,agg_static,1.2,0.6344236138811328,565.2400300740742,1876.7397390000006,0.0
3,agg_full@rho0.5,agg_full,0.5,0.8456322297566813,208.09006799999997,1491.0494159999998,0.0
3,agg_static@rho0.5,agg_static,0.5,0.7558835261268448,517.2652044814813,873.981675,0.0
3,agg_full@rho0.8,agg_full,0.8,0.7502991623454328,456.36731242592623,1549.6483180000005,0.0
3,agg_full@rho1.2,agg_full,1.2,0.6607499002792182,513.6796533703705,601.8443219999999,0.0
3,agg_static@rho0.8,agg_static,0.8,0.6021140805743918,765.8647980185187,1929.7092069999999,0.0
3,exact_fifo@rho0.8,exact_fifo,0.8,0.6599521340247307,666.1289317407409,1958.364979,0.0
4,agg_static@rho1.2,agg_static,1.2,0.6673724327757781,437.1012842962964,214.70131799999945,0.0
4,agg_full@rho0.8,agg_full,0.8,0.7213635401228033,432.2346488703706,-67.58950200000072,0.0
4,exact_fifo@rho0.8,exact_fifo,0.8,0.6673724327757781,399.53288833333363,-163.8538920000001,0.0
4,exact_fifo@rho0.5,exact_fifo,0.5,0.7624391276730892,412.54857438888894,-96.85765700000047,0.0
4,agg_static@rho0.5,agg_static,0.5,0.809866610205378,383.4603267037037,-119.73303100000066,0.0
4,agg_full@rho1.2,agg_full,1.2,0.7141647258098666,545.3778221851853,-73.1013550000007,0.0
4,exact_fifo@rho1.2,exact_fifo,1.2,0.6603853482955748,511.8118864259259,13.013388999999734,0.0
4,agg_full@rho0.5,agg_full,0.5,0.8710565318653398,358.5120175185184,-233.20471500000076,0.0
4,agg_static@rho0.8,agg_static,0.8,0.7279271649375397,510.1236232777778,470.90824900000007,0.0
