request_id,phase,lineage_id,step,tenant,digest,coverage_tokens,discard
0,0,0,0,tenant-0,L0000,2048,True
1,0,4,0,tenant-4,L0004,2048,True
2,0,8,0,tenant-0,L0008,2048,True
3,0,1,0,tenant-1,L0001,2048,True
4,0,1,1,tenant-1,L0001,2560,True
5,0,2,0,tenant-2,L0002,2048,True
6,0,2,1,tenant-2,L0002,2560,True
7,0,0,1,tenant-0,L0000,2560,True
8,0,11,0,tenant-3,L0011,2048,True
9,0,4,1,tenant-4,L0004,2560,True
10,0,5,0,tenant-5,L0005,2048,True
11,0,27,0,tenant-3,L0027,2048,True
12,0,10,0,tenant-2,L0010,2048,False
13,0,1,2,tenant-1,L0001,3072,False
14,0,13,0,tenant-5,L0013,2048,False
15,0,0,2,tenant-0,L0000,3072,False
16,0,7,0,tenant-7,L0007,2048,False
17,0,0,0,tenant-0,L0000,2048,False
18,0,3,0,tenant-3,L0003,2048,False
19,0,0,1,tenant-0,L0000,2560,False
20,0,23,0,tenant-7,L0023,2048,False
21,0,14,0,tenant-6,L0014,2048,False
22,0,11,1,tenant-3,L0011,2560,False
23,0,0,2,tenant-0,L0000,3072,False
24,0,29,0,tenant-5,L0029,2048,False
25,0,0,0,tenant-0,L0000,2048,False
26,0,6,0,tenant-6,L0006,2048,False
27,0,3,1,tenant-3,L0003,2560,False
28,0,0,1,tenant-0,L0000,2560,False
29,0,2,2,tenant-2,L0002,3072,False
30,0,16,0,tenant-0,L0016,2048,False
31,0,7,1,tenant-7,L0007,2560,False
32,0,1,0,tenant-1,L0001,2048,False
33,0,22,0,tenant-6,L0022,2048,False
34,0,0,2,tenant-0,L0000,3072,False
35,0,8,1,tenant-0,L0008,2560,False
36,0,7,2,tenant-7,L0007,3072,False
37,0,4,2,tenant-4,L0004,3072,False
38,0,2,0,tenant-2,L0002,2048,False
39,0,0,0,tenant-0,L0000,2048,False
40,0,0,1,tenant-0,L0000,2560,False
41,0,1,1,tenant-1,L0001,2560,False
42,0,0,2,tenant-0,L0000,3072,False
43,0,29,1,tenant-5,L0029,2560,False
44,0,27,1,tenant-3,L0027,2560,False
45,0,9,0,tenant-1,L0009,2048,False
46,0,0,0,tenant-0,L0000,2048,False
47,0,31,0,tenant-7,L0031,2048,False
48,1,43,0,tenant-3,L0043,2048,False
49,1,46,0,tenant-6,L0046,2048,False
50,1,58,0,tenant-2,L0058,2048,False
51,1,34,0,tenant-2,L0034,2048,False
52,1,34,1,tenant-2,L0034,2560,False
53,1,35,0,tenant-3,L0035,2048,False
54,1,32,0,tenant-0,L0032,2048,False
55,1,32,1,tenant-0,L0032,2560,False
56,1,32,2,tenant-0,L0032,3072,False
57,1,32,0,tenant-0,L0032,2048,False
58,1,32,1,tenant-0,L0032,2560,False
59,1,33,0,tenant-1,L0033,2048,False
60,1,41,0,tenant-1,L0041,2048,False
61,1,32,2,tenant-0,L0032,3072,False
62,1,33,1,tenant-1,L0033,2560,False
63,1,37,0,tenant-5,L0037,2048,False
64,1,32,0,tenant-0,L0032,2048,False
65,1,35,1,tenant-3,L0035,2560,False
66,1,34,2,tenant-2,L0034,3072,False
67,1,32,1,tenant-0,L0032,2560,False
68,1,33,2,tenant-1,L0033,3072,False
69,1,35,2,tenant-3,L0035,3072,False
70,1,42,0,tenant-2,L0042,2048,False
71,1,32,2,tenant-0,L0032,3072,False
72,1,32,0,tenant-0,L0032,2048,False
73,1,32,1,tenant-0,L0032,2560,False
74,1,32,2,tenant-0,L0032,3072,False
75,1,33,0,tenant-1,L0033,2048,False
76,1,32,0,tenant-0,L0032,2048,False
77,1,34,0,tenant-2,L0034,2048,False
78,1,32,1,tenant-0,L0032,2560,False
79,1,33,1,tenant-1,L0033,2560,False
80,1,36,0,tenant-4,L0036,2048,False
81,1,47,0,tenant-7,L0047,2048,False
82,1,44,0,tenant-4,L0044,2048,False
83,1,33,2,tenant-1,L0033,3072,False
84,1,33,0,tenant-1,L0033,2048,False
85,1,51,0,tenant-3,L0051,2048,False
86,1,32,2,tenant-0,L0032,3072,False
87,1,37,1,tenant-5,L0037,2560,False
88,1,32,0,tenant-0,L0032,2048,False
89,1,35,0,tenant-3,L0035,2048,False
90,1,42,1,tenant-2,L0042,2560,False
91,1,37,2,tenant-5,L0037,3072,False
92,1,38,0,tenant-6,L0038,2048,False
93,1,38,1,tenant-6,L0038,2560,False
94,1,32,1,tenant-0,L0032,2560,False
95,1,42,2,tenant-2,L0042,3072,False
