policy,ctx_tokens,n,cache_hit_rate_mean,ttft_p95_ms,workflow_p95_ms,state_size_avg_B
None,None,72,0.0000,0.0,0.0,0
coarse,256,3,0.7605,380.6,15699.8,348
coarse,1024,14,0.9437,409.8,25946.2,348
coarse,1536,3,0.9372,678.1,29664.9,349
oracle,256,3,0.8501,246.0,16493.0,2433
oracle,1024,14,0.9587,356.0,29836.8,2491
oracle,1536,3,0.9614,480.7,37134.7,2450
rich,256,3,0.8037,323.8,15568.4,2330
rich,512,9,0.7028,454.6,6092.2,7249
rich,1024,14,0.9575,408.7,26289.5,2327
rich,1536,3,0.9564,593.6,30869.3,2354
round-robin,1024,5,0.8894,462.4,22865.1,63
sketch,256,3,0.8985,279.7,14536.8,2
sketch,1024,14,0.9690,316.5,23991.8,2
sketch,1536,3,0.9767,417.8,26015.9,2
sketch-affinityonly,1024,3,0.9870,217.3,21428.3,2
sketch-noaffinity,1024,3,0.9758,248.4,21764.6,2
sketch-noprogress,1024,3,0.9864,205.3,21168.4,2
sketch-notoolbits,1024,3,0.9825,218.2,21125.5,2
