N,target_f,view,rep,size_p95_B,target_traffic_MBps,achieved_traffic_MBps,achieved_f,missed_deadline_rate,p95_update_us,sustainable
4,10,coarse,1,375,0.0149,0.0149,10.00,0.0000,15.8,true
4,10,coarse,2,375,0.0149,0.0149,10.00,0.0000,12.8,true
4,10,coarse,3,375,0.0149,0.0149,10.00,0.0000,12.9,true
4,10,rich,1,3111,0.1244,0.1244,10.00,0.0000,55.7,true
4,10,rich,2,3111,0.1244,0.1244,10.00,0.0000,59.2,true
4,10,rich,3,3111,0.1244,0.1244,10.00,0.0000,57.7,true
4,10,sketch,1,390,0.0156,0.0156,10.00,0.0000,15.4,true
4,10,sketch,2,390,0.0156,0.0156,10.00,0.0000,14.8,true
4,10,sketch,3,390,0.0156,0.0156,10.00,0.0000,14.4,true
4,50,coarse,1,375,0.0746,0.0746,50.00,0.0000,11.0,true
4,50,coarse,2,375,0.0746,0.0746,50.00,0.0000,10.5,true
4,50,coarse,3,375,0.0746,0.0746,50.00,0.0000,10.6,true
4,50,rich,1,3111,0.6222,0.6222,50.00,0.0000,69.2,true
4,50,rich,2,3111,0.6222,0.6222,50.00,0.0000,51.3,true
4,50,rich,3,3111,0.6222,0.6222,50.00,0.0000,50.9,true
4,50,sketch,1,390,0.0779,0.0779,50.00,0.0000,11.3,true
4,50,sketch,2,390,0.0779,0.0779,50.00,0.0000,11.5,true
4,50,sketch,3,390,0.0779,0.0779,50.00,0.0000,11.5,true
64,10,coarse,1,376,0.2392,0.2392,10.00,0.0000,10.1,true
64,10,coarse,2,376,0.2392,0.2392,10.00,0.0000,8.2,true
64,10,coarse,3,376,0.2392,0.2392,10.00,0.0000,8.1,true
64,10,rich,1,1454,0.9298,0.9298,10.00,0.0000,24.5,true
64,10,rich,2,1454,0.9298,0.9298,10.00,0.0000,26.3,true
64,10,rich,3,1454,0.9298,0.9298,10.00,0.0000,25.5,true
64,10,sketch,1,511,0.3267,0.3267,10.00,0.0000,13.1,true
64,10,sketch,2,511,0.3268,0.3268,10.00,0.0000,13.0,true
64,10,sketch,3,511,0.3267,0.3267,10.00,0.0000,12.9,true
64,50,coarse,1,376,1.1961,1.1961,50.00,0.0000,9.9,true
64,50,coarse,2,376,1.1960,1.1960,50.00,0.0000,8.6,true
64,50,coarse,3,376,1.1961,1.1961,50.00,0.0000,8.1,true
64,50,rich,1,1454,4.6488,4.6488,50.00,0.0000,26.6,true
64,50,rich,2,1454,4.6488,4.6488,50.00,0.0000,25.8,true
64,50,rich,3,1454,4.6488,4.6488,50.00,0.0000,27.1,true
64,50,sketch,1,511,1.6337,1.6337,50.00,0.0000,12.9,true
64,50,sketch,2,511,1.6337,1.6337,50.00,0.0000,13.0,true
64,50,sketch,3,511,1.6337,1.6337,50.00,0.0000,13.0,true
256,10,coarse,1,377,0.9587,0.9587,10.00,0.0000,8.0,true
256,10,coarse,2,377,0.9587,0.9587,10.00,0.0000,8.0,true
256,10,coarse,3,377,0.9587,0.9587,10.00,0.0000,7.9,true
256,10,rich,1,1462,3.7339,3.7339,10.00,0.0000,23.7,true
256,10,rich,2,1462,3.7339,3.7339,10.00,0.0000,23.4,true
256,10,rich,3,1462,3.7339,3.7339,10.00,0.0000,23.3,true
256,10,sketch,1,896,2.2919,2.2919,10.00,0.0000,24.1,true
256,10,sketch,2,896,2.2919,2.2919,10.00,0.0000,24.1,true
256,10,sketch,3,896,2.2919,2.2919,10.00,0.0000,24.0,true
256,50,coarse,1,377,4.7936,4.7936,50.00,0.0000,8.1,true
256,50,coarse,2,377,4.7936,4.7930,49.99,0.0001,8.0,true
256,50,coarse,3,377,4.7936,4.7928,49.99,0.0002,8.0,true
256,50,rich,1,1462,18.6696,18.6684,50.00,0.0001,26.2,true
256,50,rich,2,1462,18.6696,18.6613,49.98,0.0004,27.6,true
256,50,rich,3,1462,18.6696,18.6685,50.00,0.0001,27.0,true
256,50,sketch,1,896,11.4595,11.4581,49.99,0.0001,24.7,true
256,50,sketch,2,896,11.4595,11.4574,49.99,0.0002,24.3,true
256,50,sketch,3,896,11.4594,11.4577,49.99,0.0002,24.1,true
512,10,coarse,1,377,1.9185,1.9185,10.00,0.0000,8.0,true
512,10,coarse,2,377,1.9185,1.9185,10.00,0.0000,8.0,true
512,10,coarse,3,377,1.9185,1.9185,10.00,0.0000,7.9,true
512,10,rich,1,1462,7.4766,7.4766,10.00,0.0000,23.2,true
512,10,rich,2,1462,7.4766,7.4766,10.00,0.0000,23.6,true
512,10,rich,3,1462,7.4766,7.4766,10.00,0.0000,23.2,true
512,10,sketch,1,1408,7.2063,7.2063,10.00,0.0000,37.6,true
512,10,sketch,2,1408,7.2063,7.2063,10.00,0.0000,37.6,true
512,10,sketch,3,1408,7.2063,7.2063,10.00,0.0000,37.7,true
512,50,coarse,1,377,9.5926,9.5830,49.95,0.0010,6.4,true
512,50,coarse,2,377,9.5926,9.5833,49.95,0.0010,6.4,true
512,50,coarse,3,377,9.5926,9.5780,49.92,0.0015,6.3,true
512,50,rich,1,1462,37.3832,37.3371,49.94,0.0012,15.8,true
512,50,rich,2,1462,37.3832,37.3371,49.94,0.0012,15.7,true
512,50,rich,3,1462,37.3832,37.3369,49.94,0.0012,15.7,true
512,50,sketch,1,1408,36.0316,35.9852,49.94,0.0013,18.2,true
512,50,sketch,2,1408,36.0316,35.9855,49.94,0.0013,18.3,true
512,50,sketch,3,1408,36.0316,35.9887,49.94,0.0012,18.3,true
