request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,5a44fd5ac15e97f71b86,1,298,2,0,0,True
1,b5a7742692ea8711e9f3,1,302,2,0,0,True
2,65fe57fbdb59f99a183c,1,298,2,0,0,True
3,12a61a9050c7c9a45be6,1,301,2,0,0,True
4,74551c0aa1e09cf95462,1,307,2,0,0,True
5,13bc56525292be58356c,1,295,2,0,0,True
6,568f696d7806b406fd91,1,298,2,0,0,True
7,5ec00024c982dc8afea5,1,294,2,0,0,True
8,0858387a84b615badb38,1,293,2,0,0,True
9,8bbeb8ab108e06e7fe6e,1,300,2,0,0,True
10,ed3723bc92320403bb3a,1,302,2,0,0,True
11,87c2d9ff061ed56094b2,1,299,2,0,0,True
12,c4bc44abbc0bb0990c47,1,291,2,0,0,True
13,0276f38a025acc6385e1,1,315,2,0,0,True
14,350de7d097c9a632ced9,1,287,2,0,0,True
15,ab45ba91f42476a1c172,1,298,2,0,0,True
16,ee3f4a57d8fc2782cd21,1,301,2,0,0,True
17,75255037aed0fec90ba1,1,304,2,0,0,True
18,627ac4657cdf26d2b829,1,293,2,0,0,True
19,e4116f4658c2251427e7,1,302,2,0,0,True
20,9a2a91b0e19ff88c4cf7,1,294,2,0,0,True
21,ef58c5ba228f2cf369d5,1,297,2,0,0,True
22,13bc56525292be58356c,2,1001,3,1,0.181833,True
23,830a123b96f5af1bb901,1,294,2,0,0,True
24,62eda325c2dc41a03183,1,295,2,0,0,True
25,4ea421697f5d2984480c,1,294,2,0,0,True
26,350de7d097c9a632ced9,2,870,3,1,46.589875,True
27,ccc27c0629fdee81abf6,1,296,2,0,0,True
28,91fb1d552a4dc309664d,1,298,2,0,0,True
29,147d251fbe4d3c8bce92,1,298,2,0,0,True
30,dddb9606de111a83e1d2,1,325,2,0,0,True
31,49f315450eb541d0ef6f,1,308,2,0,0,True
32,548bbdae4ff3d4931a24,1,294,2,0,0,True
33,45c6019423f5061eff48,1,314,2,0,0,True
34,fbec5d00e788b10a5614,1,301,2,0,0,True
35,bee6aaf5dd8f938a3278,1,291,2,0,0,True
