request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,bd2c85e633e0382ed7bb,1,306,2,0,0,True
1,4aeb57c645ea3ad595f9,1,295,2,0,0,True
2,94f35dc8f0066629593c,1,291,2,0,0,True
3,5a500c7fac22daaea2e9,1,296,2,0,0,True
4,13e9ca87c358f515592d,1,345,2,0,0,True
5,847d6aaacb18080f28a1,1,297,2,0,0,True
6,c323ee33d450722c9520,1,308,2,0,0,True
7,470f22c8e4faa900be83,1,305,2,0,0,True
8,350de7d097c9a632ced9,1,287,2,0,0,True
9,6f8bbd8b49e3a87905a7,1,305,2,0,0,True
10,b03b8fc7a837827f7a8e,1,296,2,0,0,True
11,b03b8fc7a837827f7a8e,2,1746,3,1,14.07975,True
12,a37dd6d75add69f6cab7,1,300,2,0,0,True
13,c4a81512aec89b8094be,1,300,2,0,0,True
14,c5c57541d8115d97a059,1,302,2,0,0,True
15,6f8bbd8b49e3a87905a7,2,1554,3,1,11.975416,True
16,563d7ffe327e2a11a704,1,306,2,0,0,True
17,5fd8cb2c9cece11b6760,1,300,2,0,0,True
18,4b9f72cffe09db36fd5f,1,296,2,0,0,True
19,ed3723bc92320403bb3a,1,302,2,0,0,True
20,ae3c34f6cce25db8a590,1,302,2,0,0,True
21,7a0b83554fbb7b082000,1,301,2,0,0,True
22,47215a0640c821c85597,1,303,2,0,0,True
23,47215a0640c821c85597,2,1204,3,1,0.189083,True
24,9c4cda95c466419d28fe,1,303,2,0,0,True
25,fd8a3d371616de8f3565,1,309,2,0,0,True
26,4f56ac0644c71cc18aa1,1,306,2,0,0,True
27,df10b8a70a7d32c05845,1,302,2,0,0,True
28,bd2c85e633e0382ed7bb,2,2515,3,1,14.689667,True
29,7e5df46ac9ca8962193a,1,299,2,0,0,True
30,24941eddd9bbaf038d5e,1,303,2,0,0,True
31,5a500c7fac22daaea2e9,2,2178,3,1,12.475583,True
32,47215a0640c821c85597,3,4096,4,2,0.38691600000000004,False
33,d7df31ceddbd777b7d28,1,315,2,0,0,False
34,210881c79857a6c93b19,1,300,2,0,0,False
35,f8de0f1f102514b61ac5,1,285,2,0,0,False
36,7ce3588057e03f8cf84c,1,304,2,0,0,False
37,17de9923422eeb0ac0f3,1,292,2,0,0,False
38,f341351595d5cf7c697e,1,302,2,0,0,False
39,75255037aed0fec90ba1,1,304,2,0,0,False
40,698912a0991512bdde8b,1,298,2,0,0,False
41,8bbeb8ab108e06e7fe6e,1,300,2,0,0,False
42,adc6a068b9d0e2c3e404,1,308,2,0,0,False
43,939012287a85f9cb94ac,1,294,2,0,0,False
44,e4116f4658c2251427e7,1,302,2,0,0,False
45,042900e3e00719b2b983,1,310,2,0,0,False
46,dddb9606de111a83e1d2,1,325,2,0,0,False
47,fbec5d00e788b10a5614,1,301,2,0,0,False
48,5a44fd5ac15e97f71b86,1,298,2,0,0,False
49,6d5fc03df3b53c97d539,1,309,2,0,0,False
50,b8b53195ce17fdb21c66,1,303,2,0,0,False
51,5ec00024c982dc8afea5,1,294,2,0,0,False
52,85ca7da8fc642245c64f,1,301,2,0,0,False
53,94f35dc8f0066629593c,2,1193,3,1,0.0905,False
54,763e9668a3e955754288,1,306,2,0,0,False
55,a855978add45b6bb4319,1,294,2,0,0,False
56,48ed61ce55b3a3f12a4d,1,303,2,0,0,False
57,34c4f5302d0ab901b888,1,298,2,0,0,False
58,7f52065ddc80b7eca2bf,1,303,2,0,0,False
59,ae29c769187c647be8f9,1,291,2,0,0,False
60,f341351595d5cf7c697e,2,1801,3,1,13.078708,False
61,470f22c8e4faa900be83,2,1719,3,1,18.505875,False
62,fdeb9d16d8b68253bd9a,1,299,2,0,0,False
63,a37dd6d75add69f6cab7,2,993,3,1,14.510125,False
64,76be008cbd045cfbfe1b,1,313,2,0,0,False
65,49f315450eb541d0ef6f,1,308,2,0,0,False
66,7f3fb4ecbc37abbb6890,1,298,2,0,0,False
67,9a2a91b0e19ff88c4cf7,1,294,2,0,0,False
68,147d251fbe4d3c8bce92,1,298,2,0,0,False
69,4223fc60ef0893c4ac11,1,301,2,0,0,False
70,6940b43a0b7cac709ace,1,297,2,0,0,False
71,bca5e82a2acaf4957662,1,302,2,0,0,False
