experiment,evidence_type,mode,policy,admission,K,n_reps,status,mean_reuse_coverage_mean,mean_reuse_coverage_ci95_low,mean_reuse_coverage_ci95_high,saved_prefill_tokens_total_mean,saved_prefill_tokens_total_ci95_low,saved_prefill_tokens_total_ci95_high,incremental_saved_prefill_tokens_total_mean,incremental_saved_prefill_tokens_total_ci95_low,incremental_saved_prefill_tokens_total_ci95_high,dispatcher_index_bytes_mean,dispatcher_index_bytes_ci95_low,dispatcher_index_bytes_ci95_high,selected_affinity_rate_mean,selected_affinity_rate_ci95_low,selected_affinity_rate_ci95_high,incremental_saved_vs_exact_ratio_mean,incremental_saved_vs_exact_ratio_ci95_low,incremental_saved_vs_exact_ratio_ci95_high
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,exact,exact,inf,2,Current,0.6739340888264872,0.6495759530597865,0.6982922245931878,25860.0,25705.0,26015.0,1284.0,1129.0,1439.0,8576.0,8576.0,8576.0,1.0,1.0,1.0,1.0,1.0,1.0
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,load_only,none,inf,2,Current,0.6658220192668207,0.6408111083709702,0.6908329301626711,24842.0,24766.0,24918.0,266.0,190.0,342.0,384.0,384.0,384.0,0.0,0.0,0.0,0.20297778387830837,0.1682905225863596,0.23766504517025713
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,128,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,9792.0,9728.0,9856.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,16,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,2560.0,2560.0,2560.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,2,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,768.0,768.0,768.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,32,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,4608.0,4608.0,4608.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,4,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,64,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,8704.0,8704.0,8704.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,coverage_first,8,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,1536.0,1536.0,1536.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,128,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,9792.0,9728.0,9856.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,16,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,2560.0,2560.0,2560.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,2,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,768.0,768.0,768.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,32,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,4608.0,4608.0,4608.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,4,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,1024.0,1024.0,1024.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,64,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,8704.0,8704.0,8704.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lfu,8,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,1536.0,1536.0,1536.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,128,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,9792.0,9728.0,9856.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
agenttrace_admission_oracle_v4,trace_derived_simulation,closed_loop,sketch,lru,16,2,Current,0.6693059722069741,0.6452375880050231,0.6933743564089252,25258.0,25101.0,25415.0,682.0,525.0,839.0,2560.0,2560.0,2560.0,0.0,0.0,0.0,0.5240285332484731,0.4650132860938884,0.5830437804030577
