request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,1637c18ff3f5657a61be,1,306,2,0,0,True
1,698912a0991512bdde8b,1,298,2,0,0,True
2,5fd8cb2c9cece11b6760,1,300,2,0,0,True
3,45c6019423f5061eff48,1,314,2,0,0,True
4,5fde1bbc21ffe5739f12,1,292,2,0,0,True
5,939012287a85f9cb94ac,1,294,2,0,0,True
6,9ab0ce824c217b9b41e4,1,300,2,0,0,True
7,17de9923422eeb0ac0f3,1,292,2,0,0,True
8,a547cbe8b7c6a53aa495,1,288,2,0,0,True
9,7a0b83554fbb7b082000,1,301,2,0,0,True
10,86023f504d7b56fe4a74,1,292,2,0,0,True
11,012dd63903edde348cbb,1,297,2,0,0,True
12,df10b8a70a7d32c05845,1,302,2,0,0,True
13,ab45ba91f42476a1c172,1,298,2,0,0,True
14,d95270e254bd3ff3e5b5,1,290,2,0,0,True
15,546629680207c644ea0b,1,291,2,0,0,True
16,bd9d038024e2a8898a2e,1,299,2,0,0,True
17,94f35dc8f0066629593c,1,291,2,0,0,True
18,f44be9d92d2b997cd5bb,1,298,2,0,0,True
19,b5a7742692ea8711e9f3,1,302,2,0,0,True
20,7ce3588057e03f8cf84c,1,304,2,0,0,True
21,6092ea921db93c66210d,1,301,2,0,0,True
22,763e9668a3e955754288,1,306,2,0,0,True
23,befefaf2907326fc088d,1,288,2,0,0,True
24,470f22c8e4faa900be83,1,305,2,0,0,True
25,bd2c85e633e0382ed7bb,1,306,2,0,0,True
26,470f22c8e4faa900be83,2,1719,3,1,18.505875,True
27,7f52065ddc80b7eca2bf,1,303,2,0,0,True
28,9b8a8cae8423c64a0940,1,300,2,0,0,True
29,36fa17f54e388591b9fd,1,296,2,0,0,True
30,d0a570520771562240ca,1,311,2,0,0,True
31,5fde1bbc21ffe5739f12,2,672,3,1,16.009375,True
32,4cb0b190b931b18057ba,1,306,2,0,0,True
33,db910abb8056f80cec03,1,292,2,0,0,True
34,e7a2f0db3bc4f24270bc,1,309,2,0,0,True
35,469b79d618beaa815276,1,297,2,0,0,True
36,c939f9cb419dc864a78f,1,289,2,0,0,True
37,469b79d618beaa815276,2,800,3,1,0.129,True
38,5d258bc3be1bbac74c88,1,301,2,0,0,True
39,830a123b96f5af1bb901,1,294,2,0,0,True
40,ca04d7d2418652914b6c,1,298,2,0,0,True
41,e7a2f0db3bc4f24270bc,2,2789,3,1,13.217292,True
42,dde9c9d41b8d821589d1,1,289,2,0,0,True
43,3daa7f04bf37682facfd,1,322,2,0,0,True
44,dddb9606de111a83e1d2,1,325,2,0,0,True
45,d85ffc0df82ac89f0e9c,1,284,2,0,0,True
46,15f960de80f52d798688,1,313,2,0,0,True
47,9a2a91b0e19ff88c4cf7,1,294,2,0,0,True
48,1005dcd9a46599961480,1,299,2,0,0,True
49,5ec00024c982dc8afea5,1,294,2,0,0,True
50,c4bc44abbc0bb0990c47,1,291,2,0,0,True
51,dde9c9d41b8d821589d1,2,950,3,1,0.162959,True
52,21fea266bb41dcf5efe6,1,292,2,0,0,True
53,fbec5d00e788b10a5614,1,301,2,0,0,True
54,d95270e254bd3ff3e5b5,2,706,3,1,14.371042,True
55,fdeb9d16d8b68253bd9a,1,299,2,0,0,True
56,886b7220e2bbab112387,1,327,2,0,0,True
57,5d8182f047e7ad79afce,1,285,2,0,0,True
58,9635ce9c08509898cbee,1,298,2,0,0,True
59,6092ea921db93c66210d,2,4096,3,1,0.108541,True
60,24941eddd9bbaf038d5e,1,303,2,0,0,True
61,c323ee33d450722c9520,1,308,2,0,0,True
62,c4a81512aec89b8094be,1,300,2,0,0,True
63,921a9ed94530436f2510,1,315,2,0,0,True
64,c4bc44abbc0bb0990c47,2,2605,3,1,0.183292,True
65,8b4c2e6b8616b08640fa,1,298,2,0,0,True
66,9e61485654d3a5592286,1,308,2,0,0,True
67,df10b8a70a7d32c05845,2,1243,3,1,10.208875,True
68,c4a81512aec89b8094be,2,1416,3,1,12.429959,True
69,676fe4695f869b48680e,1,309,2,0,0,True
70,fd8a3d371616de8f3565,1,309,2,0,0,True
71,15f960de80f52d798688,2,1656,3,1,0.155959,True
72,fcea4cd1cf623d29fddb,1,298,2,0,0,True
73,1005dcd9a46599961480,2,1799,3,1,9.35425,True
74,b992dc005e5a65e01262,1,290,2,0,0,True
75,c7c9d8bca2aef99ca7db,1,299,2,0,0,True
76,befefaf2907326fc088d,2,931,3,1,8.107541,True
77,917b2ea0483e7a35ce93,1,312,2,0,0,True
78,76be008cbd045cfbfe1b,1,313,2,0,0,True
79,74551c0aa1e09cf95462,1,307,2,0,0,True
80,a28fc49a2949e07a7023,1,308,2,0,0,True
81,c323ee33d450722c9520,2,1259,3,1,17.935459,True
82,fcea4cd1cf623d29fddb,2,1218,3,1,0.195167,True
83,b074c112fdfea2cf2387,1,315,2,0,0,True
84,47215a0640c821c85597,1,303,2,0,0,True
85,8d49f0948f20afde6d49,1,314,2,0,0,True
86,9a2a91b0e19ff88c4cf7,2,1146,3,1,11.359042,True
87,bee6aaf5dd8f938a3278,1,291,2,0,0,True
88,c8c040a2b56e1262bff2,1,296,2,0,0,True
89,21fea266bb41dcf5efe6,2,653,3,1,13.191459,True
90,9403c56ac49ef7065039,1,305,2,0,0,True
91,c1ea8271b1162f38b2ea,1,296,2,0,0,True
92,9381c60b4194a5be0c99,1,302,2,0,0,True
93,f89baabf54dcb1be63bf,1,301,2,0,0,True
94,181bb6eac2824d2e61de,1,296,2,0,0,True
95,adc6a068b9d0e2c3e404,1,308,2,0,0,True
96,a37dd6d75add69f6cab7,1,300,2,0,0,True
97,66c3a1fd7c03d9cf178a,1,292,2,0,0,True
98,24941eddd9bbaf038d5e,2,1248,3,1,10.59325,True
99,b5a7742692ea8711e9f3,2,1464,3,1,11.727375,True
100,4b9f72cffe09db36fd5f,1,296,2,0,0,True
101,9403c56ac49ef7065039,2,806,3,1,0.130459,True
102,7f3fb4ecbc37abbb6890,1,298,2,0,0,True
103,3daa7f04bf37682facfd,2,2384,3,1,13.00175,True
104,ef58c5ba228f2cf369d5,1,297,2,0,0,True
105,847d6aaacb18080f28a1,1,297,2,0,0,True
106,b992dc005e5a65e01262,2,942,3,1,0.188667,True
107,9635ce9c08509898cbee,2,1598,3,1,12.439625,True
108,f8de0f1f102514b61ac5,1,285,2,0,0,True
109,75255037aed0fec90ba1,1,304,2,0,0,True
110,07cddc8120a2880cc4a2,1,288,2,0,0,True
111,48ed61ce55b3a3f12a4d,1,303,2,0,0,True
112,388cb360832f89a28b80,1,302,2,0,0,True
113,f9f976163adc8977a583,1,300,2,0,0,True
114,a7ea31b2ee87a09f8623,1,299,2,0,0,True
115,315e691f6f276f777726,1,303,2,0,0,True
116,f44be9d92d2b997cd5bb,2,1159,3,1,13.037208,True
117,4f56ac0644c71cc18aa1,1,306,2,0,0,True
118,49f315450eb541d0ef6f,1,308,2,0,0,True
119,f9f976163adc8977a583,2,1550,3,1,14.990958,True
120,62eda325c2dc41a03183,1,295,2,0,0,True
121,fbec5d00e788b10a5614,2,1739,3,1,13.55,True
122,8d49f0948f20afde6d49,2,1483,3,1,13.71425,True
123,bca5e82a2acaf4957662,1,302,2,0,0,True
124,13bc56525292be58356c,1,295,2,0,0,True
125,5a44fd5ac15e97f71b86,1,298,2,0,0,True
126,588a94c4ef39e309ab60,1,295,2,0,0,True
127,c68be4e2e84409fc6f5e,1,297,2,0,0,True
128,51180bbf5dfe89c7c3ad,1,302,2,0,0,False
129,eded5b13b01306b168f2,1,298,2,0,0,False
130,ee3f4a57d8fc2782cd21,1,301,2,0,0,False
131,388cb360832f89a28b80,2,1330,3,1,12.691334,False
132,1578fd7703ecf72f84de,1,305,2,0,0,False
133,fdeb9d16d8b68253bd9a,2,1738,3,1,12.337,False
134,bee6aaf5dd8f938a3278,2,1094,3,1,10.249709,False
135,01d82986a7408163065c,1,307,2,0,0,False
136,8788c61ee591b172a655,1,288,2,0,0,False
137,6f8bbd8b49e3a87905a7,1,305,2,0,0,False
138,315e691f6f276f777726,2,1184,3,1,18.173834,False
139,6d16c91c037f9a0f64be,1,324,2,0,0,False
140,469b79d618beaa815276,3,1697,4,2,0.25891600000000004,False
141,12a61a9050c7c9a45be6,1,301,2,0,0,False
142,780de4aff9cdfa103f3d,1,292,2,0,0,False
143,a7ea31b2ee87a09f8623,2,1054,3,1,16.63925,False
144,b5a7742692ea8711e9f3,3,1841,4,2,25.423334,False
145,eded5b13b01306b168f2,2,1064,3,1,0.127375,False
146,aac75cd97c68bdf626dc,1,302,2,0,0,False
147,147d251fbe4d3c8bce92,1,298,2,0,0,False
148,627ac4657cdf26d2b829,1,293,2,0,0,False
149,350de7d097c9a632ced9,1,287,2,0,0,False
150,2661f5042091585cbdbf,1,309,2,0,0,False
151,74551c0aa1e09cf95462,2,1320,3,1,11.307,False
152,6d5fc03df3b53c97d539,1,309,2,0,0,False
153,df10b8a70a7d32c05845,3,2885,4,2,31.175417000000003,False
154,181bb6eac2824d2e61de,2,1448,3,1,13.34375,False
155,939012287a85f9cb94ac,2,1213,3,1,12.241042,False
156,ff626bf40a35a2108c20,1,301,2,0,0,False
157,f9b3b1f8af9f260a577a,1,320,2,0,0,False
158,563d7ffe327e2a11a704,1,306,2,0,0,False
159,36fa17f54e388591b9fd,2,1097,3,1,13.62125,False
160,fcea4cd1cf623d29fddb,3,2782,4,2,0.292542,False
161,365d398c438b92a6598f,1,299,2,0,0,False
162,75255037aed0fec90ba1,2,1244,3,1,15.916333,False
163,bee6aaf5dd8f938a3278,3,1963,4,2,20.871834,False
164,676fe4695f869b48680e,2,2723,3,1,39.699042,False
165,0a2b6aab2e039afa3d2c,1,307,2,0,0,False
166,698912a0991512bdde8b,2,1325,3,1,15.319125,False
167,2661f5042091585cbdbf,2,1101,3,1,14.862458,False
168,6d16c91c037f9a0f64be,2,3796,3,1,55.963667,False
169,ed3723bc92320403bb3a,1,302,2,0,0,False
170,f16db081b90390c6eb9e,1,292,2,0,0,False
171,aac75cd97c68bdf626dc,2,1718,3,1,12.32225,False
172,ae3c34f6cce25db8a590,1,302,2,0,0,False
