experiment,evidence_type,baseline,rate_budget_Bps,transport_capacity_Bps,churn_events_per_inst_s,n_reps,status,update_delay_p95_ms_mean,update_delay_p95_ms_ci95_low,update_delay_p95_ms_ci95_high,queue_length_max_mean,queue_length_max_ci95_low,queue_length_max_ci95_high,coalescing_ratio_mean,coalescing_ratio_ci95_low,coalescing_ratio_ci95_high,dropped_or_expired_updates_mean,dropped_or_expired_updates_ci95_low,dropped_or_expired_updates_ci95_high,stale_lookup_rate_mean,stale_lookup_rate_ci95_low,stale_lookup_rate_ci95_high,fallback_rate_mean,fallback_rate_ci95_low,fallback_rate_ci95_high,saved_prefill_ms_total_mean,saved_prefill_ms_total_ci95_low,saved_prefill_ms_total_ci95_high,ttft_p95_ms_model_mean,ttft_p95_ms_model_ci95_low,ttft_p95_ms_model_ci95_high
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,64,64,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,64,64,0.1,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,64,64,1.0,20,Current,1148.0,862.0,1424.000000000001,4.4,3.6,5.1,0.0,0.0,0.0,0.056366965080396556,0.03511025309070505,0.07630088498281373,0.045733333333333334,0.012591666666666668,0.097675,0.045733333333333334,0.012141666666666667,0.09570833333333334,515304.0,489190.5,533367.0,82.058,80.567,84.297875
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,64,64,5.0,20,Current,1998.0000000000005,1995.000000000001,2000.0,20.5,19.65,21.35,0.0,0.0,0.0,0.7857112295574976,0.7812891442780108,0.7895082813048314,0.7935416666666667,0.7618583333333333,0.824075,0.7935416666666667,0.7612166666666667,0.8233,111487.5,95112.0,128403.0,115.709375,114.3305,116.971625
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,256,256,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,256,256,0.1,20,Current,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,256,256,1.0,20,Current,14.0,0.0,42.0,0.3,0.05,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335e-05,0.0,9.999999999999999e-05,3.3333333333333335e-05,0.0,9.999999999999999e-05,539982.0,539946.0,540000.0,80.0015,80.0,80.00450000000001
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,256,256,5.0,20,Current,1975.0000000000002,1969.0000000000011,1980.000000000001,17.9,17.15,18.55,0.0,0.0,0.0,0.17315937191251815,0.15767562308193478,0.18793842133738262,0.3043666666666667,0.2791666666666667,0.32879166666666665,0.3043666666666667,0.27620833333333333,0.32889999999999997,375642.0,361957.5,389200.5,93.6965,92.498375,94.79975
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,1024,1024,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
budget_freshness_quality_v3,control_plane_simulation,event_driven_no_rate,1024,1024,0.1,20,Current,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,540000.0,540000.0,80.0,80.0,80.0
