experiment_id,experiment,evidence_type,code_commit,model,hardware,locality,K,J,rep,repetitions,seed,request_count,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,fraction_truncated,candidate_coverage_mean,candidate_coverage_std,candidate_queue_ms_mean,candidate_expiry_probability_mean,fallback_rate,saved_prefill_ms_total,saved_vs_unbounded_ratio,quality_loss_due_to_J,status
20260715_jhetero_high_k2_j1_rep0,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,1,0,20,20260715,5000,3.0,1.0,0.276,0.6235026284589087,0.2168179097013511,28.025841437889483,0.274238776662942,0.5326,93643.1826073547,0.9580714418691717,0.0419285581308283,Current
20260715_jhetero_high_k2_j2_rep0,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,2,0,20,20260715,5000,3.0,2.0,0.0862,0.6235026284589087,0.2168179097013511,28.025841437889483,0.274238776662942,0.4784,97524.15319408782,0.9977779851791512,0.002222014820848817,Current
20260715_jhetero_high_k2_j4_rep0,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,4,0,20,20260715,5000,3.0,3.0,0.0032,0.6235026284589087,0.2168179097013511,28.025841437889483,0.274238776662942,0.4732,97741.33589104729,1.0,0.0,Current
20260715_jhetero_high_k2_j8_rep0,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,8,0,20,20260715,5000,3.0,3.0,0.0,0.6235026284589087,0.2168179097013511,28.025841437889483,0.274238776662942,0.4732,97741.33589104729,1.0,0.0,Current
20260715_jhetero_high_k2_j16_rep0,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,16,0,20,20260715,5000,3.0,3.0,0.0,0.6235026284589087,0.2168179097013511,28.025841437889483,0.274238776662942,0.4732,97741.33589104729,1.0,0.0,Current
20260715_jhetero_high_k2_j1_rep1,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,1,1,20,20260715,5000,3.0,1.0,0.2762,0.6257689353399155,0.2166003684592898,27.70201299179714,0.27438916974126837,0.5254,92434.75531728377,0.9481248388675574,0.051875161132442574,Current
20260715_jhetero_high_k2_j2_rep1,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,2,1,20,20260715,5000,3.0,2.0,0.094,0.6257689353399155,0.2166003684592898,27.70201299179714,0.27438916974126837,0.4696,97294.49075584652,0.9979722784351799,0.002027721564820124,Current
20260715_jhetero_high_k2_j4_rep1,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,4,1,20,20260715,5000,3.0,3.0,0.0054,0.6257689353399155,0.2166003684592898,27.70201299179714,0.27438916974126837,0.4662,97492.17774706552,1.0,0.0,Current
20260715_jhetero_high_k2_j8_rep1,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,8,1,20,20260715,5000,3.0,3.0,0.0,0.6257689353399155,0.2166003684592898,27.70201299179714,0.27438916974126837,0.4662,97492.17774706552,1.0,0.0,Current
20260715_jhetero_high_k2_j16_rep1,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,16,1,20,20260715,5000,3.0,3.0,0.0,0.6257689353399155,0.2166003684592898,27.70201299179714,0.27438916974126837,0.4662,97492.17774706552,1.0,0.0,Current
20260715_jhetero_high_k2_j1_rep2,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,1,2,20,20260715,5000,3.0,1.0,0.2864,0.6215925206344435,0.21663470835524112,27.537716781819228,0.273411460779354,0.5298,94721.47758637517,0.946834151057862,0.053165848942138,Current
20260715_jhetero_high_k2_j2_rep2,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,2,2,20,20260715,5000,3.0,2.0,0.0914,0.6215925206344435,0.21663470835524112,27.537716781819228,0.273411460779354,0.4672,99832.4255315059,0.9979230928906787,0.0020769071093212567,Current
20260715_jhetero_high_k2_j4_rep2,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,4,2,20,20260715,5000,3.0,3.0,0.0046,0.6215925206344435,0.21663470835524112,27.537716781819228,0.273411460779354,0.4616,100040.19973355043,1.0,0.0,Current
20260715_jhetero_high_k2_j8_rep2,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,8,2,20,20260715,5000,3.0,3.0,0.0,0.6215925206344435,0.21663470835524112,27.537716781819228,0.273411460779354,0.4616,100040.19973355043,1.0,0.0,Current
20260715_jhetero_high_k2_j16_rep2,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,16,2,20,20260715,5000,3.0,3.0,0.0,0.6215925206344435,0.21663470835524112,27.537716781819228,0.273411460779354,0.4616,100040.19973355043,1.0,0.0,Current
20260715_jhetero_high_k2_j1_rep3,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,1,3,20,20260715,5000,3.0,1.0,0.287,0.6299144212064736,0.2173304215556349,28.41520574684981,0.27689697954033826,0.5298,96355.79652828275,0.9527605614198743,0.04723943858012569,Current
20260715_jhetero_high_k2_j2_rep3,j_bound_heterogeneous_v3,control_plane_simulation,780e505b2caabcf996166ac4a59b30740304415f,dispatcher-level candidate utility model,CPU-only; no vLLM,high,2,2,3,20,20260715,5000,3.0,2.0,0.0928,0.6299144212064736,0.2173304215556349,28.41520574684981,0.27689697954033826,0.4694,100962.50716190283,0.9983114506006665,0.0016885493993334492,Current
