experiment,evidence_type,locality,K,J,n_reps,status,saved_vs_unbounded_ratio_mean,saved_vs_unbounded_ratio_ci95_low,saved_vs_unbounded_ratio_ci95_high,quality_loss_due_to_J_mean,quality_loss_due_to_J_ci95_low,quality_loss_due_to_J_ci95_high,fallback_rate_mean,fallback_rate_ci95_low,fallback_rate_ci95_high,saved_prefill_ms_total_mean,saved_prefill_ms_total_ci95_low,saved_prefill_ms_total_ci95_high,raw_candidate_fanout_p95_mean,raw_candidate_fanout_p95_ci95_low,raw_candidate_fanout_p95_ci95_high,evaluated_candidate_fanout_p95_mean,evaluated_candidate_fanout_p95_ci95_low,evaluated_candidate_fanout_p95_ci95_high,fraction_truncated_mean,fraction_truncated_ci95_low,fraction_truncated_ci95_high
j_bound_heterogeneous_v3,control_plane_simulation,high,2,1,20,Current,0.9525678616127445,0.9510157073950959,0.9542943431930684,0.04743213838725547,0.045901197895955766,0.04892013224205253,0.52595,0.52349,0.52817,94949.39976423945,94009.58635839552,95834.77948948085,3.0,3.0,3.0,1.0,1.0,1.0,0.2797,0.27731,0.28173
j_bound_heterogeneous_v3,control_plane_simulation,high,2,2,20,Current,0.998059677612239,0.9977362314117999,0.9983543645001709,0.0019403223877609466,0.0016432849629230146,0.0022517138931949497,0.47021999999999997,0.46787,0.47245,99483.00874973154,98525.94426172212,100418.8834676255,3.0,3.0,3.0,2.0,2.0,2.0,0.09267,0.09103,0.09443
j_bound_heterogeneous_v3,control_plane_simulation,high,2,4,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.46482,0.46279,0.46707,99676.64581492404,98749.38224565618,100611.85984023422,3.0,3.0,3.0,3.0,3.0,3.0,0.00402,0.0037199999999999998,0.00433
j_bound_heterogeneous_v3,control_plane_simulation,high,2,8,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.46482,0.46273,0.46713,99676.64581492404,98715.30602885869,100633.52275450299,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
j_bound_heterogeneous_v3,control_plane_simulation,high,2,16,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.46482,0.46251,0.46705,99676.64581492404,98739.83700359963,100625.66275847546,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
j_bound_heterogeneous_v3,control_plane_simulation,high,4,1,20,Current,0.9406981519401945,0.9381644093989863,0.9429090490154384,0.059301848059805554,0.05715730035258098,0.0618625848507128,0.46524,0.46246,0.46775,113512.38609735468,112340.2968518752,114782.29549540005,3.0,3.0,3.0,1.0,1.0,1.0,0.37136,0.3682,0.37428
j_bound_heterogeneous_v3,control_plane_simulation,high,4,2,20,Current,0.9968635824353193,0.9964559835412017,0.9973142986630836,0.0031364175646807733,0.002712386103752154,0.003556626523138067,0.39009,0.38774000000000003,0.39245,120286.4868146058,119171.66892342232,121480.21092105802,3.0,3.0,3.0,2.0,2.0,2.0,0.14882,0.14648,0.15154
j_bound_heterogeneous_v3,control_plane_simulation,high,4,4,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.38144,0.37918999999999997,0.38356,120664.9552787867,119524.47026888763,121872.8852822888,3.0,3.0,3.0,3.0,3.0,3.0,0.01066,0.01008,0.01126
j_bound_heterogeneous_v3,control_plane_simulation,high,4,8,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.38140999999999997,0.37923,0.38345,120664.9552787867,119542.7436210429,121879.28636125594,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
j_bound_heterogeneous_v3,control_plane_simulation,high,4,16,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.38140999999999997,0.37926,0.38356999999999997,120664.9552787867,119598.38130985392,121805.93808433201,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
j_bound_heterogeneous_v3,control_plane_simulation,high,8,1,20,Current,0.9237551352749571,0.9213704586621544,0.9260036039057243,0.07624486472504285,0.07404421673720327,0.07871797420141331,0.38126,0.37789,0.38526,147537.73352719235,145768.1066031356,149124.42879768708,4.0,4.0,4.0,1.0,1.0,1.0,0.53565,0.53364,0.53769
j_bound_heterogeneous_v3,control_plane_simulation,high,8,2,20,Current,0.9946209426074397,0.9940764094585485,0.9950877109204169,0.005379057392560252,0.004913285561868515,0.0058841500588813715,0.27414,0.27158,0.27696,158843.62136655147,157286.85579959073,160337.4422384547,4.0,4.0,4.0,2.0,2.0,2.0,0.28636,0.28464,0.28805000000000003
j_bound_heterogeneous_v3,control_plane_simulation,high,8,4,20,Current,0.9999945294274124,0.9999854409973835,1.0,5.470572587626499e-06,0.0,1.455900261651458e-05,0.25675,0.25443,0.25941,159701.27819371907,158127.16679096306,161349.9821267498,4.0,4.0,4.0,4.0,4.0,4.0,0.0403,0.03916,0.04162
j_bound_heterogeneous_v3,control_plane_simulation,high,8,8,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.25663,0.25429,0.25931,159702.17236234012,158243.84152119068,161332.27172989267,4.0,4.0,4.0,4.0,4.0,4.0,5e-05,2e-05,9e-05
j_bound_heterogeneous_v3,control_plane_simulation,high,8,16,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.25663,0.25428,0.25937,159702.17236234012,158153.9202056008,161236.2330181748,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
j_bound_heterogeneous_v3,control_plane_simulation,high,16,1,20,Current,0.8948942043185655,0.892309547391282,0.8973862246764999,0.10510579568143456,0.10277125454448549,0.10769249591380768,0.29118,0.28856000000000004,0.29395,200556.95009628596,199144.71197043615,201866.61485066955,6.0,6.0,6.0,1.0,1.0,1.0,0.74182,0.73923,0.7442
j_bound_heterogeneous_v3,control_plane_simulation,high,16,2,20,Current,0.9898040172122211,0.9889631639054721,0.9905901871449784,0.010195982787778923,0.009373226898725315,0.010991851872777651,0.14021,0.13841,0.14196,221825.19078182554,220412.77286412433,223061.1332708039,6.0,6.0,6.0,2.0,2.0,2.0,0.54655,0.54309,0.55015
j_bound_heterogeneous_v3,control_plane_simulation,high,16,4,20,Current,0.99991608510748,0.9998766706459775,0.9999516829486543,8.391489251998321e-05,4.744510375819537e-05,0.0001227501946688574,0.10614,0.10485,0.10739,224091.88206985014,222623.57599313126,225344.10903352694,6.0,6.0,6.0,4.0,4.0,4.0,0.17915,0.17648,0.18194
j_bound_heterogeneous_v3,control_plane_simulation,high,16,8,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.10513,0.10371,0.10644,224110.62088237167,222732.35525322915,225397.9311348405,6.0,6.0,6.0,6.0,6.0,6.0,0.00172,0.0015300000000000001,0.00192
j_bound_heterogeneous_v3,control_plane_simulation,high,16,16,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.10513,0.10374,0.10646,224110.62088237167,222680.11722921033,225392.6370001925,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0
j_bound_heterogeneous_v3,control_plane_simulation,low,2,1,20,Current,0.8531434853128885,0.8504081116107369,0.8558301079087222,0.14685651468711142,0.14422831734044067,0.14950185285444345,0.29827,0.29504,0.30184,257209.78757709567,255361.46430387683,259036.29031339136,9.0,9.0,9.0,1.0,1.0,1.0,0.91674,0.91523,0.91833
j_bound_heterogeneous_v3,control_plane_simulation,low,2,2,20,Current,0.9794842942493502,0.9786806027534618,0.9802514808812253,0.020515705750649777,0.019734084461534195,0.021344481847030996,0.10909,0.10667,0.11176,295292.1163482571,293483.0774001789,297027.3930676645,9.0,9.0,9.0,2.0,2.0,2.0,0.80873,0.80599,0.81133
j_bound_heterogeneous_v3,control_plane_simulation,low,2,4,20,Current,0.9997521819735192,0.9997029571719331,0.9998044567448516,0.0002478180264807569,0.00019489953394193267,0.00029871084986553287,0.05336,0.051789999999999996,0.05499,301399.0639904344,299758.2186893397,303143.8152767789,9.0,9.0,9.0,4.0,4.0,4.0,0.49529,0.49221,0.49818999999999997
j_bound_heterogeneous_v3,control_plane_simulation,low,2,8,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.05131,0.04979,0.05287,301473.75382203603,299693.43127891875,303169.46354540583,9.0,9.0,9.0,8.0,8.0,8.0,0.06703,0.06568,0.06834
j_bound_heterogeneous_v3,control_plane_simulation,low,2,16,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.0513,0.04975,0.05295,301473.75382203603,299772.98792054836,303228.1956007685,9.0,9.0,9.0,9.0,9.0,9.0,5e-05,0.0,0.00011
j_bound_heterogeneous_v3,control_plane_simulation,low,4,1,20,Current,0.83609610267775,0.8338070406131602,0.8383809714509751,0.16390389732224994,0.16151957762343036,0.16638172484749508,0.2962,0.29421,0.29817,285559.89030094416,283904.7948613689,287067.13735109824,11.0,11.0,11.0,1.0,1.0,1.0,0.95414,0.9528800000000001,0.95534
j_bound_heterogeneous_v3,control_plane_simulation,low,4,2,20,Current,0.9751502709568621,0.9743714671420028,0.9758881702882323,0.024849729043137862,0.024067677448895538,0.025632121516724192,0.09536,0.0939,0.09676,333052.2975600193,331413.928313582,334627.4512375011,11.0,11.0,11.0,2.0,2.0,2.0,0.89052,0.88867,0.89227
j_bound_heterogeneous_v3,control_plane_simulation,low,4,4,20,Current,0.9994931609385661,0.9994207108226308,0.9995632799052889,0.0005068390614339084,0.0004343395715317576,0.0005775531735741856,0.03244,0.03143,0.03346,341364.257553257,339878.151113204,342913.5438333324,11.0,11.0,11.0,4.0,4.0,4.0,0.66538,0.66271,0.66805
j_bound_heterogeneous_v3,control_plane_simulation,low,4,8,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.02904,0.02815,0.02982,341537.33044237236,340012.1610832156,343056.584792044,11.0,11.0,11.0,8.0,8.0,8.0,0.16884,0.16652,0.1716
j_bound_heterogeneous_v3,control_plane_simulation,low,4,16,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.02904,0.02812,0.02991,341537.33044237236,340051.203427643,343042.7109959855,11.0,11.0,11.0,11.0,11.0,11.0,0.0004,0.00028000000000000003,0.00053
j_bound_heterogeneous_v3,control_plane_simulation,low,8,1,20,Current,0.8083700288496846,0.8055184526412378,0.8115363826174642,0.1916299711503155,0.18864395210039342,0.19453755319326047,0.29642,0.29285,0.29942,327455.7868697861,325590.3098632252,329566.4924601964,14.0,14.0,14.0,1.0,1.0,1.0,0.98229,0.98124,0.98333
j_bound_heterogeneous_v3,control_plane_simulation,low,8,2,20,Current,0.9658468621731018,0.9645834326077286,0.9672980477135079,0.03415313782689827,0.03278517739589488,0.03549788252245014,0.08727,0.08559,0.08885,391240.358408076,389555.06936515134,393050.3322139398,14.0,14.0,14.0,2.0,2.0,2.0,0.95868,0.95746,0.95991
j_bound_heterogeneous_v3,control_plane_simulation,low,8,4,20,Current,0.9990617938596199,0.9988641261099007,0.9992471376146991,0.0009382061403800527,0.0007556157862822565,0.0011279765542178762,0.01593,0.015260000000000001,0.01657,404692.5511283932,403077.0554675216,406326.88211023645,14.0,14.0,14.0,4.0,4.0,4.0,0.85635,0.85384,0.85883
j_bound_heterogeneous_v3,control_plane_simulation,low,8,8,20,Current,0.9999977131074729,0.9999931393224188,1.0,2.2868925270704848e-06,0.0,6.860677581211454e-06,0.01144,0.01077,0.01208,405071.7438920856,403483.7230614958,406679.0052804149,14.0,14.0,14.0,8.0,8.0,8.0,0.44658,0.44372,0.44918
j_bound_heterogeneous_v3,control_plane_simulation,low,8,16,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.01141,0.01074,0.012069999999999999,405072.6776949778,403563.54271406535,406757.98744203284,14.0,14.0,14.0,14.0,14.0,14.0,0.01151,0.01085,0.01222
j_bound_heterogeneous_v3,control_plane_simulation,low,16,1,20,Current,0.7729804169155492,0.7702594169107096,0.7759964202065535,0.22701958308445078,0.22404207525732525,0.2296189506095473,0.30569,0.3029,0.30862,375189.4856545493,373476.6832713655,377122.8098364355,20.9,20.75,21.0,1.0,1.0,1.0,0.99284,0.99249,0.9932300000000001
j_bound_heterogeneous_v3,control_plane_simulation,low,16,2,20,Current,0.9518873531171029,0.9506706095265565,0.9531284374249582,0.04811264688289702,0.046858640668349424,0.04935551981271435,0.08773,0.08567,0.08967,462022.30548419344,460828.4713024519,463283.1453319405,20.9,20.75,21.0,2.0,2.0,2.0,0.98723,0.9867,0.98777
j_bound_heterogeneous_v3,control_plane_simulation,low,16,4,20,Current,0.9980820488850841,0.9979104836815705,0.9982567742453524,0.001917951114915867,0.001733899190632285,0.0020956401511464952,0.00907,0.00848,0.009600000000000001,484441.44120612735,483596.66590739234,485347.6033101272,20.9,20.75,21.0,4.0,4.0,4.0,0.96256,0.96119,0.96387
j_bound_heterogeneous_v3,control_plane_simulation,low,16,8,20,Current,0.9999969251354448,0.9999907754063344,1.0,3.0748645552030163e-06,0.0,9.22459366560905e-06,0.00339,0.00309,0.0037099999999999998,485370.9376714983,484368.09079078207,486253.34040064213,20.9,20.75,21.0,8.0,8.0,8.0,0.81973,0.81724,0.82214
j_bound_heterogeneous_v3,control_plane_simulation,low,16,16,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.00336,0.00307,0.00366,485372.4329893611,484411.04893509333,486317.85915133904,20.9,20.75,21.0,16.0,16.0,16.0,0.21565,0.21363000000000001,0.21758
j_bound_heterogeneous_v3,control_plane_simulation,medium,2,1,20,Current,0.9056922066658871,0.9039257027534879,0.9075092949146145,0.09430779333411286,0.09252134236740521,0.09611543776625507,0.35855,0.35597,0.36119,171934.37635234045,170708.47280863803,173236.590741735,5.0,5.0,5.0,1.0,1.0,1.0,0.66507,0.66224,0.66813
j_bound_heterogeneous_v3,control_plane_simulation,medium,2,2,20,Current,0.9920948055191623,0.9914692724439729,0.992695791810366,0.007905194480837733,0.007341361773762035,0.008506793099925655,0.2245,0.22201,0.22704,188333.77797853455,187116.13992444353,189637.2866070137,5.0,5.0,5.0,2.0,2.0,2.0,0.41995,0.41712,0.42309
j_bound_heterogeneous_v3,control_plane_simulation,medium,2,4,20,Current,0.9999668022227709,0.9999433581997257,0.9999862328907336,3.319777722908231e-05,1.3222062084792583e-05,5.829728077748196e-05,0.19808,0.19582,0.20027,189829.02478714523,188505.1441486825,191140.33111329464,5.0,5.0,5.0,4.0,4.0,4.0,0.09798,0.09647,0.09969
j_bound_heterogeneous_v3,control_plane_simulation,medium,2,8,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.19769,0.19535,0.19996,189835.35919588566,188612.3316847136,191203.24193276907,5.0,5.0,5.0,5.0,5.0,5.0,0.00083,0.00069,0.00098
j_bound_heterogeneous_v3,control_plane_simulation,medium,2,16,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.19769,0.19525,0.19994,189835.35919588566,188462.05033126584,191178.6729400173,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
j_bound_heterogeneous_v3,control_plane_simulation,medium,4,1,20,Current,0.8894886889279318,0.8875807011061578,0.891182353907082,0.11051131107206824,0.10871813882538073,0.11231957408943469,0.32926,0.32628,0.33231,197827.37256040866,196542.53375748225,199068.8992648355,6.0,6.0,6.0,1.0,1.0,1.0,0.76732,0.7648199999999999,0.76965
j_bound_heterogeneous_v3,control_plane_simulation,medium,4,2,20,Current,0.9897874170516597,0.9890118976416599,0.9905511143168338,0.010212582948340276,0.009422421325981992,0.010962597919257192,0.17241,0.16976,0.17511000000000002,220131.93400783665,218772.887346437,221454.51412129318,6.0,6.0,6.0,2.0,2.0,2.0,0.55428,0.5516,0.55713
j_bound_heterogeneous_v3,control_plane_simulation,medium,4,4,20,Current,0.9999183538915909,0.9998458469832452,0.999972302986422,8.164610840912855e-05,2.483733740032037e-05,0.0001562485967180482,0.13726,0.1351,0.13934,222384.36633081443,221090.6785991735,223820.62061419914,6.0,6.0,6.0,4.0,4.0,4.0,0.18323,0.18112999999999999,0.18529
j_bound_heterogeneous_v3,control_plane_simulation,medium,4,8,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.13651,0.13424,0.13867,222402.5131071706,221145.00867276886,223708.07479845546,6.0,6.0,6.0,6.0,6.0,6.0,0.00378,0.00347,0.00408
j_bound_heterogeneous_v3,control_plane_simulation,medium,4,16,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.13651,0.13435,0.13865,222402.5131071706,220997.43712027953,223730.40243101132,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0
j_bound_heterogeneous_v3,control_plane_simulation,medium,8,1,20,Current,0.8637904605666019,0.8613886243357192,0.8663927828474366,0.13620953943339809,0.1335635395973696,0.13853497590125746,0.30188,0.29854,0.30543,241074.96200604134,239481.2427707703,242803.84701970054,8.0,8.0,8.0,1.0,1.0,1.0,0.88556,0.88352,0.8877
j_bound_heterogeneous_v3,control_plane_simulation,medium,8,2,20,Current,0.9831951538066105,0.9824726192214318,0.983877476624669,0.016804846193389546,0.016148274251160864,0.017550638094653993,0.11824,0.11665,0.11993,274390.01730254054,272778.8028535452,276019.8913326236,8.0,8.0,8.0,2.0,2.0,2.0,0.75311,0.75082,0.75522
j_bound_heterogeneous_v3,control_plane_simulation,medium,8,4,20,Current,0.9998131458858596,0.9997562000495038,0.9998639804665209,0.0001868541141404229,0.00013433043744364258,0.00024133963124672723,0.06868,0.06762,0.06978,279028.13805642584,277556.6866308287,280588.24380518706,8.0,8.0,8.0,4.0,4.0,4.0,0.40419,0.40071,0.4081
j_bound_heterogeneous_v3,control_plane_simulation,medium,8,8,20,Current,1.0,1.0,1.0,0.0,0.0,0.0,0.0667,0.06563,0.06782,279080.40202467237,277496.6940857805,280624.4947952726,8.0,8.0,8.0,8.0,8.0,8.0,0.02946,0.02872,0.030270000000000002
