experiment,evidence_type,policy_family,interface,K,n_reps,status,incremental_saved_prefill_tokens_total_mean,incremental_saved_prefill_tokens_total_ci95_low,incremental_saved_prefill_tokens_total_ci95_high,saved_prefill_tokens_total_mean,saved_prefill_tokens_total_ci95_low,saved_prefill_tokens_total_ci95_high,native_counterfactual_incremental_tokens_total_mean,native_counterfactual_incremental_tokens_total_ci95_low,native_counterfactual_incremental_tokens_total_ci95_high,dispatcher_index_bytes_mean,dispatcher_index_bytes_ci95_low,dispatcher_index_bytes_ci95_high,affinity_selected_rate_mean,affinity_selected_rate_ci95_low,affinity_selected_rate_ci95_high,incremental_saved_vs_exact_ratio_mean,incremental_saved_vs_exact_ratio_ci95_low,incremental_saved_vs_exact_ratio_ci95_high,incremental_saved_vs_load_ratio_mean,incremental_saved_vs_load_ratio_ci95_low,incremental_saved_vs_load_ratio_ci95_high
cross_policy_interface_v4,trace_derived_simulation,dualmap,exact,inf,10,Current,149671.6,140782.3,158016.3,247975.6,238525.7,257105.2,149671.6,140894.4,158443.2,31737.6,31468.8,32000.0,0.16744791666666667,0.159375,0.17473958333333334,1.0,1.0,1.0,1.5721971982032186,1.5023486124242373,1.6584610722222655
cross_policy_interface_v4,trace_derived_simulation,dualmap,load_only,inf,10,Current,95948.8,87609.9,103534.3,194252.8,186267.3,202003.8,95948.8,88561.1,103590.5,384.0,384.0,384.0,0.0,0.0,0.0,0.6400427189027913,0.6080865232582687,0.668371628032169,1.0,1.0,1.0
cross_policy_interface_v4,trace_derived_simulation,dualmap,sketch_coverage,16,10,Current,138510.7,130412.1,146831.9,236814.7,228276.0,245002.7,78772.6,69470.7,86146.2,4480.0,4480.0,4480.0,0.13541666666666666,0.128125,0.14140625,0.9255728174004794,0.9137092397241179,0.9372909050492049,1.4534097512537778,1.3997410205796892,1.5174199793950185
cross_policy_interface_v4,trace_derived_simulation,dualmap,sketch_coverage,32,10,Current,143546.2,134946.9,151881.3,241850.2,233395.9,251030.7,74349.8,69406.5,79160.9,8576.0,8576.0,8576.0,0.16276041666666666,0.15572916666666667,0.16953125,0.9590053277554997,0.950370076168706,0.965623167965939,1.5075196982783312,1.4396053624859082,1.5865875754978735
cross_policy_interface_v4,trace_derived_simulation,dualmap,sketch_coverage,8,10,Current,125146.4,115824.5,134954.5,223450.4,214315.0,233139.2,76271.7,69103.6,84188.4,2432.0,2432.0,2432.0,0.09296875,0.08645833333333333,0.1,0.8352719258978141,0.8051611150878292,0.8641886850192821,1.3111462716826816,1.2434952510148745,1.3714952290677853
cross_policy_interface_v4,trace_derived_simulation,p2c,exact,inf,10,Current,140887.6,132041.9,149439.1,239191.6,230661.5,247662.4,36301.5,30754.9,41575.2,33152.0,33152.0,33152.0,0.16588541666666667,0.15807291666666667,0.17291666666666666,1.0,1.0,1.0,2.8953126588020544,2.6385796413238425,3.1484461731762297
cross_policy_interface_v4,trace_derived_simulation,p2c,load_only,inf,10,Current,50148.6,42928.2,57254.7,148452.6,141813.7,155687.6,50148.6,43391.1,57066.8,384.0,384.0,384.0,0.0,0.0,0.0,0.35237557225450106,0.32220827857711365,0.38473773326394145,1.0,1.0,1.0
cross_policy_interface_v4,trace_derived_simulation,p2c,sketch_coverage,16,10,Current,133778.4,125824.3,141902.3,232082.4,224343.5,240397.1,36930.2,30275.6,42463.9,4480.0,4480.0,4480.0,0.13932291666666666,0.13541666666666669,0.14296875,0.9499477154323835,0.9376643635351144,0.9621614019496192,2.753448901238716,2.4982189290389356,2.9994979006352693
cross_policy_interface_v4,trace_derived_simulation,p2c,sketch_coverage,32,10,Current,140190.1,131434.5,149321.0,238494.1,229113.0,247851.4,36526.4,32140.5,41238.6,8576.0,8576.0,8576.0,0.16354166666666667,0.15546875,0.1703125,0.9948355924676995,0.9871449969090712,1.002029709231639,2.879957868403126,2.63204478447837,3.1332982729602943
cross_policy_interface_v4,trace_derived_simulation,p2c,sketch_coverage,8,10,Current,109972.7,99449.2,120805.8,208276.7,198458.7,218581.3,42992.4,37411.0,50427.9,2432.0,2432.0,2432.0,0.09010416666666667,0.08255208333333333,0.09869791666666666,0.7796369492494905,0.7347737328304401,0.8188211092445422,2.258349573751596,2.023258384534814,2.5095167883464806
