request_id,session_hash,step_number,prefix_tokens,prefix_chain_depth,tool_span_count_before,tool_latency_ms_before,discard
0,f44be9d92d2b997cd5bb,1,298,2,0,0,True
1,7a0b83554fbb7b082000,1,301,2,0,0,True
2,7e5df46ac9ca8962193a,1,299,2,0,0,True
3,ec992828b9da445e821d,1,309,2,0,0,True
4,c7d273135d0a6b01d427,1,290,2,0,0,True
5,2408153fb5940aa1feb8,1,291,2,0,0,True
6,350de7d097c9a632ced9,1,287,2,0,0,True
7,6940b43a0b7cac709ace,1,297,2,0,0,True
8,dde9c9d41b8d821589d1,1,289,2,0,0,True
9,1578fd7703ecf72f84de,1,305,2,0,0,True
10,c8c040a2b56e1262bff2,1,296,2,0,0,True
11,8d49f0948f20afde6d49,1,314,2,0,0,True
12,fd8a3d371616de8f3565,1,309,2,0,0,True
13,91fb1d552a4dc309664d,1,298,2,0,0,True
14,563d7ffe327e2a11a704,1,306,2,0,0,True
15,395aee3799c692c16284,1,292,2,0,0,True
16,f584466d606b8f88c74f,1,292,2,0,0,True
17,fd8a3d371616de8f3565,2,2968,3,1,13.024834,True
18,85ca7da8fc642245c64f,1,301,2,0,0,True
19,627ac4657cdf26d2b829,1,293,2,0,0,True
20,9635ce9c08509898cbee,1,298,2,0,0,True
21,5ec00024c982dc8afea5,1,294,2,0,0,True
22,365d398c438b92a6598f,1,299,2,0,0,True
23,3946cb6e6bd21c6ba170,1,300,2,0,0,True
24,0926a1975559ff6b80c9,1,298,2,0,0,True
25,7a0b83554fbb7b082000,2,752,3,1,13.246584,True
26,0926a1975559ff6b80c9,2,1498,3,1,13.780875,True
27,fd8a3d371616de8f3565,3,3795,4,2,24.460084000000002,True
28,8b4c2e6b8616b08640fa,1,298,2,0,0,True
29,ef58c5ba228f2cf369d5,1,297,2,0,0,True
30,388cb360832f89a28b80,1,302,2,0,0,True
31,9a2a91b0e19ff88c4cf7,1,294,2,0,0,True
32,0858387a84b615badb38,1,293,2,0,0,True
33,546629680207c644ea0b,1,291,2,0,0,True
34,546629680207c644ea0b,2,908,3,1,14.362166,True
35,0276f38a025acc6385e1,1,315,2,0,0,True
36,fdeb9d16d8b68253bd9a,1,299,2,0,0,True
37,9d547d725a037113db69,1,303,2,0,0,True
38,4cb0b190b931b18057ba,1,306,2,0,0,True
39,dde9c9d41b8d821589d1,2,950,3,1,0.162959,True
40,befefaf2907326fc088d,1,288,2,0,0,True
41,fcea4cd1cf623d29fddb,1,298,2,0,0,True
42,86023f504d7b56fe4a74,1,292,2,0,0,True
43,4aeb57c645ea3ad595f9,1,295,2,0,0,True
44,e7a2f0db3bc4f24270bc,1,309,2,0,0,True
45,1637c18ff3f5657a61be,1,306,2,0,0,True
46,6d16c91c037f9a0f64be,1,324,2,0,0,True
47,c5c57541d8115d97a059,1,302,2,0,0,True
48,4b9f72cffe09db36fd5f,1,296,2,0,0,True
49,75255037aed0fec90ba1,1,304,2,0,0,True
50,588a94c4ef39e309ab60,1,295,2,0,0,True
51,c2502b8a0c3360c4e4cb,1,285,2,0,0,True
52,ab45ba91f42476a1c172,1,298,2,0,0,True
53,b8b53195ce17fdb21c66,1,303,2,0,0,True
54,b074c112fdfea2cf2387,1,315,2,0,0,True
55,ff626bf40a35a2108c20,1,301,2,0,0,True
56,5d258bc3be1bbac74c88,1,301,2,0,0,True
57,4223fc60ef0893c4ac11,1,301,2,0,0,True
58,48ed61ce55b3a3f12a4d,1,303,2,0,0,True
59,830a123b96f5af1bb901,1,294,2,0,0,True
60,a7ea31b2ee87a09f8623,1,299,2,0,0,True
61,847d6aaacb18080f28a1,1,297,2,0,0,True
62,ff626bf40a35a2108c20,2,4096,3,1,16.198958,True
63,adc6a068b9d0e2c3e404,1,308,2,0,0,True
64,5d258bc3be1bbac74c88,2,2024,3,1,18.846709,True
65,d85ffc0df82ac89f0e9c,1,284,2,0,0,True
66,f854499d9619caf6c6eb,1,289,2,0,0,True
67,568f696d7806b406fd91,1,298,2,0,0,True
68,3e68fc554b86c80ebcc8,1,289,2,0,0,True
69,bca5e82a2acaf4957662,1,302,2,0,0,True
70,173f152a4444f668f558,1,297,2,0,0,True
71,adc6a068b9d0e2c3e404,2,1323,3,1,0.09975,True
72,85ca7da8fc642245c64f,2,1978,3,1,13.700208,True
73,315e691f6f276f777726,1,303,2,0,0,True
74,7ce3588057e03f8cf84c,1,304,2,0,0,True
75,8788c61ee591b172a655,1,288,2,0,0,True
76,4223fc60ef0893c4ac11,2,612,3,1,13.296292,True
77,6d5fc03df3b53c97d539,1,309,2,0,0,True
78,f9b3b1f8af9f260a577a,1,320,2,0,0,True
79,395aee3799c692c16284,2,1057,3,1,11.347292,True
80,bca5e82a2acaf4957662,2,3306,3,1,94.944917,True
81,db910abb8056f80cec03,1,292,2,0,0,True
82,886b7220e2bbab112387,1,327,2,0,0,True
83,763e9668a3e955754288,1,306,2,0,0,True
84,9d547d725a037113db69,2,2558,3,1,13.903,True
