experiment,policy,K,locality,n_instances,n_requests,reuse_hit_rate,dual_hash_hit_rate,visible_affinity_hit_rate,candidate_affinity_chosen_rate,fallback_to_dual_load_rate,saved_ms_total,candidate_fanout_p95,load_imbalance_p95,advertised_entries_end,metadata_snapshot_bytes_end,claim_relevance
dualmap_cpu_trace,least_load,full,high,64,12000,0.6983,0.0,0.0,0.0,0.0,377100.0,0,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,dualmap_load,full,high,64,12000,0.9458,0.9458,0.0,0.0,0.0,510750.0,2,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,exact_affinity_dualmap,full,high,64,12000,0.9435,0.9435,0.9435,0.9435,0.0565,509490.0,2,0,678,49536,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,2,high,64,12000,0.946,0.946,0.8672,0.8672,0.1328,510840.0,2,0,119,13760,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,4,high,64,12000,0.9426,0.9426,0.9018,0.9018,0.0983,508995.0,2,0,226,20608,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,8,high,64,12000,0.947,0.947,0.935,0.935,0.065,511380.0,2,0,396,31488,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,16,high,64,12000,0.9461,0.9461,0.9445,0.9445,0.0555,510885.0,2,0,609,45120,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,least_load,full,medium,64,12000,0.2457,0.0,0.0,0.0,0.0,132705.0,0,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,dualmap_load,full,medium,64,12000,0.9018,0.9018,0.0,0.0,0.0,486945.0,2,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,exact_affinity_dualmap,full,medium,64,12000,0.9015,0.9015,0.9015,0.9015,0.0985,486810.0,2,0,1182,81792,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,2,medium,64,12000,0.9013,0.9013,0.4202,0.4202,0.5798,486720.0,2,0,122,13952,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,4,medium,64,12000,0.902,0.902,0.5392,0.5392,0.4608,487080.0,2,0,240,21504,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,8,medium,64,12000,0.9012,0.9012,0.6613,0.6613,0.3387,486630.0,2,0,449,34880,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,16,medium,64,12000,0.9021,0.9021,0.7986,0.7986,0.2014,487125.0,2,0,789,56640,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,least_load,full,low,64,12000,0.0724,0.0,0.0,0.0,0.0,39105.0,0,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,dualmap_load,full,low,64,12000,0.9,0.9,0.0,0.0,0.0,486000.0,2,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,exact_affinity_dualmap,full,low,64,12000,0.9,0.9,0.9,0.9,0.1,486000.0,2,0,1200,82944,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,2,low,64,12000,0.9,0.9,0.0959,0.0959,0.9041,486000.0,2,0,122,13952,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,4,low,64,12000,0.9,0.9,0.1978,0.1978,0.8022,486000.0,2,0,240,21504,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,8,low,64,12000,0.9,0.9,0.3545,0.3545,0.6455,486000.0,2,0,450,34944,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,16,low,64,12000,0.9,0.9,0.6155,0.6155,0.3845,486000.0,2,0,792,56832,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
