experiment,policy,K,locality,n_instances,n_requests,reuse_hit_rate,dual_hash_hit_rate,visible_affinity_hit_rate,candidate_affinity_chosen_rate,fallback_to_dual_load_rate,saved_ms_total,candidate_fanout_p95,load_imbalance_p95,advertised_entries_end,metadata_snapshot_bytes_end,claim_relevance
dualmap_cpu_trace,least_load,full,high,64,12000,0.6999,0.0,0.0,0.0,0.0,377955.0,0,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,dualmap_load,full,high,64,12000,0.9429,0.9429,0.0,0.0,0.0,509175.0,2,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,exact_affinity_dualmap,full,high,64,12000,0.9437,0.9437,0.9437,0.9437,0.0563,509580.0,2,0,676,49408,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,2,high,64,12000,0.9433,0.9433,0.8617,0.8617,0.1383,509355.0,2,0,119,13760,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,4,high,64,12000,0.9437,0.9437,0.9021,0.9021,0.0979,509625.0,2,0,225,20544,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,8,high,64,12000,0.9456,0.9456,0.9327,0.9327,0.0673,510615.0,2,0,401,31808,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,16,high,64,12000,0.9441,0.9441,0.9434,0.9434,0.0566,509805.0,2,0,632,46592,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,least_load,full,medium,64,12000,0.2378,0.0,0.0,0.0,0.0,128430.0,0,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,dualmap_load,full,medium,64,12000,0.9011,0.9011,0.0,0.0,0.0,486585.0,2,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,exact_affinity_dualmap,full,medium,64,12000,0.9015,0.9015,0.9015,0.9015,0.0985,486810.0,2,0,1182,81792,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,2,medium,64,12000,0.9016,0.9016,0.4173,0.4173,0.5827,486855.0,2,0,122,13952,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,4,medium,64,12000,0.9022,0.9022,0.5343,0.5343,0.4657,487215.0,2,0,240,21504,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,8,medium,64,12000,0.9013,0.9013,0.6607,0.6607,0.3392,486720.0,2,0,450,34944,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,16,medium,64,12000,0.9017,0.9017,0.7971,0.7971,0.2029,486900.0,2,0,790,56704,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,least_load,full,low,64,12000,0.0745,0.0,0.0,0.0,0.0,40230.0,0,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,dualmap_load,full,low,64,12000,0.9,0.9,0.0,0.0,0.0,486000.0,2,0,0,6144,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,exact_affinity_dualmap,full,low,64,12000,0.9,0.9,0.9,0.9,0.1,486000.0,2,0,1200,82944,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,2,low,64,12000,0.9,0.9,0.0981,0.0981,0.9019,486000.0,2,0,122,13952,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,4,low,64,12000,0.9001,0.9001,0.1916,0.1916,0.8084,486045.0,2,0,240,21504,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,8,low,64,12000,0.9,0.9,0.361,0.361,0.639,486000.0,2,0,450,34944,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
dualmap_cpu_trace,sketch_affinity_dualmap,16,low,64,12000,0.9,0.9,0.6201,0.6201,0.3799,486000.0,2,0,792,56832,Tests whether DualMap-style routing preserves the Minimal State Sketch conclusion under a non-toy policy.
