request_id,arrival_time,tenant,model_revision,full_prefix_hash_chain,prefix_length,expected_reuse_coverage,generation_length,locality_class,digest,prompt_namespace,discard
0,0.0,tenant-7,qwen2.5-1.5b-r1,"[""root"", ""tenant-7"", ""p0111""]",256,1.0,16,medium,p0111,20260715_medium_rep6,True
1,0.03,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0232""]",512,0.5,16,medium,p0232,20260715_medium_rep6,True
2,0.06,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0016""]",256,0.5,16,medium,p0016,20260715_medium_rep6,True
3,0.09,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0012""]",512,0.5,16,medium,p0012,20260715_medium_rep6,True
4,0.12,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0014""]",256,0.8333333333333333,16,medium,p0014,20260715_medium_rep6,True
5,0.15,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0009""]",512,0.6666666666666666,16,medium,p0009,20260715_medium_rep6,True
6,0.18,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0004""]",256,0.5,16,medium,p0004,20260715_medium_rep6,True
7,0.21,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0082""]",512,0.8333333333333333,16,medium,p0082,20260715_medium_rep6,True
8,0.24,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0227""]",256,1.0,16,medium,p0227,20260715_medium_rep6,True
9,0.27,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",512,0.6666666666666666,16,medium,p0001,20260715_medium_rep6,True
10,0.3,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0002""]",256,0.8333333333333333,16,medium,p0002,20260715_medium_rep6,True
11,0.32999999999999996,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,medium,p0000,20260715_medium_rep6,True
12,0.36,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0117""]",256,0.6666666666666666,16,medium,p0117,20260715_medium_rep6,True
