experiment_id,rep,baseline_policy,treatment_policy,workload_trace_hash,status,exact_normalized_estimated_saved_prefill,exact_normalized_physical_cached_tokens,delta_mean_ttft_ms,treatment_mean_ttft_ms,delta_ttft_p50_ms,treatment_ttft_p50_ms,delta_ttft_p95_ms,treatment_ttft_p95_ms,delta_dispatcher_index_bytes,treatment_dispatcher_index_bytes,delta_estimated_saved_prefill_tokens_total,treatment_estimated_saved_prefill_tokens_total,delta_physical_cached_tokens_total,treatment_physical_cached_tokens_total,delta_mean_selected_coverage_tokens,treatment_mean_selected_coverage_tokens
20260716_live_k_sketch_coverage_k4_rep0,0,load_only,sketch_coverage_k4,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,Current,0.4945054945054945,0.5047547547547547,117.91948325781254,941.7253439921875,98.84118000000012,1247.102683,101.47885999999994,1522.829546,1024.0,1408,-3584.0,80640.0,-4208.0,96816.0,-32.0,720.0
20260716_live_k_sketch_coverage_k8_rep0,0,load_only,sketch_coverage_k8,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,Current,0.6483516483516484,0.6555722389055723,-40.51088265624992,783.294978078125,13.470528000000058,1161.732031,31.062746999999945,1452.413433,2048.0,2432,21504.0,105728.0,24720.0,125744.0,192.0,944.0
20260716_live_k_sketch_coverage_k16_rep0,0,load_only,sketch_coverage_k16,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,Current,0.9230769230769231,0.9242575909242576,-191.32433415624996,632.481526578125,-952.855409,195.406094,157.54238600000008,1578.893072,4096.0,4480,66304.0,150528.0,76256.0,177280.0,592.0,1344.0
20260716_live_k_sketch_coverage_k32_rep0,0,load_only,sketch_coverage_k32,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,Current,1.0,1.0,-257.04994959374994,566.755911140625,-959.074258,189.187245,130.8956599999999,1552.246346,4928.0,5312,78848.0,163072.0,90784.0,191808.0,704.0,1456.0
20260716_live_k_exact_rep0,0,load_only,exact,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,Current,1.0,1.0,-249.220710140625,574.58515059375,-957.4873709999999,190.774132,78.36519599999997,1499.715882,4928.0,5312,78848.0,163072.0,90784.0,191808.0,704.0,1456.0
20260716_live_k_sketch_coverage_k4_rep1,1,load_only,sketch_coverage_k4,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,Current,0.6021505376344086,0.6098457016899339,0.7391203671875246,835.9816613828125,-36.27655200000004,1201.116664,-15.864906000000019,1529.907431,1024.0,1408,5376.0,100352.0,6144.0,119520.0,48.0,896.0
20260716_live_k_sketch_coverage_k8_rep1,1,load_only,sketch_coverage_k8,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,Current,0.7096774193548387,0.7152420605763736,-44.37336421875,790.869176796875,-99.89736900000003,1137.495847,-8.82738900000004,1536.944948,2048.0,2432,23296.0,118272.0,26800.0,140176.0,208.0,1056.0
20260716_live_k_sketch_coverage_k16_rep1,1,load_only,sketch_coverage_k16,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,Current,0.9139784946236559,0.915911502979835,-152.44525357812495,682.7972874375,-1000.5167439999999,236.876472,61.066156999999976,1606.838494,4096.0,4480,57344.0,152320.0,66128.0,179504.0,512.0,1360.0
20260716_live_k_sketch_coverage_k32_rep1,1,load_only,sketch_coverage_k32,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,Current,1.0,1.0,-293.1953129765625,542.0472280390625,-1050.3478679999998,187.045348,-72.25751500000001,1473.514822,4992.0,5376,71680.0,166656.0,82608.0,195984.0,640.0,1488.0
20260716_live_k_exact_rep1,1,load_only,exact,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,Current,1.0,1.0,-255.47632569531243,579.7662153203125,-1034.0749289999999,203.318287,46.77095799999984,1592.543295,4992.0,5376,71680.0,166656.0,82608.0,195984.0,640.0,1488.0
20260716_live_k_sketch_coverage_k4_rep2,2,load_only,sketch_coverage_k4,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,Current,0.5425531914893617,0.5516126424702934,67.56041595312502,963.1577626796875,61.00886800000012,1316.89452,56.50175399999989,1691.787402,1024.0,1408,-1792.0,91392.0,-2112.0,109184.0,-16.0,816.0
