experiment,evidence_type,coverage_tokens,affinity_queue_ms,policy,n_reps,status,ttft_p50_ms_mean,ttft_p50_ms_ci95_low,ttft_p50_ms_ci95_high,ttft_p95_ms_mean,ttft_p95_ms_ci95_low,ttft_p95_ms_ci95_high,saved_prefill_ms_total_mean,saved_prefill_ms_total_ci95_low,saved_prefill_ms_total_ci95_high,affinity_selected_rate_mean,affinity_selected_rate_ci95_low,affinity_selected_rate_ci95_high,harmful_diversion_rate_mean,harmful_diversion_rate_ci95_low,harmful_diversion_rate_ci95_high,abstention_rate_mean,abstention_rate_ci95_low,abstention_rate_ci95_high
net_benefit_conflict_v4,dispatcher_level_simulation,256,0.0,affinity_first,20,Current,96.62603946265442,96.6122093997852,96.63996428529755,101.52357634154359,101.4927772961718,101.55678801220621,32000.0,32000.0,32000.0,1.0,1.0,1.0,0.02049,0.0195,0.0214,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,256,0.0,exact_guarded,20,Current,96.61658017287989,96.60613094715453,96.62982990544744,101.53624650275331,101.4884696825635,101.58273239318447,31833.600000000002,31818.56,31848.960000000003,0.96846,0.96749,0.9694699999999999,0.00104,0.00084,0.00128,0.03154,0.03057,0.03252
net_benefit_conflict_v4,dispatcher_level_simulation,256,0.0,load_only,20,Current,108.87071312545271,108.83561724188085,108.9100142979488,116.47772524987145,116.45507458546348,116.49989130241353,5225.92,5129.92,5322.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,256,0.0,sketch_k16_guarded,20,Current,97.38912591621349,97.36397073889619,97.41599588721377,112.4180713890599,112.28258231583521,112.57548619174995,27041.280000000002,26983.68,27095.68,0.7946,0.79269,0.7962899999999999,0.00081,0.00065,0.00098,0.025410000000000002,0.0246,0.02622
net_benefit_conflict_v4,dispatcher_level_simulation,256,10.0,affinity_first,20,Current,106.60218248153326,106.57850074962073,106.62313169222874,111.54821903914218,111.52171035252833,111.57864267179401,32000.0,32000.0,32000.0,1.0,1.0,1.0,0.35561,0.35312,0.35788,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,256,10.0,exact_guarded,20,Current,105.31342299565654,105.29545560388992,105.32998332010351,110.30741152502546,110.271269043809,110.34678221143247,22738.56,22665.600000000002,22808.960000000003,0.59385,0.59101,0.59626,0.01055,0.00969,0.01132,0.40615,0.40353,0.40878
net_benefit_conflict_v4,dispatcher_level_simulation,256,10.0,load_only,20,Current,108.85415514207496,108.81561176683057,108.89926879653315,116.49493893641014,116.47196236084902,116.52158683448215,5109.120000000001,5032.0,5180.160000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,256,10.0,sketch_k16_guarded,20,Current,105.66866472137265,105.64119296387898,105.69670355417348,112.87585892782656,112.76501022175138,112.9747240425933,19511.36,19413.120000000003,19608.640000000003,0.48451,0.48178,0.48725,0.00827,0.00777,0.0088,0.33406,0.33115,0.33699
net_benefit_conflict_v4,dispatcher_level_simulation,256,50.0,affinity_first,20,Current,146.6089559836192,146.58678107913488,146.6306582697477,151.52243753146254,151.48599595587413,151.55867708175535,32000.0,32000.0,32000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,256,50.0,exact_guarded,20,Current,108.87092059263718,108.83783770642856,108.90703337082789,116.50607486215824,116.49160108358878,116.52111117001081,5143.68,5069.120000000001,5214.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
net_benefit_conflict_v4,dispatcher_level_simulation,256,50.0,load_only,20,Current,108.88044623826684,108.84130205019191,108.9243486801437,116.50035066876669,116.48272250893487,116.51881539710291,5099.52,5026.56,5175.360000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
