experiment_id,experiment,evidence_type,locality,rep,baseline_policy,treatment_policy,workload_trace_hash,baseline_policy_order,treatment_policy_order,delta_ttft_p50_ms,delta_ttft_p95_ms,delta_latency_p95_ms,delta_observed_reuse_hit_rate,status
20260715_paired_latency_high_sketch_k8_rep0,paired_t4_latency_replay_v3,live_t4_vllm,high,0,load_only,sketch_k8,f9b3aef3431ca7fbabb7327226b578eab40c2e8e77a1002fde1df493e21e850f,1,2,-0.6412219999999991,7.321470000000005,201.435289,0.02734375,Current
20260715_paired_latency_high_sketch_k16_rep0,paired_t4_latency_replay_v3,live_t4_vllm,high,0,load_only,sketch_k16,f9b3aef3431ca7fbabb7327226b578eab40c2e8e77a1002fde1df493e21e850f,1,0,-1.627243,16.131463999999994,232.03920600000004,0.05078125,Current
20260715_paired_latency_high_exact_rep0,paired_t4_latency_replay_v3,live_t4_vllm,high,0,load_only,exact,f9b3aef3431ca7fbabb7327226b578eab40c2e8e77a1002fde1df493e21e850f,1,3,-1.9396850000000043,-12.231584999999995,-21.705043999999987,0.0625,Current
20260715_paired_latency_high_sketch_k8_rep1,paired_t4_latency_replay_v3,live_t4_vllm,high,1,load_only,sketch_k8,cb05d6d403ab03c236829d7ba9797a3d9a20aa69f1a9935f932fc99c6722eb16,1,2,-0.8497830000000022,4.489871000000022,203.78836799999993,0.0390625,Current
20260715_paired_latency_high_sketch_k16_rep1,paired_t4_latency_replay_v3,live_t4_vllm,high,1,load_only,sketch_k16,cb05d6d403ab03c236829d7ba9797a3d9a20aa69f1a9935f932fc99c6722eb16,1,3,-1.210768999999999,2.854894999999999,202.76026399999995,0.04296875,Current
20260715_paired_latency_high_exact_rep1,paired_t4_latency_replay_v3,live_t4_vllm,high,1,load_only,exact,cb05d6d403ab03c236829d7ba9797a3d9a20aa69f1a9935f932fc99c6722eb16,1,0,-2.6741990000000015,-11.522200999999995,-25.034780000000012,0.06640625,Current
20260715_paired_latency_high_sketch_k8_rep2,paired_t4_latency_replay_v3,live_t4_vllm,high,2,load_only,sketch_k8,858ea31fbd2ddcc1189f1b74a342c00dfa6e5bb7ecc5d4b9fef6d269a5549a8c,0,3,-0.32198499999999797,5.273646999999983,214.81976799999995,0.05859375,Current
20260715_paired_latency_high_sketch_k16_rep2,paired_t4_latency_replay_v3,live_t4_vllm,high,2,load_only,sketch_k16,858ea31fbd2ddcc1189f1b74a342c00dfa6e5bb7ecc5d4b9fef6d269a5549a8c,0,2,-0.640155,0.4542929999999785,201.37517400000002,0.08203125,Current
20260715_paired_latency_high_exact_rep2,paired_t4_latency_replay_v3,live_t4_vllm,high,2,load_only,exact,858ea31fbd2ddcc1189f1b74a342c00dfa6e5bb7ecc5d4b9fef6d269a5549a8c,0,1,-0.11824199999999507,-10.449545999999998,-20.560532000000023,0.09375,Current
20260715_paired_latency_high_sketch_k8_rep3,paired_t4_latency_replay_v3,live_t4_vllm,high,3,load_only,sketch_k8,613314ea741fda004f026b556033fbd16906bd05de4a8a273151446063988836,1,3,0.17146000000000328,3.9847560000000044,221.031541,-0.01171875,Current
