finding,best_policy,demand_aware_saved_vs_exact,demand_aware_hit_rate,metadata_snapshot_bytes,paper_use,max_injected_stale_rate,max_unsafe_reuse_rate,median_reduction_vs_periodic_10Hz_x,median_reduction_vs_periodic_50Hz_x
admission_high_K2,lru_k,0.3111,0.2603,14336,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_high_K4,lru_k,0.5321,0.4465,22528,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_high_K8,lru_k,0.6172,0.5203,38912,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_high_K16,lru_k,0.6946,0.5867,71680,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_medium_K2,lru_k,0.2953,0.2125,14336,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_medium_K4,lru_k,0.374,0.2672,22528,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_medium_K8,lru_k,0.5369,0.3768,38912,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_medium_K16,lru_k,0.7455,0.531,71680,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_low_K2,demand_aware,0.2269,0.1283,14336,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_low_K4,coverage_k,0.3827,0.2172,22528,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_low_K8,coverage_k,0.6296,0.3695,38912,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
admission_low_K16,coverage_k,0.8565,0.5472,71680,Use to justify demand-aware bounded top-K and workload locality sensitivity.,,,,
staleness_validation,,,,,Use to support the validation/correctness claim: stale metadata cannot cause incompatible KV reuse.,0.2,0.0,,
event_driven_low_churn,,,,,Use to support rate-controlled event-driven dissemination instead of periodic full-state reporting.,,,1428.86,7144.27
