experiment_id,experiment,evidence_type,code_commit,model,hardware,workload_trace_hash,baseline,rate_budget_Bps,churn_events_per_inst_s,duration_s,generated_events,sent_events,sent_bytes_total,event_sent_Bps,update_delay_p50_ms,update_delay_p95_ms,update_delay_p99_ms,queue_length,coalescing_ratio,dropped_or_expired_updates,stale_lookup_rate,fallback_rate,saved_prefill_ms_total,ttft_p95_ms_model,status
20260715_budget_periodic_full_high_trace_K8_high_r1,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,64,0.01,120.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,180000.0,80.0,Current
20260715_budget_periodic_full_high_trace_K8_high_r10,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,64,0.1,120.0,17,17,10336,86.13333333333334,500.0,849.9999999999997,899.9999999999915,0,0.0,0.0,0.47058823529411764,0.47058823529411764,95294.11764705883,101.17647058823529,Current
20260715_budget_periodic_full_high_trace_K8_high_r100,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,64,1.0,120.0,108,104,41952,349.6,549.9999999999972,949.9999999999886,949.9999999999993,0,0.0,0.0,0.49074074074074076,0.49074074074074076,91666.66666666667,102.08333333333334,Current
20260715_budget_periodic_full_high_trace_K8_high_r500,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,64,5.0,120.0,596,576,72352,602.9333333333333,449.9999999999993,949.9999999999886,949.9999999999998,0,0.0,0.0,0.41442953020134227,0.41442953020134227,105402.68456375838,98.6493288590604,Current
20260715_budget_periodic_full_high_trace_K8_high_r1,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,256,0.01,120.0,2,2,1216,10.133333333333333,299.9999999999989,949.9999999999957,949.9999999999957,0,0.0,0.0,0.5,0.5,90000.0,102.5,Current
20260715_budget_periodic_full_high_trace_K8_high_r10,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,256,0.1,120.0,16,16,9728,81.06666666666666,699.9999999999957,949.9999999999957,949.9999999999993,0,0.0,0.0,0.6875,0.6875,56250.0,110.9375,Current
20260715_budget_periodic_full_high_trace_K8_high_r100,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,256,1.0,120.0,139,138,52288,435.73333333333335,500.0,899.9999999999986,949.9999999999993,0,0.0,0.0,0.49640287769784175,0.49640287769784175,90647.48201438849,102.33812949640287,Current
20260715_budget_periodic_full_high_trace_K8_high_r500,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,256,5.0,120.0,604,578,72352,602.9333333333333,500.0,949.9999999999886,949.9999999999993,0,0.0,0.0,0.4470198675496689,0.4470198675496689,99536.42384105962,100.1158940397351,Current
20260715_budget_periodic_full_high_trace_K8_high_r1,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,1024,0.01,120.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,180000.0,80.0,Current
20260715_budget_periodic_full_high_trace_K8_high_r10,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,1024,0.1,120.0,15,15,8512,70.93333333333334,449.99999999998863,899.9999999999986,949.9999999999957,0,0.0,0.0,0.4,0.4,108000.0,98.0,Current
20260715_budget_periodic_full_high_trace_K8_high_r100,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,1024,1.0,120.0,111,109,44384,369.8666666666667,500.0,899.9999999999986,949.9999999999993,0,0.0,0.0,0.44144144144144143,0.44144144144144143,100540.54054054055,99.86486486486487,Current
20260715_budget_periodic_full_high_trace_K8_high_r500,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,1024,5.0,120.0,570,556,72352,602.9333333333333,450.00000000000017,899.9999999999986,949.9999999999993,0,0.0,0.0,0.41754385964912283,0.41754385964912283,104842.10526315791,98.78947368421052,Current
20260715_budget_periodic_full_high_trace_K8_high_r1,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,4096,0.01,120.0,1,1,608,5.066666666666666,350.0000000000014,350.0000000000014,350.0000000000014,0,0.0,0.0,0.0,0.0,180000.0,80.0,Current
20260715_budget_periodic_full_high_trace_K8_high_r10,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,4096,0.1,120.0,16,15,9120,76.0,699.9999999999957,899.9999999999915,949.9999999999957,0,0.0,0.0,0.625,0.625,67500.0,108.125,Current
20260715_budget_periodic_full_high_trace_K8_high_r100,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,4096,1.0,120.0,114,112,44992,374.93333333333334,399.9999999999915,899.9999999999986,949.9999999999993,0,0.0,0.0,0.39473684210526316,0.39473684210526316,108947.36842105263,97.76315789473685,Current
20260715_budget_periodic_full_high_trace_K8_high_r500,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_full,4096,5.0,120.0,635,610,72352,602.9333333333333,449.9999999999993,899.9999999999986,949.9999999999993,0,0.0,0.0,0.4031496062992126,0.4031496062992126,107433.07086614173,98.14173228346456,Current
20260715_budget_periodic_delta_high_trace_K8_high_r1,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_delta,64,0.01,120.0,2,2,128,1.0666666666666667,0.0,899.9999999999915,899.9999999999915,0,0.0,0.0,0.5,0.5,90000.0,102.5,Current
20260715_budget_periodic_delta_high_trace_K8_high_r10,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_delta,64,0.1,120.0,10,10,640,5.333333333333333,349.9999999999943,949.9999999999886,949.9999999999886,0,0.0,0.0,0.4,0.4,108000.0,98.0,Current
20260715_budget_periodic_delta_high_trace_K8_high_r100,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_delta,64,1.0,120.0,121,120,7680,64.0,500.0,899.9999999999915,950.0,0,0.0,0.0,0.4628099173553719,0.4628099173553719,96694.21487603306,100.82644628099173,Current
20260715_budget_periodic_delta_high_trace_K8_high_r500,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_delta,64,5.0,120.0,609,578,36992,308.26666666666665,500.0,899.9999999999986,949.9999999999993,0,0.0,0.0,0.42857142857142855,0.42857142857142855,102857.14285714286,99.28571428571428,Current
20260715_budget_periodic_delta_high_trace_K8_high_r1,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_delta,256,0.01,120.0,1,1,64,0.5333333333333333,799.9999999999972,799.9999999999972,799.9999999999972,0,0.0,0.0,1.0,1.0,0.0,125.0,Current
20260715_budget_periodic_delta_high_trace_K8_high_r10,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_delta,256,0.1,120.0,10,10,640,5.333333333333333,649.9999999999915,899.9999999999915,899.9999999999915,0,0.0,0.0,0.7,0.7,54000.00000000001,111.5,Current
20260715_budget_periodic_delta_high_trace_K8_high_r100,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_delta,256,1.0,120.0,119,118,7552,62.93333333333333,449.99999999999574,949.9999999999957,950.0000000000028,0,0.0,0.0,0.3865546218487395,0.3865546218487395,110420.1680672269,97.39495798319328,Current
20260715_budget_periodic_delta_high_trace_K8_high_r500,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_delta,256,5.0,120.0,602,572,36608,305.06666666666666,449.9999999999993,899.9999999999999,949.9999999999993,0,0.0,0.0,0.39368770764119604,0.39368770764119604,109136.21262458472,97.71594684385383,Current
20260715_budget_periodic_delta_high_trace_K8_high_r1,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_delta,1024,0.01,120.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,180000.0,80.0,Current
20260715_budget_periodic_delta_high_trace_K8_high_r10,budget_freshness_quality,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,fixed_high_locality_trace_5000_requests,periodic_delta,1024,0.1,120.0,15,15,960,8.0,349.9999999999943,900.0000000000003,949.9999999999886,0,0.0,0.0,0.3333333333333333,0.3333333333333333,120000.00000000001,95.0,Current
