experiment_id,experiment,evidence_type,code_commit,model,hardware,interface,N,R_per_inst,K,dispatcher_index_B,snapshot_B,advertised_entries,event_driven_Bps,update_p95_us,lookup_p95_us,fanout_p95,evaluated_fanout_p95,churn_events_per_inst_s,status
20260715_cost_load_only_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,16,2,768,768,0,19.200000000000003,0.282,0.241,0,0,0.1,Current
20260715_cost_sketch_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,16,2,1792,1792,16,102.4,0.339,0.217,2,8,0.1,Current
20260715_cost_exact_affinity_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,16,2,8960,8960,128,819.2,0.334,0.22,8,8,0.1,Current
20260715_cost_load_only_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,16,4,768,768,0,19.200000000000003,0.261,0.232,0,0,0.1,Current
20260715_cost_sketch_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,16,4,2816,2816,32,204.8,0.329,0.222,4,8,0.1,Current
20260715_cost_exact_affinity_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,16,4,8960,8960,128,819.2,0.332,0.24,8,8,0.1,Current
20260715_cost_load_only_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,16,8,768,768,0,19.200000000000003,0.27,0.226,0,0,0.1,Current
20260715_cost_sketch_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,16,8,4864,4864,64,409.6,0.438,0.31,8,8,0.1,Current
20260715_cost_exact_affinity_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,16,8,8960,8960,128,819.2,0.333,0.234,8,8,0.1,Current
20260715_cost_load_only_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,16,16,768,768,0,19.200000000000003,0.261,0.224,0,0,0.1,Current
20260715_cost_sketch_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,16,16,8960,8960,128,819.2,0.408,0.298,8,8,0.1,Current
20260715_cost_exact_affinity_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,16,16,8960,8960,128,819.2,0.337,0.235,8,8,0.1,Current
20260715_cost_load_only_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,16,32,768,768,0,19.200000000000003,0.267,0.229,0,0,0.1,Current
20260715_cost_sketch_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,16,32,8960,8960,128,819.2,0.329,0.226,8,8,0.1,Current
20260715_cost_exact_affinity_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,16,32,8960,8960,128,819.2,0.329,0.235,8,8,0.1,Current
20260715_cost_load_only_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,64,2,768,768,0,19.200000000000003,0.28,0.243,0,0,0.1,Current
20260715_cost_sketch_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,8,64,2,1792,1792,16,102.4,0.321,0.226,2,8,0.1,Current
20260715_cost_exact_affinity_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,8,64,2,33536,33536,512,3276.8,0.372,0.26,8,8,0.1,Current
20260715_cost_load_only_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,8,64,4,768,768,0,19.200000000000003,0.259,0.239,0,0,0.1,Current
