experiment_id,experiment,evidence_type,code_commit,model,hardware,workload_trace_hash,seed,locality,K,J,n_instances,request_count,raw_fanout_p95,evaluated_fanout_p95,fraction_truncated,cache_hit_rate,cache_hit_at_J_infinity,quality_loss,hit_rate_loss,status
20260715_jbound_sketch_fixed_trace_K2_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,2,1,64,3000,64.0,1.0,0.366,0.366,0.366,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,2,2,64,3000,64.0,2.0,0.366,0.366,0.366,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,2,4,64,3000,64.0,4.0,0.366,0.366,0.366,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,2,8,64,3000,64.0,8.0,0.366,0.366,0.366,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K2_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,2,16,64,3000,64.0,16.0,0.366,0.366,0.366,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,4,1,64,3000,64.0,1.0,0.47633333333333333,0.47633333333333333,0.47633333333333333,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,4,2,64,3000,64.0,2.0,0.47633333333333333,0.47633333333333333,0.47633333333333333,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,4,4,64,3000,64.0,4.0,0.47633333333333333,0.47633333333333333,0.47633333333333333,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,4,8,64,3000,64.0,8.0,0.47633333333333333,0.47633333333333333,0.47633333333333333,0.0,0.0,Current
20260715_jbound_sketch_fixed_trace_K4_high_r0,j_bound_sweep,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,c9feda51ab81bf0426e84123e3fc60811f2d8e03cba0de9621a55f519ab33b08,20260715,high,4,16,64,3000,64.0,16.0,0.47633333333333333,0.47633333333333333,0.47633333333333333,0.0,0.0,Current
