experiment_id,experiment,evidence_type,code_commit,model,hardware,workload_trace_hash,seed,repetitions,locality,K,J,variant,utility_refresh_interval,lambda,hysteresis,decay,rep,n_instances,n_requests,request_count,advertised_entries,index_entries_bound,metadata_snapshot_bytes,hit_rate,exact_hit_rate,saved_ms_total,exact_saved_ms_total,saved_vs_exact_ratio,stale_lookup_miss_rate,candidate_fanout_p95,evaluated_fanout_p95,convergence_delay,stale_hot_fraction_at_T,status
20260715_admission_demand_only_stationary_K2_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,2,2,demand_only,100,0.0,0.0,0.99,0,32,3000,3000,64,64,7168,0.37333333333333335,0.9796666666666667,66241.82354034463,166188.81533036014,0.3985937525859676,0.0,32.0,2.0,,,Current
20260715_admission_demand_save_stationary_K2_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,2,2,demand_save,100,0.0,0.0,0.99,0,32,3000,3000,64,64,7168,0.5536666666666666,0.9796666666666667,99097.48634389084,166188.81533036014,0.5962945589743743,0.0,30.0,2.0,,,Current
20260715_admission_demand_resident_save_stationary_K2_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,2,2,demand_resident_save,100,0.0,0.0,0.99,0,32,3000,3000,64,64,7168,0.5536666666666666,0.9796666666666667,99097.48634389084,166188.81533036014,0.5962945589743743,0.0,30.0,2.0,,,Current
20260715_admission_lru_k_stationary_K2_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,2,2,lru_k,100,0.0,0.0,0.99,0,32,3000,3000,64,64,7168,0.626,0.9796666666666667,112585.10547894653,166188.81533036014,0.6774529636976054,0.0,11.0,2.0,,,Current
20260715_admission_demand_aware_full_stationary_K2_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,2,2,demand_aware_full,1,0.001,0.0,0.99,0,32,3000,3000,64,64,7168,0.5636666666666666,0.9796666666666667,100975.47602787137,166188.81533036014,0.6075948963661979,0.0,29.0,2.0,,,Current
20260715_admission_demand_aware_full_stationary_K2_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,2,2,demand_aware_full,100,0.001,0.05,0.9,0,32,3000,3000,64,64,7168,0.47433333333333333,0.9796666666666667,84103.30099068893,166188.81533036014,0.506070765493474,0.0,30.0,2.0,,,Current
20260715_admission_demand_aware_full_stationary_K2_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,2,2,demand_aware_full,1000,0.01,0.1,0.99,0,32,3000,3000,64,64,7168,0.5796666666666667,0.9796666666666667,95805.65065857646,166188.81533036014,0.5764867537453,0.004,28.0,2.0,,,Current
20260715_admission_demand_only_stationary_K4_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,4,4,demand_only,100,0.0,0.0,0.99,0,32,3000,3000,128,128,11264,0.4876666666666667,0.9796666666666667,86895.38249758349,166188.81533036014,0.5228714238370832,0.0,32.0,4.0,,,Current
20260715_admission_demand_save_stationary_K4_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,4,4,demand_save,100,0.0,0.0,0.99,0,32,3000,3000,128,128,11264,0.621,0.9796666666666667,111241.20936490249,166188.81533036014,0.6693664019673677,0.0006666666666666666,32.0,4.0,,,Current
20260715_admission_demand_resident_save_stationary_K4_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,4,4,demand_resident_save,100,0.0,0.0,0.99,0,32,3000,3000,128,128,11264,0.621,0.9796666666666667,111241.20936490249,166188.81533036014,0.6693664019673677,0.0006666666666666666,32.0,4.0,,,Current
20260715_admission_lru_k_stationary_K4_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,4,4,lru_k,100,0.0,0.0,0.99,0,32,3000,3000,128,128,11264,0.7156666666666667,0.9796666666666667,128615.47313052593,166188.81533036014,0.7739117273016017,0.0003333333333333333,11.0,4.0,,,Current
20260715_admission_demand_aware_full_stationary_K4_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,4,4,demand_aware_full,1,0.001,0.0,0.99,0,32,3000,3000,128,128,11264,0.63,0.9796666666666667,112757.99232816603,166188.81533036014,0.6784932674561697,0.0,32.0,4.0,,,Current
20260715_admission_demand_aware_full_stationary_K4_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,4,4,demand_aware_full,100,0.001,0.05,0.9,0,32,3000,3000,128,128,11264,0.5476666666666666,0.9796666666666667,96872.69164085004,166188.81533036014,0.5829074083492362,0.0006666666666666666,32.0,4.0,,,Current
20260715_admission_demand_aware_full_stationary_K4_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,4,4,demand_aware_full,1000,0.01,0.1,0.99,0,32,3000,3000,128,128,11264,0.6426666666666667,0.9796666666666667,105308.11614985562,166188.81533036014,0.6336654842897689,0.003,32.0,4.0,,,Current
20260715_admission_demand_only_stationary_K8_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,8,8,demand_only,100,0.0,0.0,0.99,0,32,3000,3000,256,256,19456,0.6386666666666667,0.9796666666666667,112706.95289436844,166188.81533036014,0.6781861503153673,0.0,32.0,8.0,,,Current
20260715_admission_demand_save_stationary_K8_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,8,8,demand_save,100,0.0,0.0,0.99,0,32,3000,3000,256,256,19456,0.6996666666666667,0.9796666666666667,124468.24256875763,166188.81533036014,0.7489567954457835,0.0,32.0,8.0,,,Current
20260715_admission_demand_resident_save_stationary_K8_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,8,8,demand_resident_save,100,0.0,0.0,0.99,0,32,3000,3000,256,256,19456,0.6996666666666667,0.9796666666666667,124468.24256875763,166188.81533036014,0.7489567954457835,0.0,32.0,8.0,,,Current
20260715_admission_lru_k_stationary_K8_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,8,8,lru_k,100,0.0,0.0,0.99,0,32,3000,3000,256,256,19456,0.8353333333333334,0.9796666666666667,149979.47057958168,166188.81533036014,0.9024642860678889,0.0003333333333333333,11.0,8.0,,,Current
20260715_admission_demand_aware_full_stationary_K8_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,8,8,demand_aware_full,1,0.001,0.0,0.99,0,32,3000,3000,256,256,19456,0.7043333333333334,0.9796666666666667,125209.24194898437,166188.81533036014,0.7534155755312769,0.0,32.0,8.0,,,Current
20260715_admission_demand_aware_full_stationary_K8_high_r0,supp_admission_v2,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,089ed34a7d6c134c911451e46eddd087933d70942d62b0e918cb11027d2301f5,20260715,5,high,8,8,demand_aware_full,100,0.001,0.05,0.9,0,32,3000,3000,256,256,19456,0.6426666666666667,0.9796666666666667,112800.60036469194,166188.81533036014,0.6787496507539338,0.0006666666666666666,32.0,8.0,,,Current
