experiment_id,experiment,evidence_type,code_commit,model,hardware,race,guard,injected_stale_rate,n_requests,unsafe_reuse_count,extra_TTFT_p95_ms,correction_update_latency_p95_ms,rare_event_count,normal_cache_miss,stale_induced_fallback,compatibility_reject,capacity_evict,fallback_total,status
20260715_toctou_R1_dispatch_then_evict_race_K8_injection_r0,toctou_races,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,R1_dispatch_then_evict,owner resident-set lookup before request reaches instance,0.0,20000,0,0.0,0.0,0,2382,0,0,839,3221,Current
20260715_toctou_R1_dispatch_then_evict_race_K8_injection_r5,toctou_races,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,R1_dispatch_then_evict,owner resident-set lookup before request reaches instance,0.05,20000,0,36.9064699838846,20.24346692412884,0,2410,819,0,902,4131,Current
20260715_toctou_R1_dispatch_then_evict_race_K8_injection_r20,toctou_races,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,R1_dispatch_then_evict,owner resident-set lookup before request reaches instance,0.2,20000,0,36.84083057211832,20.202673744876396,0,2441,3374,0,858,6673,Current
20260715_toctou_R2_restart_old_epoch_race_K8_injection_r0,toctou_races,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,R2_restart_old_epoch,epoch guard,0.0,20000,0,0.0,0.0,0,2425,0,0,861,3286,Current
20260715_toctou_R2_restart_old_epoch_race_K8_injection_r5,toctou_races,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,R2_restart_old_epoch,epoch guard,0.05,20000,0,36.675660883608344,20.19494959831376,0,2455,0,854,891,4200,Current
20260715_toctou_R2_restart_old_epoch_race_K8_injection_r20,toctou_races,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,R2_restart_old_epoch,epoch guard,0.2,20000,0,36.734462974661994,20.09315563675705,0,2408,0,3337,904,6649,Current
20260715_toctou_R3_out_of_order_seq_race_K8_injection_r0,toctou_races,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,R3_out_of_order_seq,monotonic sequence guard,0.0,20000,0,0.0,0.0,0,2450,0,0,882,3332,Current
20260715_toctou_R3_out_of_order_seq_race_K8_injection_r5,toctou_races,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,R3_out_of_order_seq,monotonic sequence guard,0.05,20000,0,36.640089448217395,20.200788851024193,0,2371,0,841,906,4118,Current
20260715_toctou_R3_out_of_order_seq_race_K8_injection_r20,toctou_races,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,R3_out_of_order_seq,monotonic sequence guard,0.2,20000,0,36.79280849771429,20.011136820076306,0,2378,0,3382,885,6645,Current
20260715_toctou_R4_lease_expiry_race_K8_injection_r0,toctou_races,simulation,467353b,synthetic-control-plane-current-schema,CPU control-plane simulator on yhs1; no GPU serving in these rows,R4_lease_expiry,lease guard,0.0,20000,0,0.0,0.0,0,2427,0,0,894,3321,Current
